"package","source","homepage","vcs_browser","section"
"libqcoro6quick0t64","qcoro","https://qcoro.dev","","libs"
"libqcoro6websockets0t64","qcoro","https://qcoro.dev","","libs"
"libqcow-dev","libqcow","https://github.com/libyal/libqcow","","libdevel"
"libqcow1t64","libqcow","https://github.com/libyal/libqcow","","libs"
"libqcustomplot-dev","qcustomplot","https://www.qcustomplot.com","","libdevel"
"libqcustomplot2.1","qcustomplot","https://www.qcustomplot.com","","libs"
"libqcustomplot2.1-qt6","qcustomplot","https://www.qcustomplot.com","","libs"
"libqd-dev","qd","https://crd.lbl.gov/~dhbailey/mpdist/","","libdevel"
"libqd0t64","qd","https://crd.lbl.gov/~dhbailey/mpdist/","","libs"
"libqdbm++-dev","qdbm","https://fallabs.com/qdbm/","","libdevel"
"libqdbm-dev","qdbm","https://fallabs.com/qdbm/","","libdevel"
"libqdbm14t64","qdbm","https://fallabs.com/qdbm/","","libs"
"libqdbm3++c2","qdbm","https://fallabs.com/qdbm/","","libs"
"libqdjango-db0","qdjango","https://github.com/jlaine/qdjango","","libs"
"libqdjango-dev","qdjango","https://github.com/jlaine/qdjango","","libdevel"
"libqdjango-http0","qdjango","https://github.com/jlaine/qdjango","","libs"
"libqes-dev","libqes","https://github.com/kdmurray91/libqes","","libdevel"
"libqes0","libqes","https://github.com/kdmurray91/libqes","","libs"
"libqfits-dev","qfits","http://www.eso.org/sci/software/eclipse/qfits/","","libdevel"
"libqfits0","qfits","http://www.eso.org/sci/software/eclipse/qfits/","","libs"
"libqgis-3d3.40.6","qgis","https://qgis.org/","","libs"
"libqgis-analysis3.40.6","qgis","https://qgis.org/","","libs"
"libqgis-app3.40.6","qgis","https://qgis.org/","","libs"
"libqgis-core3.40.6","qgis","https://qgis.org/","","libs"
"libqgis-customwidgets","qgis","https://qgis.org/","","science"
"libqgis-dev","qgis","https://qgis.org/","","libdevel"
"libqgis-gui3.40.6","qgis","https://qgis.org/","","libs"
"libqgis-native3.40.6","qgis","https://qgis.org/","","libs"
"libqgis-server3.40.6","qgis","https://qgis.org/","","libs"
"libqgisgrass8-3.40.6","qgis","https://qgis.org/","","libs"
"libqgispython3.40.6","qgis","https://qgis.org/","","libs"
"libqglviewer-dev-qt5","libqglviewer","http://www.libqglviewer.com/","","libdevel"
"libqglviewer2-qt5t64","libqglviewer","http://www.libqglviewer.com/","","libs"
"libqgpgme-dev","gpgme1.0","https://gnupg.org/software/gpgme/","","libdevel"
"libqgpgme15t64","gpgme1.0","https://gnupg.org/software/gpgme/","","libs"
"libqgpgmeqt6-15","gpgme1.0","https://gnupg.org/software/gpgme/","","libs"
"libqgpgmeqt6-dev","gpgme1.0","https://gnupg.org/software/gpgme/","","libdevel"
"libqgpsmm-dev","gpsd","https://gpsd.io","","libdevel"
"libqgpsmm30t64","gpsd","https://gpsd.io","","libs"
"libqhttpengine-dev","qhttpengine","https://github.com/nitroshare/qhttpengine","","libdevel"
"libqhttpengine0","qhttpengine","https://github.com/nitroshare/qhttpengine","","libs"
"libqhull-dev","qhull","https://www.qhull.org","","libdevel"
"libqhull-r8.0","qhull","https://www.qhull.org","","libs"
"libqhull8.0","qhull","https://www.qhull.org","","libs"
"libqhullcpp8.0","qhull","https://www.qhull.org","","libs"
"libqjdns-qt5-2t64","libjdns","http://delta.affinix.com/jdns/","","libs"
"libqjdns-qt5-dev","libjdns","http://delta.affinix.com/jdns/","","libdevel"
"libqm-dsp-dev","qm-dsp","https://code.soundsoftware.ac.uk/projects/qm-dsp","","libdevel"
"libqm-dsp0t64","qm-dsp","https://code.soundsoftware.ac.uk/projects/qm-dsp","","libs"
"libqmath3d-dev","qmath3d","https://github.com/vpicaver/QMath3d","","libs"
"libqmath3d1","qmath3d","https://github.com/vpicaver/QMath3d","","libs"
"libqmenumodel-dev","qmenumodel","https://github.com/AyatanaIndicators/qmenumodel","","libdevel"
"libqmenumodel1","qmenumodel","https://github.com/AyatanaIndicators/qmenumodel","","libs"
"libqmf-qt5-dev","qmf","https://code.qt.io/cgit/qt-labs/messagingframework.git/","","libdevel"
"libqmfclient-qt5-4","qmf","https://code.qt.io/cgit/qt-labs/messagingframework.git/","","libs"
"libqmfmessageserver-qt5-4","qmf","https://code.qt.io/cgit/qt-labs/messagingframework.git/","","libs"
"libqmi-glib-dev","libqmi","https://www.freedesktop.org/wiki/Software/libqmi","","libdevel"
"libqmi-glib5","libqmi","https://www.freedesktop.org/wiki/Software/libqmi","","libs"
"libqmobipocket-dev","kdegraphics-mobipocket","https://invent.kde.org/graphics/kdegraphics-mobipocket","","libdevel"
"libqmobipocket2","kdegraphics-mobipocket","https://invent.kde.org/graphics/kdegraphics-mobipocket","","libs"
"libqmobipocket6-2","kdegraphics-mobipocket","https://invent.kde.org/graphics/kdegraphics-mobipocket","","libs"
"libqmobipocket6-dev","kdegraphics-mobipocket","https://invent.kde.org/graphics/kdegraphics-mobipocket","","libdevel"
"libqoauth-dev","qoauth","http://wiki.github.com/ayoy/qoauth/","","libdevel"
"libqoauth2","qoauth","http://wiki.github.com/ayoy/qoauth/","","libs"
"libqofono-dev","libqofono","https://github.com/sailfishos/libqofono","","libdevel"
"libqofono-examples","libqofono","https://github.com/sailfishos/libqofono","","libdevel"
"libqofono-qt5-0","libqofono","https://github.com/sailfishos/libqofono","","libs"
"libqofono-tests","libqofono","https://github.com/sailfishos/libqofono","","libdevel"
"libqofonoext-dev","libqofonoext","https://github.com/sailfishos/libqofonoext","","libdevel"
"libqofonoext1","libqofonoext","https://github.com/sailfishos/libqofonoext","","libs"
"libqoi-dev","qoi","https://github.com/phoboslab/qoi","","libdevel"
"libqpdf-dev","qpdf","https://qpdf.sourceforge.io","","libdevel"
"libqpdf30","qpdf","https://qpdf.sourceforge.io","","libs"
"libqpid-proton-cpp12","qpid-proton","https://qpid.apache.org/proton/","","libs"
"libqpid-proton-cpp12-dev","qpid-proton","https://qpid.apache.org/proton/","","libdevel"
"libqpid-proton11","qpid-proton","https://qpid.apache.org/proton/","","libs"
"libqpid-proton11-dev","qpid-proton","https://qpid.apache.org/proton/","","libdevel"
"libqpid-proton11-dev-examples","qpid-proton","https://qpid.apache.org/proton/","","libdevel"
"libqpx-dev","qpxtool","https://qpxtool.sourceforge.io/","","libdevel"
"libqpx0t64","qpxtool","https://qpxtool.sourceforge.io/","","libs"
"libqqc2breezestyle-dev","qqc2-breeze-style","https://invent.kde.org/plasma/qqc2-breeze-style","","libdevel"
"libqqwing-dev","qqwing","https://qqwing.com/","","libdevel"
"libqqwing2v5","qqwing","https://qqwing.com/","","libs"
"libqrcodegen-dev","qr-code-generator","https://github.com/nayuki/QR-Code-generator","","libdevel"
"libqrcodegen1","qr-code-generator","https://github.com/nayuki/QR-Code-generator","","libs"
"libqrcodegencpp-dev","qr-code-generator","https://github.com/nayuki/QR-Code-generator","","libdevel"
"libqrcodegencpp1","qr-code-generator","https://github.com/nayuki/QR-Code-generator","","libs"
"libqrencode-dev","qrencode","https://fukuchi.org/works/qrencode/index.html.en","","libdevel"
"libqrencode4","qrencode","https://fukuchi.org/works/qrencode/index.html.en","","libs"
"libqrtr-dev","qrtr","https://github.com/linux-msm/qrtr","","libdevel"
"libqrtr-glib-dev","libqrtr-glib","https://gitlab.freedesktop.org/mobile-broadband/libqrtr-glib/","","libdevel"
"libqrtr-glib0","libqrtr-glib","https://gitlab.freedesktop.org/mobile-broadband/libqrtr-glib/","","libs"
"libqrtr1","qrtr","https://github.com/linux-msm/qrtr","","libs"
"libqrupdate-dev","qrupdate","https://gitlab.mpi-magdeburg.mpg.de/koehlerm/qrupdate-ng","","libdevel"
"libqrupdate1","qrupdate","https://gitlab.mpi-magdeburg.mpg.de/koehlerm/qrupdate-ng","","libs"
"libqsastime-dev","plplot","https://plplot.sourceforge.net/","","libdevel"
"libqsastime0","plplot","https://plplot.sourceforge.net/","","libs"
"libqscintilla2-qt5-15","qscintilla2","http://www.riverbankcomputing.co.uk/software/qscintilla","","libs"
"libqscintilla2-qt5-dev","qscintilla2","http://www.riverbankcomputing.co.uk/software/qscintilla","","libdevel"
"libqscintilla2-qt5-l10n","qscintilla2","http://www.riverbankcomputing.co.uk/software/qscintilla","","libs"
"libqscintilla2-qt6-15","qscintilla2","http://www.riverbankcomputing.co.uk/software/qscintilla","","libs"
"libqscintilla2-qt6-dev","qscintilla2","http://www.riverbankcomputing.co.uk/software/qscintilla","","libdevel"
"libqsopt-ex-dev","qsopt-ex","http://www.dii.uchile.cl/~daespino/ESolver_doc/main.html","","libdevel"
"libqsopt-ex2t64","qsopt-ex","http://www.dii.uchile.cl/~daespino/ESolver_doc/main.html","","libs"
"libqt-advanced-docking-system-dev","qt-advanced-docking-system","https://github.com/githubuser0xFFFF/Qt-Advanced-Docking-System","","libdevel"
"libqt-advanced-docking-system3.8.3","qt-advanced-docking-system","https://github.com/githubuser0xFFFF/Qt-Advanced-Docking-System","","libs"
"libqt-color-widgets-dev","qt-color-widgets","https://gitlab.com/mattbas/Qt-Color-Widgets","","libdevel"
"libqt-color-widgets2","qt-color-widgets","https://gitlab.com/mattbas/Qt-Color-Widgets","","libs"
"libqt53danimation5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dcore5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dextras5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dinput5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dlogic5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dquick5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dquickanimation5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dquickextras5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dquickinput5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dquickrender5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53dquickscene2d5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt53drender5","qt3d-opensource-src","https://doc.qt.io/qt-5/qt3d-index.html","","libs"
"libqt5bluetooth5","qtconnectivity-opensource-src","https://doc.qt.io/qt-5/topics-network-connectivity.html","","libs"
"libqt5charts5","qtcharts-opensource-src","https://doc.qt.io/qt-5/qtcharts-index.html","","libs"
"libqt5charts5-dev","qtcharts-opensource-src","https://doc.qt.io/qt-5/qtcharts-index.html","","libdevel"
"libqt5concurrent5t64","qtbase-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5contact5-plugin-sqlite","qtcontacts-sqlite","https://github.com/sailfishos/qtcontacts-sqlite","","libs"
"libqt5contacts5a","qtpim-opensource-src","https://www.qt.io/developers","","libs"
"libqt5core5t64","qtbase-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5ct-common-dev","qt5ct","https://sourceforge.net/projects/qt5ct/","","libdevel"
"libqt5ct-common1.8","qt5ct","https://sourceforge.net/projects/qt5ct/","","libs"
"libqt5datavisualization5","qtdatavis3d-everywhere-src","https://doc.qt.io/qt-5/qtdatavisualization-index.html","","libs"
"libqt5datavisualization5-dev","qtdatavis3d-everywhere-src","https://doc.qt.io/qt-5/qtdatavisualization-index.html","","libdevel"
"libqt5dbus5t64","qtbase-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5designer5","qttools-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5designercomponents5","qttools-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5feedback5","qtfeedback-opensource-src","https://qt-project.org/","","libs"
"libqt5feedback5-hfd","hfd-service","https://gitlab.com/ubports/development/core/hfd-service","","libs"
