"package","github_repo"
"gr-dab","andrmuel/gr-dab"
"gr-funcube","dl1ksv/gr-funcube"
"gr-hpsdr","Tom-McDermott/gr-hpsdr"
"gr-rds","bastibl/gr-rds"
"gr-satellites","daniestevez/gr-satellites"
"granite","elementary/granite"
"granite-7","elementary/granite"
"grantlee5","steveire/grantlee"
"grfcodec","OpenTTD/grfcodec"
"gridsite","CESNET/gridsite"
"groonga-normalizer-mysql","groonga/groonga-normalizer-mysql"
"group-service","zhuyaliang/group-service"
"gsmlib","vbouchaud/gsmlib"
"gss-ntlmssp","gssapi/gss-ntlmssp"
"gtg-trace","trahay/Generic-Trace-Generator"
"gtk-layer-shell","wmww/gtk-layer-shell"
"gtk-session-lock","Cu3PO42/gtk-session-lock"
"gtk3-nocsd","PCMan/gtk3-nocsd"
"gtk4-layer-shell","wmww/gtk4-layer-shell"
"guile-ssh","artyom-poptsov/guile-ssh"
"harminv","stevengj/harminv"
"harp","stcorp/harp"
"hdapsd","evgeni/hdapsd"
"heaptrack","KDE/heaptrack"
"heatshrink","atomicobject/heatshrink"
"hera","anigmetov/hera"
"hfst-ospell","hfst/hfst-ospell"
"hidapi","libusb/hidapi"
"highway","google/highway"
"highwayhash","google/highwayhash"
"hipblas","ROCm/hipBLAS"
"hipcub","ROCm/hipCUB"
"hipfft","ROCm/hipfft"
"hipsolver","ROCm/hipSOLVER"
"hipsparse","ROCm/hipsparse"
"hiredis","redis/hiredis"
"hmat-oss","jeromerobert/hmat-oss"
"hnswlib","nmslib/hnswlib"
"hoel","babelouest/hoel"
"hopscotch-map","Tessil/hopscotch-map"
"horst","br101/horst"
"howardhinnant-date","HowardHinnant/date"
"hsetroot","himdel/hsetroot"
"htscodecs","jkbonfield/htscodecs"
"htslib","samtools/htslib"
"http-parser","joyent/http-parser"
"httperf","httperf/httperf"
"httptunnel","larsbrinkhoff/httptunnel"
"hwinfo","openSUSE/hwinfo"
"hyperscan","intel/hyperscan"
"hyphen","hunspell/hyphen"
"ibsim","linux-rdma/ibsim"
"ibus","ibus/ibus"
"ibus-anthy","fujiwarat/ibus-anthy"
"ibus-array","lexical/ibus-array"
"ibus-chewing","chewing/ibus-chewing"
"ibus-hangul","libhangul/ibus-hangul"
"ibus-rime","rime/ibus-rime"
"icecc","icecc/icecream"
"icecc-monitor","icecc/icemon"
"iddawc","babelouest/iddawc"
"ident2","mbacarella/ident2"
"identity4c","ufpidentity/identity4c"
"iec16022","rdoeffinger/iec16022"
"iitii","ekg/iitii"
"imgui","ocornut/imgui"
"immer","arximboldi/immer"
"inadyn","troglobit/inadyn"
"incron","ar-/incron"
"infinipath-psm","intel/psm"
"injeqt","vogel/injeqt"
"inotify-tools","rvoicilas/inotify-tools"
"input-pad","fujiwarat/input-pad"
"insserv","slicer69/insserv"
"intel-gmmlib","intel/gmmlib"
"intel-hdcp","intel/hdcp"
"intel-ipsec-mb","intel/intel-ipsec-mb"
"intel-media-driver","intel/media-driver"
"intel-processor-trace","intel/libipt"
"intrusive-shared-ptr","gershnik/intrusive_shared_ptr"
"inventor","aumuell/open-inventor"
"ioping","koct9i/ioping"
"ipe-tools","otfried/ipe-tools"
"ipp-crypto","intel/ipp-crypto"
"iptux","iptux-src/iptux"
"iputils","iputils/iputils"
"ircd-ircu","UndernetIRC/ircu2"
"isomd5sum","rhinstaller/isomd5sum"
"isoqlog","EnderUNIX/Isoqlog"
"isospec","MatteoLacki/IsoSpec"
"itkadaptivedenoising","ntustison/ITKAdaptiveDenoising"
