"package","avg_downloads","2021","2022","2023","2024","2025"
"ntfs-3g","117515","105241","99533","113659","124552","144590"
"libshout","117465","106302","99866","113847","123982","143328"
"aalib","117391","106337","99870","113827","123804","143117"
"openal-soft","117067","104172","98927","113325","124543","144370"
"snowball","117041","102280","102113","114039","123602","143171"
"wpa","117033","105022","98631","113059","123993","144464"
"rubberband","116587","99368","97246","112757","126491","147077"
"libva","116444","92912","95318","112496","129390","152107"
"serd","116286","97685","96293","112067","126673","148712"
"sord","116280","97688","96289","112057","126664","148703"
"lilv","116278","97682","96294","112051","126663","148704"
"sratom","116278","97686","96290","112055","126662","148700"
"libnotify","115579","105129","97589","111337","122106","141737"
"gtk+3.0","115297","118940","112541","126668","127162","91177"
"libevdev","114790","103775","97232","111258","121164","140525"
"fakeroot","114720","105862","102912","107980","119065","137782"
"x11-xkb-utils","114657","104966","97319","110951","120345","139708"
"isl","114600","50953","86587","111599","146730","177134"
"libbluray","114590","92818","94662","111799","127892","145783"
"libatasmart","114482","103236","97041","110915","121034","140186"
"lua5.3","114230","93399","103727","118498","135095","120433"
"gst-plugins-good1.0","114161","101809","96315","110632","121295","140756"
"libbdplus","114143","95767","94207","109836","124423","146483"
"libsoup2.4-1","113996","121952","115843","126630","120061","85497"
"libglu","113765","106818","98084","110891","117544","135489"
"libwacom","113724","102698","96370","110316","120050","139188"
"bluez","113668","104413","96215","109374","119279","139059"
"libdvdnav","113569","103661","96070","109571","118373","140173"
"usb-modeswitch","113546","103483","96261","109778","119562","138649"
"libass","113239","91120","92760","109669","125383","147266"
"sane-backends","113178","104737","97167","110225","117865","135897"
"mpg123","113000","113496","108231","123331","127736","92207"
"apr","112592","117867","112285","120301","120281","92229"
"opencore-amr","112135","99941","94860","108394","118115","139366"
"dnsmasq","112099","99123","94334","108008","119186","139847"
"udisks2","111793","99239","93998","108274","119084","138370"
"libheif","111641","68710","72870","97269","144777","174579"
"libinput","111504","98583","93741","108161","118818","138218"
"zvbi","111274","112898","107421","122124","124636","89295"
"libsmbclient","111237","115652","108338","122565","122817","86817"
"xorg-server","110987","101830","93926","107482","116401","135300"
"giflib","110978","99588","94766","107187","119767","133584"
"faad2","110797","100606","93839","107540","116742","135258"
"libgusb","110744","99192","94328","108156","117007","135038"
"modemmanager","110565","97891","92612","106831","118005","137488"
"libcanberra","110512","101746","93834","107181","115679","134120"
"hyphen","110311","100708","93611","107194","116121","133925"
"ppp","110228","98188","92900","106453","116929","136671"
"poppler","110087","99771","93763","107812","115089","134003"
"libvidstab","109854","87594","90241","106216","121497","143725"
"libdca","109850","99619","93033","106751","115994","133854"
"gdisk","109783","107049","103124","117839","123945","96958"
"libmpc","109731","99145","92711","106570","115827","134403"
"anacron","109570","99590","92203","105928","115249","134880"
"a52dec","109519","99636","93118","106675","115377","132790"
"iw","109226","100138","92228","105630","114253","133881"
"libxfont","109220","96031","91222","105685","116665","136501"
"gst-libav1.0","109191","93866","91030","105819","117711","137529"
"mpeg2dec","109086","99143","92690","106210","114863","132528"
"liblqr","108894","88941","82578","101385","125162","146408"
"lua5.2","108710","125350","111487","110287","97833","98597"
"orc","108565","112173","105525","119478","120515","85135"
"libmbim","108481","95094","90296","104651","116315","136050"
"libalgorithm-diff-xs-perl","108476","97984","96129","101685","113656","132928"
"xserver-xorg-video-fbdev","108320","99160","91507","104844","113739","132351"
"startup-notification","108281","99556","91658","105062","113549","131583"
"xserver-xorg-video-vesa","107979","98977","91263","104645","113516","131494"
"sbc","107970","93785","89998","104683","115938","135446"
"libmodplug","107861","96267","90730","104810","114552","132947"
"libspectre","107808","96139","88740","103399","115872","134893"
"xserver-xorg-video-ati","107786","98541","90902","104296","113295","131899"
"libxvmc","107634","99225","91234","104419","112743","130550"
"speexdsp","107619","105645","98451","103079","103098","127826"
"z3","107520","49619","81457","105102","136399","165027"
"xf86-input-wacom","106981","97689","90102","103572","112426","131118"
"alsa-utils","106942","97626","90391","103786","112399","130508"
"xserver-xorg-video-vmware","106843","98108","90303","103373","112303","130128"
"vo-amrwbenc","106826","94325","89603","103798","113934","132472"
"nas","106565","98871","90599","103438","111198","128722"
"upower","106429","96341","89480","103103","112422","130800"
"apache2","106258","98065","95563","104391","111280","121995"
"libopenmpt","106230","105014","101713","117067","121060","86299"
"x11-apps","106204","97068","89644","102909","111580","129819"
"libqmi","105926","90353","87369","102150","114883","134878"
"raptor2","105862","94557","87539","102081","113223","131910"
"mhash","105718","97186","90040","102838","110580","127949"
"gst-plugins-bad1.0","105664","92944","88222","102552","113074","131529"
"libexttextcat","105645","95742","89695","102873","111190","128726"
"vo-aacenc","105631","92771","88353","102618","112894","131519"
"rtkit","105597","94918","88377","102251","111961","130479"
"vte2.91","105568","93790","91403","103526","112017","127108"
"xserver-xorg-video-intel","105565","96700","88984","102105","110888","129148"
"network-manager","105537","91840","86932","101004","113792","134117"
"v4l-utils","105406","109810","102519","116214","116695","81796"
"xcb-util-renderutil","105308","94323","89104","101001","111037","131075"
"xcb-util-keysyms","105286","95147","89223","100913","110634","130516"
"libsigsegv","105208","117959","109908","106531","97042","94600"
"x11-session-utils","105189","96138","88664","101926","110569","128650"
"python2.7-minimal","105106","166340","122013","107742","71544","57894"
"libxres","105077","95399","88585","101980","110732","128691"
"python2.7","104938","166140","121839","107579","71383","57749"
"gcr","104803","93337","86707","100814","112379","130781"
"mariadb","104704","99450","96702","103297","109227","114844"
"xcb-util-image","104635","93848","88430","100261","110292","130345"
"dbus-glib","104460","118402","106345","117932","94751","84872"
"libteam","104369","90728","86430","100502","111943","132245"
"xcb-util-wm","104362","93357","88126","99990","110136","130204"
"libndp","104346","90739","86411","100476","111873","132234"
"ocl-icd","104256","66451","81979","101392","123328","148130"
"usbmuxd","104216","97051","89713","100914","106305","127101"
"libao","104010","94438","87555","100870","109620","127569"
"libsdl2","103367","75575","82611","100010","118289","140350"
"libkate","103108","98579","92247","106103","112952","105659"
"soundtouch","103069","87890","85248","100136","111555","130520"
"wildmidi","102759","87380","84938","99855","111328","130294"
"librevenge","102723","93236","86762","99906","108054","125658"
"hunspell","102504","82803","83207","99345","113705","133464"
"mythes","102304","93373","86598","99442","107355","124752"
"sndio","102183","86725","88155","105080","121044","109914"
"libreoffice","102175","93339","86548","99280","107107","124601"
"libdv","102142","105296","98914","112911","114060","79531"
"libnice","102137","85402","83883","99321","111514","130568"
"libgcc1","101971","163924","116804","102483","69663","56981"
"alsa-ucm-conf","101824","46246","76158","99756","129507","157453"
"alsa-topology-conf","101816","46227","76192","99752","129466","157445"
"gst-plugins-ugly1.0","101614","86981","84644","98769","109296","128383"
"libwpd","101586","92362","85830","98849","106766","124123"
"libwpg","101567","92352","85828","98829","106733","124097"
"liblangtag","101519","91852","85620","98720","106939","124466"
"libaio1","101275","108324","106801","107943","100617","82692"
"cups-filters","101231","102902","102270","113841","110539","76607"
"libeot","101170","91498","85269","98381","106586","124118"
"libmtp","101151","92378","85882","98000","106141","123356"
"libpython2.7-minimal","101125","159673","117438","103910","68934","55674"
"libwnck3","101117","90102","84137","97741","107434","126172"
"libpython2.7-stdlib","101033","159587","117355","103832","68824","55569"
"mtdev","100944","105494","98189","111953","111807","77278"
"volume-key","100651","78739","80907","97349","112579","133681"
"gnome-keyring","100575","89165","82477","96522","108041","126673"
"speech-dispatcher","100476","88952","83758","97490","107218","124965"
"libodfgen","100447","91190","84846","97750","105610","122842"
"libgphoto2","100386","106248","97822","111111","110569","76182"
"libvisio","100341","91031","84627","97662","105527","122858"
"libcdr","100331","91015","84617","97647","105512","122868"
"libsrtp2","100238","80070","81363","97554","111263","130942"
"libieee1284","100055","105640","97808","110852","110072","75907"
"libetonyek","99924","90295","84229","97209","105303","122587"
"libabw","99863","90395","84220","97175","105135","122391"
"libe-book","99850","90399","84199","97148","105123","122384"
"norm","99833","89435","94068","111476","119081","85105"
"woff2","99629","82676","82907","98852","110873","122839"
"libmwaw","99460","89880","83419","96509","105080","122415"
"spandsp","99328","101123","95906","110064","111499","78051"
"p7zip","99089","100251","93666","107332","110911","83287"
"libsidplay","99069","83675","81909","96037","106260","127466"
"graphene","98973","78235","79329","95859","110375","131067"
"libfreehand","98801","89197","83188","96157","104097","121366"
"libmspub","98799","89212","83179","96151","104096","121361"
"gvfs","97940","91462","84271","94921","102413","116634"
"libwps","97567","85920","81517","94933","103984","121485"
"gexiv2","97392","84535","81278","95877","105921","119352"
"sonic","97366","86549","80698","94176","103542","121868"
"python-cups","97101","83175","79911","93829","105001","123589"
"libevent","97074","52099","89714","114309","131871","97378"
"librabbitmq","97039","49352","74137","95438","120724","145548"
"libgdk-pixbuf2.0-0","96952","142075","121964","107204","64609","48911"
"geoip","96910","155447","111479","99743","66429","51452"
"xmlsec1","96838","85344","90709","108071","115972","84094"
"libpagemaker","96516","84985","80563","93930","102807","120296"
"dotconf","95876","84592","79118","92741","102402","120528"
"plymouth","95856","77456","77477","93159","105780","125411"
"texlive-bin","95765","90020","82955","93111","99751","112991"
