"package","dependency","type"
"libgnatcoll-bindings","libxmlada-input-dev-22e31777","declared"
"libgnatcoll-bindings","libxmlada-sax-dev-68924724","declared"
"libgnatcoll-bindings","libxmlada-schema-dev-e6391b3d","declared"
"libgnatcoll-bindings","libxmlada-unicode-dev-40169e21","declared"
"libgnatcoll-bindings","python3.13","declared"
"libgnatcoll-bindings","readline","declared"
"libgnatcoll-bindings","xz-utils","declared"
"libgnatcoll-bindings","zlib","declared"
"airstrike","glibc","declared"
"airstrike","sdl-image1.2","declared"
"airstrike","sdl12-compat","declared"
"transcend","freeglut","declared"
"transcend","gcc-14","declared"
"transcend","glibc","declared"
"transcend","libglu","declared"
"transcend","libglvnd","declared"
"transcend","portaudio19","declared"
"toga2","glibc","declared"
"clustalo","argtable2","declared"
"djbdns","glibc","declared"
"djbdns","init-system-helpers","declared"
"djbdns","runit-helper","declared"
"djbdns","systemd","declared"
"djbdns","ucspi-tcp","declared"
"libid3tag","glibc","declared"
"libid3tag","pkgconf","declared"
"libid3tag","zlib","declared"
"libsmacker","glibc","declared"
"fio","ceph","declared"
"fio","glibc","declared"
"fio","glusterfs","declared"
"fio","init-system-helpers","declared"
"fio","libaio","declared"
"fio","libnbd","declared"
"fio","libnfs","declared"
"fio","numactl","declared"
"fio","pmdk","declared"
"fio","python3-defaults","declared"
"fio","rdma-core","declared"
"fio","zlib","declared"
"marisa","gcc-14","declared"
"marisa","glibc","declared"
"marisa","perl","declared"
"marisa","perlapi-5.40.1","declared"
"yubico-piv-tool","glibc","declared"
"yubico-piv-tool","openssl","declared"
"yubico-piv-tool","pcsc-lite","declared"
"yubico-piv-tool","zlib","declared"
"wget2","brotli","declared"
"wget2","bzip2","declared"
"wget2","gcc-14","declared"
"wget2","glibc","declared"
"wget2","gnutls28","declared"
"wget2","libidn2","declared"
"wget2","libproxy","declared"
"wget2","libpsl","declared"
"wget2","libzstd","declared"
"wget2","lzlib","declared"
"wget2","nghttp2","declared"
"wget2","xz-utils","declared"
"wget2","zlib","declared"
