"package","avg_downloads","2020","2021","2022","2023","2024"
"nbclient",148855578,35772128,161090851,121167712,138364738,287882460
"asynctest",147675321,3669743,42002521,231511420,211532768,249660153
"dulwich",147556445,3181354,8766338,41916499,211814226,472103809
"pandocfilters",146451236,95382462,166187116,115024741,113526225,242135637
"crashtest",145946436,3257155,31169201,86374388,163529430,445402008
"arrow",144730438,31477393,51347730,87007023,178336363,375483681
"huggingface-hub",144238574,408,13194946,59950405,178282052,469765060
"tensorflow-estimator",144057740,99605183,114381353,149717982,170305121,186279062
"google-pasta",144051994,52565316,70628756,123904100,153788812,319372988
"pkgutil-resolve-name",143383355,35795,29636,82599277,266972679,367279389
"humanfriendly",143314913,27209961,52419079,127564684,181672714,327708127
"pygithub",143039206,14528830,50539333,92154327,141449872,416523668
"contourpy",142080923,0,18540,27033171,208463537,474889368
"cached-property",142033323,54514715,133088745,181849954,149173614,191539586
"gast",141130649,69624128,103387438,153082504,162418529,217140644
"ipywidgets",140748892,88011639,151841625,102973128,120473184,240444884
"argon2-cffi",140570631,46173381,159565946,110462993,125302309,261348526
"nltk",140312868,55707526,121885568,141936622,138037680,243996943
"widgetsnbextension",140243726,88246390,151318906,102611685,120519053,238522598
"jsonpatch",139547081,23177039,47349085,105097396,172999480,349112403
"transformers",139046337,8105680,30414539,77478819,180159639,399073008
"text-unidecode",139033400,45382982,88557454,126706768,151214344,283305451
"retry",138928096,28412020,73481505,87792644,141228432,363725880
"google-cloud-bigquery-storage",138533787,7595410,89946304,152030681,216267368,226829173
"progressbar2",138115718,11371273,16924116,138510600,220407189,303365411
"terminado",137978449,92459415,159281200,109057737,108526010,220567882
"ujson",137123137,90807451,163372298,135921283,97914143,197600508
"tensorflow-serving-api",136029393,70753800,163613987,181518428,140529557,123731191
"pytzdata",135922610,26359662,44832455,89218053,144315897,374886982
"opensearch-py",135384949,0,4052399,115310816,219385977,338175554
"rfc3986",135383727,51425786,116241963,149133184,156629423,203488278
"torch",135209286,22348731,54395079,97757426,140857666,360687526
"configparser",134920651,125856230,143125729,140061644,127300268,138259385
"python-slugify",134823636,18766466,42897629,95240074,144926121,372287890
"xlsxwriter",134784734,52973800,83918829,116729615,152580301,267721126
"contextlib2",134664765,87691042,117944738,140924641,156530172,170233231
"python-utils",134516669,11219194,17745962,137890768,224840927,280886495
"shapely",133836348,34062765,57018744,92847297,153618388,331634546
"requests-file",133326972,22249819,64242993,118494772,154373030,307274245
"aiofiles",132844877,41014693,102141231,77852315,169636029,273580117
"installer",132566019,16051,77631,19865557,165757235,477113621
"selenium",132430714,44751117,89827010,141595586,155675035,230304824
"asttokens",132382285,1340770,2918819,74397342,168821946,414432549
"typer",131468212,1124985,28314741,86211310,145328922,396361104
"google-cloud-secret-manager",131291314,6487230,31652735,136553297,162664024,319099285
"croniter",131119356,20065986,42278308,84035772,137861631,371355084
"ipython-genutils",131107717,127701331,193784301,132165573,115132441,86754939
"lockfile",130879062,46290458,84042220,133791468,175322852,214948312
"jupyterlab-pygments",130428580,34480743,157306931,108833293,110651687,240870244
"executing",129141222,211470,1726293,74026476,160693478,409048393
"mysql-connector-python",129009378,23981531,49896632,131953018,145301480,293914228
"cattrs",127341534,10690769,38482653,102294859,189647930,295591457
"typed-ast",126502763,112827464,174976774,148180479,106300463,90228636
"types-requests",126446248,0,8367742,48260687,105475812,470126999
"multiprocess",126153390,13153354,18224287,59346418,151760343,388282549
"pysocks",125967365,16414597,30814894,127360687,164279436,290967211
"nodeenv",125799124,20075018,40366934,72004096,149675699,346873873
"mlflow",125765823,30741638,116408349,142297563,152170536,187211028
"apache-airflow",125609173,8320135,29596885,99126075,165702290,325300482
"stack-data",125023690,20232,146283,69209474,155140152,400602308
"html5lib",124694091,37798758,67581281,132716780,175900177,209473458
"pytest-mock",124244559,32923894,50985793,80230742,134671443,322410925
"orjson",123777470,4679124,17163666,56984286,148309306,391750968
"django",122179836,66525490,86075317,98188740,135181436,224928198
"aenum",121056763,11577939,15317641,79868656,189347419,309172161
"azure-mgmt-resource",120004053,37991469,98135854,123689782,123518138,216685023
"uvloop",119500290,42878694,105781056,112682713,117059080,219099905
"tokenizers",119361862,9323262,35950044,80093658,145995183,325447161
"dataclasses",118956329,35301558,104662561,130771035,135554624,188491868
"xgboost",118680345,40809824,76740654,101853397,119483322,254514526
"watchdog",118499741,26682842,43672143,83377900,152732453,286033368
"pytest-xdist",118322148,29687002,53690442,73682939,128740015,305810341
"jupyter-server",118308789,514285,17839993,48982164,191096078,333111427
"azure-storage-common",117915169,67520875,111276420,146424064,127329193,137025291
"sphinx",117745400,39028489,49778828,87007789,132950840,279961052
"pure-eval",117249051,30752,355393,66529073,138568724,380761315
"identify",117244382,19707710,40706223,73480441,149072940,303254596
"responses",117232116,26586250,52262228,99430708,135386655,272494741
"pre-commit",116504812,19135893,39072740,69988110,141766155,312561161
"jupyterlab-widgets",115958497,2767844,142592708,92095007,110177741,232159184
"backports-zoneinfo",115858378,737489,37898489,175421100,198514162,166720649
"execnet",115695598,29761029,53565906,72423791,132338333,290388929
"snowflake-sqlalchemy",115636665,5366798,27807845,77849679,147876158,319282843
"pandas-gbq",115299347,63895385,114596049,98739283,91007717,208258301
"docopt",114151833,68030728,84034481,123819802,135242617,159631538
"tb-nightly",114006754,4505581,4651133,9604012,186092518,365180527
"numba",113941043,22344653,59348162,106924429,159416069,221671904
