"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"scramp","","345568974","79270949","218226001","337989327","493187009","599171586","True","0.00070123","C"
"babel","python-babel/babel","409439491","174526524","183756947","263809682","547208239","877896065","True","0.00069913","C"
"nest-asyncio","erdewit/nest_asyncio","422833630","171976566","194575614","319195052","572758754","855662166","True","0.00069827","C"
"black","psf/black","388590056","90584761","176088117","283085202","523995765","869196436","True","0.00069226","C"
"gunicorn","","464643431","245578728","295222909","352396601","624586127","805432791","True","0.00068617","C"
"pyrsistent","tobgu/pyrsistent","479345163","350259173","453936430","537920023","511922569","542687622","True","0.00068562","C"
"pymysql","","456651072","136958648","328251592","482931559","562582701","772530861","True","0.00068554","C"
"markdown","python-markdown/markdown","393464575","158374751","242816995","331121191","500154834","734855106","True","0.00067363","C"
"xmltodict","martinblech/xmltodict","448977656","129898943","213030251","319358706","627157190","955443191","True","0.00067158","C"
"cython","cython/cython","464476878","213546593","307867898","397216694","556286404","847466801","True","0.00066761","C"
"mock","testing-cabal/mock","208663086","150642594","129555483","158954004","309155565","295007782","True","0.00066587","C"
"mpmath","mpmath/mpmath","212391619","20932228","29444395","93078340","272655855","645847275","True","0.00065555","C"
"pytest-cov","","454347196","126134769","173616789","317769646","690039497","964175278","True","0.00065302","C"
"isort","pycqa/isort","425263600","185590969","258933024","317753359","578107065","785933582","True","0.00065252","C"
"backports-zoneinfo","","135445577","37714896","175274469","196428358","163808646","104001516","True","0.00064855","C"
"jaraco-functools","","230514562","6247444","25230653","23118573","191667230","906308910","True","0.00064768","C"
"jaraco-context","","216729482","702180","20071013","13599220","177765720","871509278","True","0.00064117","C"
"sphinx","sphinx-doc/sphinx","254961427","49130794","86473796","127796266","268036807","743369474","True","0.00063809","C"
"text-unidecode","kmike/text-unidecode","226380821","88437110","126544297","150814544","280678067","485430087","True","0.00063778","C"
"jedi","davidhalter/jedi","399299739","197381096","194034638","284811152","494730078","825541733","True","0.00063579","C"
"pkginfo","","419765240","103314441","206801019","255689236","648450530","884570974","True","0.00062908","C"
"websockets","python-websockets/websockets","407735899","131902790","175707923","230071257","425878789","1075118737","True","0.00062794","C"
"pyflakes","pycqa/pyflakes","319193134","144140176","204392457","271239815","429465988","546727236","True","0.00062074","C"
"crashtest","","293606790","31149775","86270409","163466643","445164381","741982742","True","0.00061049","C"
"typing-inspect","ilevkivskyi/typing_inspect","328035348","136654718","192437929","244095676","404732811","662255608","True","0.00060913","C"
"opentelemetry-exporter-otlp-proto-http","open-telemetry/opentelemetry-python","309633194","1375703","11064016","61168927","282059396","1192497929","True","0.00059843","C"
"absl-py","abseil/abseil-py","283321300","235593052","235442992","262258190","299771041","383541223","True","0.00059377","C"
"portalocker","wolph/portalocker","392830793","136088768","281443962","397353177","681846706","467421353","True","0.00059257","C"
"jupyter-client","jupyter/jupyter_client","297881066","168285464","159388989","249026494","366401278","546303105","True","0.00058979","C"
"poetry","python-poetry/poetry","310550169","34470451","91480688","205530026","468663162","752606516","True","0.00058658","C"
