"package","github_repo"
"squashfuse","vasi/squashfuse"
"srt","Haivision/srt"
"srtp","cisco/libsrtp"
"stoken","stoken-dev/stoken"
"suitesparse","DrTimothyAldenDavis/SuiteSparse"
"superlu","xiaoyeli/superlu"
"swiftformat","nicklockwood/SwiftFormat"
"swiftgen","SwiftGen/SwiftGen"
"swiftlint","realm/SwiftLint"
"synaptic","mvo5/synaptic"
"systemd","systemd/systemd"
"sysvinit","slicer69/sysvinit"
"teckit","silnrsi/teckit"
"telnet-apple","apple-oss-distributions/remote_cmds"
"terminal-notifier","julienXX/terminal-notifier"
"tesseract-ocr","tesseract-ocr/tesseract"
"tfenv","tfutils/tfenv"
"the-silver-searcher","ggreer/the_silver_searcher"
"tidy","htacg/tidy-html5"
"tinyxml","leethomason/tinyxml2"
"tmux","tmux/tmux"
"tpm2-tss","tpm2-software/tpm2-tss"
"transmission","transmission/transmission"
"tree-sitter","tree-sitter/tree-sitter"
"tree-steve-baker","Old-Man-Programmer/tree"
"unibilium","neovim/unibilium"
"uriparser","uriparser/uriparser"
"usbmuxd","libimobiledevice/usbmuxd"
"usbutils","gregkh/usbutils"
"utf8proc","JuliaStrings/utf8proc"
"utfcpp","nemtrif/utfcpp"
"uthash","troydhanson/uthash"
"util-linux","util-linux/util-linux"
"uvwasi","nodejs/uvwasi"
"vapoursynth","vapoursynth/vapoursynth"
"vde","virtualsquare/vde-2"
"vid.stab","georgmartius/vid"
"vim","vim/vim"
"vips","libvips/libvips"
"vmaf","Netflix/vmaf"
"vulkan-headers","KhronosGroup/Vulkan-Headers"
"vulkan-loader","KhronosGroup/Vulkan-Loader"
"wangle","facebook/wangle"
"whisper-cpp","ggml-org/whisper"
"whois","rfc1036/whois"
"woff2","google/woff2"
"wtmpdb","thkukuk/wtmpdb"
"wxwidgets","wxWidgets/wxWidgets"
"xapp","linuxmint/xapp"
"xarchiver","ib/xarchiver"
"xcbeautify","cpisciotta/xcbeautify"
"xclip","astrand/xclip"
"xcodegen","yonaskolb/XcodeGen"
"xctesthtmlreport","XCTestHTMLReport/XCTestHTMLReport"
"xdg-utils-cxx","azubieta/xdg-utils-cxx"
"xdotool","jordansissel/xdotool"
"xmlsec","lsh123/xmlsec"
"xnnpack","google/XNNPACK"
"xxhash","Cyan4973/xxHash"
"xz","tukaani-project/xz"
"yajl","lloyd/yajl"
"yamllint","adrienverge/yamllint"
"yara","VirusTotal/yara"
"yt-dlp","yt-dlp/yt-dlp"
"ytnef","Yeraze/ytnef"
"yyjson","ibireme/yyjson"
"z3","Z3Prover/z3"
"zbar","mchehab/zbar"
"zeromq","zeromq/libzmq"
"zimg-image-processing","sekrit-twc/zimg"
"zlib-ng","zlib-ng/zlib-ng"
"zsh-autosuggestions","zsh-users/zsh-autosuggestions"
"zsh-completions","zsh-users/zsh-completions"
"zsh-syntax-highlighting","zsh-users/zsh-syntax-highlighting"
"zstd","facebook/zstd"
"zvbi","zapping-vbi/zvbi"
"zxcvbn-c","tsyrogit/zxcvbn-c"
"zxing-cpp","zxing-cpp/zxing-cpp"
"zziplib","gdraheim/zziplib"
