"package","github_repo","git","eco_guess","llm_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","license"
"debian:libmagickcore-6.q16-6-extra","","","","","71299","0","99105","0.00007468","D",""
"debian:dnsutils","","","","","71271","0","99066","0.00007465","D",""
"osinfo-db","","https://salsa.debian.org/libvirt-team/osinfo-db.git","git","","66295","0","92150","0.00007429","D",""
"libimobiledevice-glue","libimobiledevice/libimobiledevice-glue","https://github.com/libimobiledevice/libimobiledevice-glue.git","","","35078","17482","66240","0.00007401","D","lgpl-2.1-or-later"
"tinysparql","","https://gitlab.gnome.org/gnome/tinysparql.git","","","56571","0","78633","0.00007392","D",""
"kdbusaddons","","https://invent.kde.org/frameworks/kdbusaddons","","","40549","0","56363","0.00007374","D",""
"apmod:dnssd","","","","","62782","0","87266","0.00007364","D",""
"libmms","","https://salsa.debian.org/multimedia-team/libmms.git","git","","67980","2855","97347","0.00007354","D","lgpl-2.1-or-later"
"libxcvt","","https://salsa.debian.org/xorg-team/lib/libxcvt.git","git","","63070","0","87667","0.00007327","D",""
"debian:perl-modules-5.32","","","","","69687","0","96864","0.00007299","D",""
"vtk","","","","","1051","91433","92893","0.00007296","D","bsd-3-clause"
"debian:libperl5.32","","","","","69593","0","96734","0.00007289","D",""
"kcrash","","https://invent.kde.org/frameworks/kcrash","","","41229","0","57308","0.00007273","D",""
"swig","","https://salsa.debian.org/debian/swig.git","git","","0","96459","96459","0.00007269","D","gpl-3.0-or-later"
"debian:libavutil56","","","","","69325","0","96361","0.00007261","D",""
"debian:libswresample3","","","","","69260","0","96271","0.00007254","D",""
"notification-daemon","","https://salsa.debian.org/gnome-team/notification-daemon.git","git","","68799","0","95630","0.00007206","D",""
"ada","ada-url/ada","https://github.com/ada-url/ada.git","","","0","471","471","0.00007188","D",""
"exempi","","https://salsa.debian.org/debian/exempi.git","git","","66412","0","92312","0.00007179","D",""
"node:undici","nodejs/llhttp","https://github.com/nodejs/llhttp.git","","","28","0","38","0.00007155","D",""
"hdrhistogram-c","HdrHistogram/HdrHistogram_c","https://github.com/hdrhistogram/hdrhistogram_c.git","","","0","0","0","0.00007152","D",""
"merve","nodejs/merve","https://github.com/nodejs/merve.git","","","0","0","0","0.00007152","D","apache-2.0"
"nbytes","nodejs/nbytes","https://github.com/nodejs/nbytes.git","","","0","0","0","0.00007152","D","mit"
"libmediaart","","https://salsa.debian.org/gnome-team/libmediaart.git","git","","62773","0","87254","0.00007138","D",""
"debian:libexiv2-27","","","","","68129","0","94699","0.00007136","D",""
"karchive","","https://invent.kde.org/frameworks/karchive","","","41353","0","57480","0.00007122","D",""
"rhash","","https://salsa.debian.org/pkg-security-team/rhash.git","git","","3427","0","4763","0.00007118","D",""
"gnome-disk-utility","","https://salsa.debian.org/gnome-team/gnome-disk-utility.git","git","","67940","0","94436","0.00007116","D",""
"lua:lpeg","","","","","56","51748","51825","0.00007110","D",""
"imlib2","","https://salsa.debian.org/debian/imlib2.git","git","","26614","23105","60098","0.00007105","D","imlib2"
"debian:libavcodec58","","","","","67615","0","93984","0.00007082","D",""
"wireshark","","https://gitlab.com/wireshark/wireshark.git","","","14990","70267","91103","0.00007053","D","gpl-2.0-or-later"
"gnome-settings-daemon","","https://gitlab.gnome.org/gnome/gnome-settings-daemon.git","","","63941","0","88877","0.00007014","D",""
"nautilus","","https://salsa.debian.org/gnome-team/nautilus.git","git","","59519","0","82731","0.00006988","D",""
"mpi-defaults","","https://salsa.debian.org/science-team/mpi-defaults.git","git","","6896","0","9585","0.00006943","D",""
"debian:libgimp2.0","","","","","66143","0","91938","0.00006928","D",""
"knotifications","","https://invent.kde.org/frameworks/knotifications","","","40430","0","56197","0.00006901","D",""
"wimlib","","https://salsa.debian.org/debian/wimlib.git","git","","889","90303","91538","0.00006898","D","gpl-3.0-or-later"
"libraqm","HOST-Oman/libraqm","https://github.com/host-oman/libraqm.git","","","28855","43673","83781","0.00006897","D","mit"
"webkitgtk","","","","","53986","0","75040","0.00006880","D",""
"libqrtr-glib","","https://gitlab.freedesktop.org/mobile-broadband/libqrtr-glib.git","","","50584","0","70311","0.00006872","D",""
"xdg-user-dirs-gtk","","https://salsa.debian.org/gnome-team/xdg-user-dirs-gtk.git","git","","63691","0","88530","0.00006869","D",""
"python:pillow","","","","","0","91084","91084","0.00006864","D",""
"debian:imagemagick-6.q16","","","","","65493","0","91035","0.00006860","D",""
"kcompletion","","https://invent.kde.org/frameworks/kcompletion","","","40990","0","56976","0.00006859","D",""
"grilo","","https://salsa.debian.org/berto/grilo.git","git","","61000","0","84790","0.00006859","D",""
"geoclue","","https://gitlab.freedesktop.org/geoclue/geoclue/wikis/home.git","","","63767","0","88636","0.00006845","D",""
"libosinfo","","https://salsa.debian.org/libvirt-team/libosinfo.git","git","","65340","0","90822","0.00006844","D",""
"usrmerge","","https://salsa.debian.org/md/usrmerge.git","git","","65284","0","90744","0.00006838","D",""
"debian:libncurses5","","","","","65234","0","90675","0.00006833","D",""
"screen","","https://salsa.debian.org/debian/screen.git","git","","55231","13170","89941","0.00006777","D","gpl-3.0-or-later"
"vlc","videolan/vlc","https://github.com/videolan/vlc.git","","","58848","0","81798","0.00006761","D",""
"http-parser","joyent/http-parser","https://github.com/joyent/http-parser.git","","","46488","0","64618","0.00006718","D",""
"libebml","","https://salsa.debian.org/multimedia-team/libebml.git","git","","44793","6385","68647","0.00006708","D","lgpl-2.1-or-later"
"libpaper","rrthomas/libpaper","https://github.com/rrthomas/libpaper.git","","","13717","12832","31898","0.00006695","D","lgpl-2.1-or-later"
"uriparser","uriparser/uriparser","https://github.com/uriparser/uriparser.git","","","38480","24201","77688","0.00006661","D","bsd-3-clause"
"aptitude","","https://salsa.debian.org/apt-team/aptitude.git","git","","63478","0","88234","0.00006649","D",""
"gnome-control-center","","https://salsa.debian.org/gnome-team/gnome-control-center.git","git","","62535","0","86923","0.00006645","D",""
"gnome-autoar","","https://salsa.debian.org/gnome-team/gnome-autoar.git","git","","59228","0","82326","0.00006626","D",""
"gnome-terminal","","https://salsa.debian.org/gnome-team/gnome-terminal.git","git","","63111","0","87724","0.00006610","D",""
"kitemviews","","https://invent.kde.org/frameworks/kitemviews","","","41860","0","58185","0.00006603","D",""
"whois","rfc1036/whois","https://github.com/rfc1036/whois.git","git,github","","62901","0","87432","0.00006588","D",""
"gnome-session","","https://gitlab.gnome.org/gnome/gnome-session.git","","","59752","0","83055","0.00006586","D",""
"file-roller","","https://salsa.debian.org/gnome-team/file-roller.git","git","","62629","0","87054","0.00006560","D",""
"libgeotiff","OSGeo/libgeotiff","https://github.com/osgeo/libgeotiff.git","","","20577","56263","84865","0.00006553","D","mit"
"mutter","","https://salsa.debian.org/gnome-team/mutter.git","git","","60497","0","84090","0.00006534","D",""
"debian:libavformat58","","","","","62380","0","86708","0.00006534","D",""
"gdb","","https://salsa.debian.org/gdb-team/gdb.git","git","","25866","50657","86610","0.00006526","D","gpl-3.0-or-later"
"wireless-tools","hewlettpackard/wireless-tools","https://github.com/hewlettpackard/wireless-tools.git","git,github","","62225","0","86492","0.00006517","D",""
"fastfetch","fastfetch-cli/fastfetch","https://github.com/fastfetch-cli/fastfetch.git","","","0","86420","86420","0.00006512","D","mit"
"libiptcdata","ianw/libiptcdata","https://github.com/ianw/libiptcdata.git","","","62066","0","86271","0.00006501","D",""
"libgnomekbd","","https://salsa.debian.org/gnome-team/libgnomekbd.git","git","","60799","0","84510","0.00006486","D",""
"gnome-user-share","","https://salsa.debian.org/gnome-team/gnome-user-share.git","git","","61916","0","86063","0.00006485","D",""
"mvfst","facebook/mvfst","https://github.com/facebook/mvfst.git","","","0","86003","86003","0.00006481","D","mit"
"psutils-postscript-rrthomas","rrthomas/psutils","https://github.com/rrthomas/psutils.git","","","16825","32067","55453","0.00006471","D",""
"liblouisutdml","","https://salsa.debian.org/a11y-team/liblouisutdml.git","git","","61622","0","85654","0.00006454","D",""
"exim","","","","","61569","0","85580","0.00006449","D",""
"ethtool","","https://salsa.debian.org/kernel-team/ethtool.git","git","","61417","0","85369","0.00006433","D",""
"ann","","https://salsa.debian.org/science-team/ann.git","git","","49040","0","68165","0.00006430","D",""
"xnnpack","google/XNNPACK","https://github.com/google/xnnpack.git","","","59152","0","82221","0.00006423","D",""
"libcddb","","https://salsa.debian.org/nickg/libcddb.git","git","","60542","0","84153","0.00006421","D",""
"rpcbind","","https://salsa.debian.org/debian/rpcbind.git","git","","58826","0","81768","0.00006418","D",""
"debian:libswscale5","","","","","61279","0","85177","0.00006418","D",""
"yyjson","ibireme/yyjson","https://github.com/ibireme/yyjson.git","","","3467","6469","11288","0.00006391","D","mit"
"grilo-plugins","","https://salsa.debian.org/berto/grilo-plugins.git","git","","59513","0","82723","0.00006384","D",""
"totem","","https://salsa.debian.org/gnome-team/totem.git","git","","60741","0","84429","0.00006362","D",""
"swiftformat","nicklockwood/SwiftFormat","https://github.com/nicklockwood/swiftformat.git","","","0","84357","84357","0.00006357","D","mit"
"gnome-shell","","https://gitlab.gnome.org/gnome/gnome-shell.git","","","57907","0","80490","0.00006349","D",""
"transmission","","https://salsa.debian.org/debian/transmission.git","git","","60588","0","84217","0.00006346","D",""
"brasero","","https://salsa.debian.org/gnome-team/brasero.git","git","","59801","0","83123","0.00006345","D",""
"libphonenumber","googlei18n/libphonenumber","https://github.com/googlei18n/libphonenumber.git","","","60529","0","84135","0.00006340","D",""
"pyenv-virtualenv","pyenv/pyenv-virtualenv","https://github.com/pyenv/pyenv-virtualenv.git","","","0","83753","83753","0.00006311","D","mit"
"debian:libpostproc55","","","","","60251","0","83748","0.00006311","D",""
"clutter-gst","","","","","57379","0","79756","0.00006306","D",""
"kcolorscheme","","https://invent.kde.org/frameworks/kcolorscheme","","","15298","0","21264","0.00006305","D",""
"libnatpmp","","https://salsa.debian.org/miniupnp-team/libnatpmp.git","git","","57334","0","79694","0.00006275","D",""
"debian:libncursesw5","","","","","59885","0","83240","0.00006272","D",""
"ipython","ipython/ipython","https://github.com/ipython/ipython.git","","","0","83029","83029","0.00006257","D","bsd-3-clause"
"libxmlb","hughsie/libxmlb","https://github.com/hughsie/libxmlb.git","","","49823","10382","79635","0.00006254","D","lgpl-2.1-or-later"
"debian:libpython2.7","","","","","59406","0","82574","0.00006222","D",""
"libjcat","hughsie/libjcat","https://github.com/hughsie/libjcat.git","","","58669","0","81549","0.00006211","D",""
"libgpod","","https://salsa.debian.org/debian/libgpod.git","git","","59261","0","82372","0.00006207","D",""
"libsidplay","","","","","58578","0","81423","0.00006197","D",""
"dee","","https://salsa.debian.org/debian/dee.git","git","","54154","0","75274","0.00006191","D",""
"python:pyqt","","","","","0","81996","81996","0.00006179","D",""
"folks","","https://salsa.debian.org/gnome-team/folks.git","git","","55522","0","77175","0.00006158","D",""
"debian:libavfilter7","","","","","58722","0","81623","0.00006151","D",""
"kauth","","https://invent.kde.org/frameworks/kauth","","","40857","0","56791","0.00006129","D",""
"iso-codes","","https://salsa.debian.org/iso-codes-team/iso-codes.git","","","0","22627","22627","0.00006123","D","lgpl-2.1-or-later"
"hello","","https://salsa.debian.org/sanvila/hello.git","git","","342","80754","81229","0.00006121","D","gpl-3.0-or-later"
"flashrom","","https://salsa.debian.org/myczko-guest/flashrom.git","git","","58153","0","80832","0.00006091","D",""
"debian:libcomerr2","","","","","58117","0","80782","0.00006087","D",""
"malcontent-parental-controls","","https://gitlab.freedesktop.org/pwithnall/malcontent.git","","","55113","0","76607","0.00006086","D",""
"gegl","","https://salsa.debian.org/gnome-team/gegl.git","git","","56950","0","79160","0.00006076","D",""
"libofa","tanob/libofa","https://github.com/tanob/libofa.git","","","57990","0","80606","0.00006074","D",""
"libcloudproviders","","https://salsa.debian.org/gnome-team/libcloudproviders.git","git","","43129","0","59949","0.00006071","D",""
"gcab","","https://salsa.debian.org/debian/gcab.git","git","","57843","0","80401","0.00006059","D",""
"gdm-gnome-display-manager","","","","","57444","0","79847","0.00006047","D",""
"llama.cpp","ggml-org/llama","https://github.com/ggml-org/llama.cpp.git","","","0","79971","79971","0.00006026","D","mit"
"eog","","https://salsa.debian.org/gnome-team/eog.git","git","","57472","0","79886","0.00006020","D",""
"nfs-utils","","https://salsa.debian.org/kernel-team/nfs-utils.git","git","","57455","0","79862","0.00006018","D",""
"boost-defaults","","https://salsa.debian.org/debian/boost-defaults.git","git","","15425","0","21440","0.00006008","D",""
"shotwell","","https://git.jff.email/cgit/shotwell.git","git","","57342","0","79705","0.00006006","D",""
"libdvbpsi","","https://salsa.debian.org/multimedia-team/libdvbpsi.git","git","","56626","0","78710","0.00005992","D",""
"ostree","ostreedev/ostree","https://github.com/ostreedev/ostree.git","","","54661","0","75978","0.00005935","D",""
"gsound","","https://salsa.debian.org/gnome-team/gsound.git","git","","52619","0","73140","0.00005915","D",""
"cheese","","https://salsa.debian.org/gnome-team/cheese.git","git","","56408","0","78407","0.00005908","D",""
"kjobwidgets","","https://invent.kde.org/frameworks/kjobwidgets","","","39767","0","55276","0.00005901","D",""
"bogofilter","","","","","54888","0","76294","0.00005879","D",""
"ytnef","Yeraze/ytnef","https://github.com/yeraze/ytnef.git","","","54859","0","76254","0.00005876","D",""
"tpm2-tss","tpm2-software/tpm2-tss","https://github.com/tpm2-software/tpm2-tss.git","","","53802","0","74784","0.00005856","D",""
"libntlm","","https://salsa.debian.org/pkg-security-team/libntlm.git","git","","52247","0","72623","0.00005852","D",""
"debian:libgdbm3","","","","","55774","0","77525","0.00005842","D",""
"httpie","httpie/cli","https://github.com/httpie/cli.git","","","0","77298","77298","0.00005825","D","bsd-3-clause"
"debian:libswresample4","","","","","55507","0","77154","0.00005814","D",""
"evolution","","https://gitlab.gnome.org/gnome/evolution.git","","","55243","0","76787","0.00005786","D",""
"gom","","https://salsa.debian.org/debian/gom.git","git","","52146","0","72482","0.00005781","D",""
"gedit","","https://gitlab.gnome.org/world/gedit/gedit.git","","","44965","13216","75717","0.00005706","D","gpl-2.0-or-later"
"taglib","","https://salsa.debian.org/multimedia-team/taglib.git","git","","13264","38324","56760","0.00005698","D","lgpl-2.1-only and mpl-1.1"
"ncdu","","https://salsa.debian.org/cgzones/ncdu.git","git","","17603","51062","75530","0.00005691","D","mit"
"kglobalaccel","","https://invent.kde.org/frameworks/kglobalaccel","","","39810","0","55335","0.00005690","D",""
"libopenmpt-modplug","","https://salsa.debian.org/multimedia-team/libopenmpt-modplug.git","git","","53722","0","74673","0.00005688","D",""
"flatpak","","https://salsa.debian.org/debian/flatpak.git","git","","50730","0","70514","0.00005683","D",""
"utfcpp","nemtrif/utfcpp","https://github.com/nemtrif/utfcpp.git","","","393","60420","60966","0.00005679","D",""
"gmmlib","intel/gmmlib","https://github.com/intel/gmmlib.git","","","54164","0","75287","0.00005673","D",""
"sdl-image","","","","","54155","0","75275","0.00005672","D",""
"debian:libntfs-3g883","","","","","54006","0","75068","0.00005657","D",""
"gnome-menus","","https://salsa.debian.org/gnome-team/gnome-menus.git","git","","53665","0","74594","0.00005651","D",""
"gnome-contacts","","https://salsa.debian.org/gnome-team/gnome-contacts.git","git","","53831","0","74825","0.00005638","D",""
"rhythmbox","","https://salsa.debian.org/gnome-team/rhythmbox.git","git","","53714","0","74662","0.00005626","D",""
"libmypaint","mypaint/libmypaint","https://github.com/mypaint/libmypaint.git","","","52451","0","72906","0.00005605","D",""
"debian:libavresample4","","","","","53474","0","74328","0.00005601","D",""
"freexl","","https://salsa.debian.org/debian-gis-team/freexl.git","git","","25730","29908","65672","0.00005599","D","mpl-1.1 or gpl-2.0-or-later or lgpl-2.1-or-later"
"hitori","","https://salsa.debian.org/gnome-team/hitori.git","git","","51108","0","71040","0.00005589","D",""
"polkit-qt-1","","https://invent.kde.org/libraries/polkit-qt-1","","","42530","0","59116","0.00005585","D",""
"debian:libavutil57","","","","","53294","0","74078","0.00005582","D",""
"libldac","","https://salsa.debian.org/multimedia-team/libldac.git","git","","49620","0","68971","0.00005581","D",""
"localsearch","","","","","53243","0","74007","0.00005577","D",""
"libfreeaptx","iamthehorker/libfreeaptx","https://github.com/iamthehorker/libfreeaptx.git","","","48905","0","67977","0.00005506","D",""
"gucharmap","","https://salsa.debian.org/gnome-team/gucharmap.git","git","","52443","0","72895","0.00005493","D",""
"glibmm","","https://gitlab.gnome.org/gnome/glibmm.git","git","","14708","0","20444","0.00005464","D",""
"hoichess","","https://salsa.debian.org/debian/hoichess.git","git","","51930","0","72182","0.00005439","D",""
"hidapi","libusb/hidapi","https://github.com/libusb/hidapi.git","","","17199","22375","46281","0.00005423","D","gpl-3.0-only or bsd-3-clause or hidapi"
"debian:libcroco3","","","","","51551","0","71655","0.00005399","D",""
"debian:libavcodec59","","","","","51458","0","71526","0.00005390","D",""
"libgnome-games-support","","https://salsa.debian.org/gnome-team/libgnome-games-support.git","git","","51431","0","71489","0.00005387","D",""
"pigz","","https://salsa.debian.org/blade/pigz.git","git","","51435","0","71494","0.00005387","D",""
"kirigami","","https://invent.kde.org/frameworks/kirigami","","","34310","0","47690","0.00005374","D",""
"gpgmepp","","","","","0","52080","52080","0.00005356","D","lgpl-2.1-or-later"
"libusbmuxd","libimobiledevice/libusbmuxd","https://github.com/libimobiledevice/libusbmuxd.git","","","14280","39206","59055","0.00005343","D","gpl-2.0-or-later and lgpl-2.1-or-later"
"ktextwidgets","","https://invent.kde.org/frameworks/ktextwidgets","","","40027","0","55637","0.00005343","D",""
"lzip","","","","","14341","50795","70728","0.00005330","D","gpl-2.0-or-later"
"kwallet","","https://invent.kde.org/frameworks/kwallet","","","40333","0","56062","0.00005324","D",""
"r","","","","","6586","61478","70632","0.00005322","D","gpl-2.0-or-later"
"aws-c-http","awslabs/aws-c-http","https://github.com/awslabs/aws-c-http.git","","","0","27644","27644","0.00005312","D","apache-2.0"
"libvirt","","https://salsa.debian.org/libvirt-team/libvirt.git","git","","20418","39355","67736","0.00005309","D","lgpl-2.1-or-later and gpl-2.0-or-later"
"mecab","taku910/mecab","https://github.com/taku910/mecab.git","git,github","","3891","32762","38170","0.00005292","D","gpl-2.0-only or lgpl-2.1-only or bsd-3-clause"
"liblrdf","swh/LRDF","https://github.com/swh/lrdf.git","","","49305","0","68533","0.00005287","D",""
"debian:libswscale6","","","","","50402","0","70058","0.00005279","D",""
"qqwing","","https://salsa.debian.org/games-team/qqwing.git","git","","50368","0","70011","0.00005276","D",""
"wtmpdb","thkukuk/wtmpdb","https://github.com/thkukuk/wtmpdb.git","","","40579","0","56404","0.00005273","D",""
"neon","exasim-project/neon","https://github.com/exasim-project/neon.git","git,github","","38219","0","53124","0.00005267","D",""
"meta-gnome3","","https://salsa.debian.org/gnome-team/meta-gnome3.git","git","","50220","0","69805","0.00005260","D",""
"appstream","ximion/appstream","https://github.com/ximion/appstream.git","","","13781","15257","34412","0.00005259","D","lgpl-2.1-or-later"
"sonnet","","https://invent.kde.org/frameworks/sonnet","","","40134","0","55786","0.00005257","D",""
"exiftool","","","","","0","69726","69726","0.00005254","D","artistic-1.0-perl or gpl-1.0-or-later"
"libid3tag","","https://salsa.debian.org/multimedia-team/libid3tag.git","git","","45865","0","63752","0.00005245","D",""
"debian:libavformat59","","","","","49978","0","69469","0.00005235","D",""
"vips","libvips/libvips","https://github.com/libvips/libvips.git","","","458","68640","69276","0.00005220","D","lgpl-2.1-or-later"
"tokyocabinet","","https://salsa.debian.org/debian/tokyocabinet.git","git","","37654","0","52339","0.00005211","D",""
"aria2","aria2/aria2","https://github.com/aria2/aria2.git","","","4668","62538","69026","0.00005201","D","gpl-2.0-or-later"
"libmatroska","","https://salsa.debian.org/multimedia-team/libmatroska.git","git","","44787","5894","68147","0.00005196","D","lgpl-2.1-or-later"
"gstreamer:editing-services","","","","","49519","0","68831","0.00005187","D",""
"mailx-unclassified","","","","","49488","0","68788","0.00005183","D",""
"blake3","BLAKE3-team/BLAKE3","https://github.com/blake3-team/blake3.git","","","0","48358","48358","0.00005181","D","cc0-1.0 or apache-2.0"
"augeas","hercules-team/augeas","https://github.com/hercules-team/augeas.git","","","23745","24971","57976","0.00005169","D","lgpl-2.1-or-later"
"libvoikko","","https://salsa.debian.org/debian/libvoikko.git","git","","38624","0","53687","0.00005166","D",""
"xkeyboard-config","","https://salsa.debian.org/xorg-team/data/xkeyboard-config.git","git","","0","13515","13515","0.00005165","D","mit"
"libwpe","","https://salsa.debian.org/webkit-team/libwpe.git","git","","41849","0","58170","0.00005159","D",""
"libmusicbrainz","","","","","48171","0","66957","0.00005157","D",""
"debian:libpostproc56","","","","","49197","0","68383","0.00005153","D",""
"powertop","fenrus75/powertop","https://github.com/fenrus75/powertop.git","","","49076","0","68215","0.00005140","D",""
"exo","","https://salsa.debian.org/xfce-team/desktop/exo.git","git","","32045","0","44542","0.00005130","D",""
"librttopo","","https://git.osgeo.org/gitea/rttopo/librttopo","","","20589","32799","61417","0.00005120","D","gpl-2.0-or-later"
"debian:libavfilter8","","","","","48791","0","67819","0.00005110","D",""
"libdbusmenu-qt","","https://salsa.debian.org/qt-kde-team/extras/libdbusmenu-qt.git","git","","41631","0","57867","0.00005095","D",""
"libpst","","https://salsa.debian.org/debian/libpst.git","git","","47368","0","65841","0.00005091","D",""
"gupnp-igd","","https://salsa.debian.org/gnome-team/gupnp-igd.git","git","","34679","0","48203","0.00005082","D",""
"parallel","","https://salsa.debian.org/med-team/parallel.git","git","","0","67410","67410","0.00005080","D","gpl-3.0-or-later"
"nasm","","https://salsa.debian.org/debian/nasm.git","git","","4596","60871","67259","0.00005068","D","bsd-2-clause"
"kdoctools","","https://invent.kde.org/frameworks/kdoctools","","","37979","0","52790","0.00005061","D",""
"lv2","","https://salsa.debian.org/multimedia-team/lv2.git","git","","698","0","970","0.00005021","D",""
"swiftgen","SwiftGen/SwiftGen","https://github.com/swiftgen/swiftgen.git","","","0","66615","66615","0.00005020","D","mit"
"debian:libnetpbm10","","","","","47832","0","66486","0.00005010","D",""
"librdkafka","confluentinc/librdkafka","https://github.com/confluentinc/librdkafka.git","","","3896","54354","59769","0.00005005","D","bsd-2-clause"
"qhull","","https://salsa.debian.org/science-team/qhull.git","git","","22361","32729","63810","0.00004966","D","qhull"
"jenv","jenv/jenv","https://github.com/jenv/jenv.git","","","0","65775","65775","0.00004956","D","mit"
"gdk-pixbuf-xlib","","https://salsa.debian.org/gnome-team/gdk-pixbuf-xlib.git","git","","47286","0","65727","0.00004953","D",""
"libmspack","","https://salsa.debian.org/debian/libmspack.git","git","","46328","0","64395","0.00004946","D",""
"libadwaita","","","","","0","14240","14240","0.00004940","D","lgpl-2.1-or-later"
"xmlto","","https://pagure.io/xmlto/","","","0","65496","65496","0.00004935","D","gpl-2.0-or-later"
"flex","westes/flex","https://github.com/westes/flex.git","","","28079","22756","61785","0.00004927","D","bsd-2-clause"
"editorconfig-core-unclassified","","","","","46149","0","64147","0.00004913","D",""
"colord-gtk","","https://salsa.debian.org/debian/colord-gtk.git","git","","45816","0","63684","0.00004902","D",""
"libunity","","","","","45379","0","63076","0.00004883","D",""
"iperf3","esnet/iperf","https://github.com/esnet/iperf.git","","","10544","49914","64570","0.00004866","D","bsd-3-clause"
"lightdm","","https://salsa.debian.org/xfce-extras-team/lightdm.git","git","","46336","0","64407","0.00004853","D",""
"box2d","","https://salsa.debian.org/games-team/box2d.git","git","","46336","0","64407","0.00004853","D",""
"ccid","","https://salsa.debian.org/debian/ccid.git","git","","25623","0","35615","0.00004840","D",""
"qtchooser","","https://salsa.debian.org/qt-kde-team/qt/qtchooser.git","git","","37737","0","52454","0.00004839","D",""
"debian:libreadline5","","","","","46100","0","64078","0.00004829","D",""
"libjaylink","","http://git.zapb.de/libjaylink/libjaylink","","","37660","0","52347","0.00004808","D",""
"aws-crt-cpp","awslabs/aws-crt-cpp","https://github.com/awslabs/aws-crt-cpp.git","","","0","45263","45263","0.00004785","D","apache-2.0"
"thunar","","https://salsa.debian.org/xfce-team/desktop/thunar.git","git","","30475","0","42360","0.00004770","D",""
"kcmutils","","https://invent.kde.org/frameworks/kcmutils","","","30937","0","43002","0.00004746","D",""
"acpid","","https://salsa.debian.org/debian/acpid.git","git","","38795","0","53925","0.00004721","D",""
"certbot","","","","","0","62442","62442","0.00004705","D","apache-2.0"
"debian:libnautilus-extension1a","","","","","44908","0","62422","0.00004704","D",""
"pkcs11-helper","OpenSC/pkcs11-helper","https://github.com/opensc/pkcs11-helper.git","","","22868","25776","57562","0.00004700","D","bsd-3-clause or gpl-2.0-or-later"
"xctesthtmlreport","XCTestHTMLReport/XCTestHTMLReport","https://github.com/xctesthtmlreport/xctesthtmlreport.git","","","0","61481","61481","0.00004633","D","mit"
"xcb-util-cursor","","https://salsa.debian.org/debian/xcb-util-cursor.git","git","","35744","0","49684","0.00004630","D",""
"libspatialite","","","","","5339","51893","59314","0.00004627","D","mpl-1.1 or gpl-2.0-or-later or lgpl-2.1-or-later"
"solid-hardware-abstraction","","https://invent.kde.org/frameworks/solid","","","40313","0","56035","0.00004622","D",""
"debian:libx264-160","","","","","44133","0","61344","0.00004622","D",""
"kbookmarks","","https://invent.kde.org/frameworks/kbookmarks","","","35954","0","49976","0.00004618","D",""
"libdvdcss","","","","","0","7602","7602","0.00004612","D","gpl-2.0-or-later"
"kparts","","https://invent.kde.org/frameworks/kparts","","","33437","0","46477","0.00004610","D",""
"apache-thrift","","","","","1001","53749","55140","0.00004610","D",""
"libreplaygain","","https://salsa.debian.org/multimedia-team/libreplaygain.git","git","","851","20447","21629","0.00004606","D","lgpl-2.1-or-later"
"wpebackend-fdo","","https://salsa.debian.org/webkit-team/wpebackend-fdo.git","git","","41829","0","58142","0.00004595","D",""
"potrace","","","","","34872","6759","55231","0.00004580","D","gpl-2.0-or-later"
"pv","","https://salsa.debian.org/debian/pv.git","git","","17900","35864","60745","0.00004577","D","artistic-2.0"
"kwayland","","https://invent.kde.org/frameworks/kwayland","","","41657","0","57903","0.00004559","D",""
"libspatialaudio","videolabs/libspatialaudio","https://github.com/videolabs/libspatialaudio.git","","","42591","0","59201","0.00004522","D",""
"perl:b-hooks-op-check","","","","","43166","0","60000","0.00004521","D",""
"w3m","tats/w3m","https://github.com/tats/w3m.git","","","43147","0","59974","0.00004519","D",""
"libcuefile","","","","","0","20456","20456","0.00004518","D","gpl-2.0-or-later"
"python:tk","","","","","0","59768","59768","0.00004504","D",""
"hfst-ospell","hfst/hfst-ospell","https://github.com/hfst/hfst-ospell.git","","","32398","0","45033","0.00004493","D",""
"phonon","","https://salsa.debian.org/qt-kde-team/extras/phonon.git","git","","32955","0","45807","0.00004437","D",""
"luajit-openresty","openresty/luajit2","https://github.com/openresty/luajit2.git","","","0","58689","58689","0.00004422","D","mit"
"exiv2","exiv2/exiv2","https://github.com/exiv2/exiv2.git","","","16703","0","23217","0.00004420","D",""
"libchamplain","","https://salsa.debian.org/gnome-team/libchamplain.git","git","","40963","0","56938","0.00004420","D",""
"tcpdump","","https://salsa.debian.org/debian/tcpdump.git","git","","42155","0","58595","0.00004415","D",""
"openconnect","","https://salsa.debian.org/debian/openconnect.git","git","","26376","21919","58581","0.00004414","D","lgpl-2.1-only"
"zsh-syntax-highlighting","zsh-users/zsh-syntax-highlighting","https://github.com/zsh-users/zsh-syntax-highlighting.git","","","0","58409","58409","0.00004401","D","bsd-3-clause"
"ldns","","https://salsa.debian.org/dns-team/ldns.git","git","","937","43308","44610","0.00004385","D","bsd-3-clause"
"autogen","","https://salsa.debian.org/debian/autogen.git","git","","41854","0","58177","0.00004384","D",""
"gnome-desktop","","https://salsa.debian.org/gnome-team/gnome-desktop.git","git","","25180","0","35000","0.00004356","D",""
"glew","","https://salsa.debian.org/debian/glew.git","git","","10294","39388","53696","0.00004356","D","bsd-3-clause"
