repo,platform,gh_stars,gl_stars,ecosystems,packages,ecosystem,top_eco_pkg,downloads_npm,downloads_pypi,downloads_crates,downloads_debian,downloads_homebrew,pagerank_npm,pagerank_pypi,pagerank_crates,pagerank_cpp,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,active_contributors_git_5y,dormant,bf_commits_git_5y,hhi_commits_git_5y,loc_eoy,cyclomatic_max,openssf_score,cve_count_5y,issues_opened_5y,issues_closed_5y,net_new_issues_5y,concentration,complexity,security,workload,risk_score,license,license_source,eol,archived,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,has_funding_yml,has_funding_json,has_funding_links,has_npm_funding,has_pypi_funding,bf_maintainer_fundable,paypal,oc_slug,host,host_type,owner,owner_type,oss,intent,nonprofit,active,eligible,score,priority,repo_id
thlorenz/convert-source-map,github,171,,npm,1,npm,convert-source-map,2690911086,,,,,0.000844,,,,42.69,62.90,43.02,100,56.37,7,0,2,2654,1004,4,3.9,0,3,8,-5,36.43,23.84,72.20,23.90,34.99,mit,registry,False,False,True,2,0,2,False,False,True,False,False,True,,,,,,,True,True,True,True,True,44.41,577,gh/8751561
jonschlinkert/isobject,github,107,,npm,1,npm,isobject,2409528004,,,,,0.001726,,,,57.26,67.62,32.68,100,52.10,1,0,1,10000,35,3,3.1,0,3,0,3,100.00,6.04,88.16,38.42,37.82,mit,registry,False,False,True,19,0,19,True,False,True,False,False,True,,,,,,,True,True,True,True,True,44.39,578,gh/21342886
jshttp/statuses,github,285,,npm,1,npm,statuses,2474166980,,,,,0.000801,,,,41.79,62.56,42.22,100,55.77,6,0,2,2960,532,4,6.9,0,2,2,0,38.47,20.89,50.00,38.53,35.27,mit,registry,False,False,False,0,0,0,True,False,True,False,False,False,,,,,,,True,True,True,True,True,44.35,579,gh/17690272
sindresorhus/import-local,github,153,,npm,1,npm,import-local,1303722702,,,,,0.000378,,,,27.62,57.61,36.59,100,50.48,5,0,1,4000,143,6,3.9,0,3,2,1,63.25,17.66,72.20,28.06,38.79,mit,registry,False,False,True,186,12,198,False,False,True,True,False,True,,sindresorhus,,,,,True,True,True,True,True,44.25,580,gh/90292430
sindresorhus/parent-module,github,78,,npm,1,npm,parent-module,1607664659,,,,,0.000362,,,,26.81,57.33,32.27,100,47.78,3,0,1,6600,101,8,3.9,0,1,1,0,81.24,17.45,72.20,27.25,40.87,mit,registry,False,False,True,186,12,198,False,False,True,True,False,True,,sindresorhus,,,,,True,True,True,True,True,44.19,581,gh/50187748
jshttp/content-disposition,github,241,,npm,1,npm,content-disposition,1582060424,,,,,0.000373,,,,27.47,57.52,44.03,100,54.92,9,0,1,3197,1425,1,7.1,0,12,10,2,56.54,11.50,50.00,49.02,35.53,mit,registry,False,False,False,0,0,0,True,False,True,True,False,False,,,,,,,True,True,True,True,True,44.17,582,gh/24216676
feross/is-buffer,github,93,,npm,1,npm,is-buffer,1768659673,,,,,0.000435,,,,30.37,58.54,36.82,100,50.98,0,1,1,10000,35,4,3.5,0,1,0,1,100.00,7.31,81.08,36.03,38.23,mit,registry,False,False,True,8,0,8,True,False,True,True,False,True,,,,,,,True,True,True,True,True,44.15,583,gh/25997846
qix-/node-is-arrayish,github,17,,npm,1,npm,is-arrayish,2421010862,,,,,0.001008,,,,47.24,64.07,32.92,100,50.88,1,0,1,10000,31,8,2.9,1,2,2,0,100.00,7.73,95.77,29.00,38.28,mit,registry,False,False,True,16,0,16,False,False,False,False,False,True,,,,,,,True,True,True,True,True,44.13,584,gh/41376759
inspect-js/is-typed-array,github,12,,npm,1,npm,is-typed-array,1151142629,,,,,0.000677,,,,38.66,61.46,34.35,100,50.62,2,0,1,9688,119,2,4,0,1,0,1,98.43,8.51,65.01,39.30,38.25,mit,registry,False,False,False,0,0,0,True,False,True,True,False,True,,,,,,,True,True,True,True,True,44.00,585,gh/43528820
myrne/performance-now,github,160,,npm,1,npm,performance-now,1129856149,,,,,0.000341,,,,25.96,56.94,25.14,100,43.37,0,1,1,10000,144,1,2.8,0,3,1,2,100.00,6.68,96.51,60.04,44.36,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,43.86,,gh/10219264
chalk/strip-ansi,github,504,,npm,1,npm,strip-ansi,8055174764,,,,,0.004193,,,,75.26,73.46,43.80,100,61.15,2,0,1,8200,36,2,4.2,1,13,12,1,90.55,4.98,72.49,29.79,31.41,mit,registry,False,False,False,0,0,0,False,False,True,True,False,True,,,,,,,True,True,True,True,True,43.83,586,gh/15014856
