repo,repo_id,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_links,has_funding_yml,funding_link_platforms,has_funding_json,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,bf_maintainer_fundable,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
ljharb/call-bind,gh/308533760,True,67,23,90,16.05,12,7,True,True,"github,tidelift",False,True,https://github.com/sponsors/ljharb,False,,True,3,,0,100.0,,,,,1,54,True,True
ljharb/call-bind-apply-helpers,gh/898190951,True,67,23,90,16.05,5,3,True,True,"github,tidelift",False,False,,False,,True,2,,0,100.0,,,,,1,54,True,True
ljharb/call-bound,gh/898125972,True,67,23,90,16.05,5,2,True,True,"github,tidelift",False,True,https://github.com/sponsors/ljharb,False,,True,3,,0,100.0,,,,,1,54,True,True
ljharb/concat-map,gh/548993448,True,67,23,90,16.05,3,2,True,True,"github,tidelift",False,True,https://github.com/sponsors/ljharb,False,,True,3,,0,100.0,,,,,1,54,True,True
ljharb/define-data-property,gh/689109338,True,67,23,90,16.05,3,1,True,True,"github,tidelift",False,True,https://github.com/sponsors/ljharb,False,,True,3,,0,100.0,,,,,1,54,True,True
ljharb/define-properties,gh/28768789,True,67,23,90,16.05,21,9,True,True,"github,tidelift",False,True,https://github.com/sponsors/ljharb,False,,True,3,,0,100.0,,,,,1,54,True,True
ljharb/es-abstract,gh/28995155,True,67,23,90,16.05,123,31,True,True,"github,tidelift",False,True,https://github.com/sponsors/ljharb,False,,True,3,,0,100.0,,,,,1,54,True,True
ljharb/es-define-property,gh/756570458,True,67,23,90,16.05,4,1,True,True,"github,tidelift",False,False,,False,,True,2,,0,100.0,,,,,1,54,True,True
ljharb/es-errors,gh/752160492,True,67,23,90,16.05,10,4,True,True,"github,tidelift",False,False,,False,,True,2,,0,100.0,,,,,1,54,True,True
ljharb/es-shim-unscopables,gh/480458584,True,67,23,90,16.05,2,0,True,True,"github,tidelift",False,False,,False,,True,2,,0,100.0,,,,,1,54,True,True
ljharb/es-to-primitive,gh/32377814,True,67,23,90,16.05,22,8,True,True,"github,tidelift",False,False,,False,,True,2,,0,100.0,,,,,1,54,True,True
ljharb/get-intrinsic,gh/308516559,True,67,23,90,16.05,34,6,True,True,"github,tidelift",False,True,https://github.com/sponsors/ljharb,False,,True,3,,0,100.0,,,,,1,54,True,True
ljharb/get-proto,gh/911035271,True,67,23,90,16.05,3,2,True,True,"github,tidelift",False,False,,False,,True,2,,0,100.0,,,,,1,54,True,True
ljharb/gopd,gh/560708130,True,67,23,90,16.05,2,4,True,True,"github,tidelift",False,True,https://github.com/sponsors/ljharb,False,,True,3,,0,100.0,,,,,1,54,True,True
ljharb/internal-slot,gh/216159146,True,67,23,90,16.05,9,1,True,True,"github,tidelift",False,False,,False,,True,2,,0,100.0,,,,,1,54,True,True
