repo,repo_id,eol,archived,mirror,active
jshttp/content-type,30172150,False,False,False,True
jshttp/cookie,4475810,False,False,False,True
jshttp/etag,22894570,False,False,False,True
jshttp/forwarded,24300217,False,False,False,True
jshttp/fresh,4617552,False,False,False,True
jshttp/http-errors,23806086,False,False,False,True
jshttp/media-typer,20814275,False,False,False,True
jshttp/methods,8274071,False,False,False,True
jshttp/mime-db,22970419,False,False,False,True
jshttp/mime-types,19380178,False,False,False,True
jshttp/negotiator,3275614,False,False,False,True
jshttp/on-finished,15349765,False,False,False,True
jshttp/range-parser,4627131,False,False,False,True
jshttp/statuses,17690272,False,False,False,True
jshttp/type-is,15484233,False,False,False,True
jshttp/vary,20498698,False,False,False,True
jslicense/spdx-correct.js,34817196,False,False,False,True
jslicense/spdx-exceptions.json,40062896,False,False,False,True
jslicense/spdx-expression-parse.js,40067336,False,False,False,True
jslicense/spdx-license-ids,26001547,False,False,False,True
json5/json5,4463453,False,False,False,True
juliangruber/balanced-match,13538817,False,False,False,True
juliangruber/brace-expansion,13539234,False,False,False,True
juliangruber/isarray,10227611,False,False,False,True
justmoon/node-extend,3967764,False,False,False,True
jviereck/regjsparser,14087781,False,False,False,True
ka-weihe/fastest-levenshtein,158960628,False,False,False,True
kaelzhang/node-ignore,12519245,False,False,False,True
kemitchell/validate-npm-package-license.js,35000460,False,False,False,True
kevinbeaty/any-promise,26247715,False,False,False,True
kevva/dir-glob,49264969,False,False,False,True
kevva/shebang-command,47402913,False,False,False,True
kilian/electron-to-chromium,78972540,False,False,False,True
kjd/idna,10323585,False,False,False,True
knurling-rs/defmt,282262730,False,False,False,True
kpdecker/jsdiff,1542219,False,False,False,True
krb5/krb5,4307702,False,False,False,True
kriskowal/asap,11295071,False,False,False,True
kriszyp/json-schema,947175,False,False,False,True
langchain-ai/langchain,552661142,False,False,False,True
laurent-laporte-pro/deprecated,111412148,False,False,False,True
lddubeau/xmlchars,139881982,False,True,False,False
legrandin/pycryptodome,19378935,False,False,False,True
libexpat/libexpat,80314213,False,False,False,True
libffi/libffi,321154,False,False,False,True
libjpeg-turbo/libjpeg-turbo,39760454,False,False,False,True
libjxl/libjxl,340219494,False,False,False,True
libpixman/pixman,81675971,False,True,True,True
libuv/libuv,14812739,False,False,False,True
linusu/buffer-from,66025821,False,False,False,True
linux-audit/audit-userspace,52464964,False,False,False,True
linux-pam/linux-pam,76264690,False,False,False,True
litejs/natural-compare-lite,9146732,False,False,False,True
ljharb/call-bind,308533760,False,False,False,True
ljharb/call-bind-apply-helpers,898190951,False,False,False,True
ljharb/call-bound,898125972,False,False,False,True
ljharb/concat-map,548993448,False,False,False,True
ljharb/define-data-property,689109338,False,False,False,True
ljharb/define-properties,28768789,False,False,False,True
ljharb/es-abstract,28995155,False,False,False,True
ljharb/es-define-property,756570458,False,False,False,True
ljharb/es-errors,752160492,False,False,False,True
ljharb/es-shim-unscopables,480458584,False,False,False,True
ljharb/es-to-primitive,32377814,False,False,False,True
ljharb/get-intrinsic,308516559,False,False,False,True
ljharb/get-proto,911035271,False,False,False,True
ljharb/gopd,560708130,False,False,False,True
ljharb/internal-slot,216159146,False,False,False,True
ljharb/object-keys,9103992,False,False,False,True
ljharb/object.assign,17755831,False,False,False,True
ljharb/possible-typed-array-names,760136716,False,False,False,True
ljharb/qs,22266795,False,False,False,True
ljharb/safe-regex-test,540138887,False,False,False,True
ljharb/set-function-length,704249795,False,False,False,True
ljharb/side-channel,225239081,False,False,False,True
ljharb/side-channel-list,901451610,False,False,False,True
ljharb/side-channel-map,901191461,False,False,False,True
ljharb/side-channel-weakmap,901188921,False,False,False,True
lodash/lodash,3955647,False,False,False,True
loganfsmyth/gensync,132383032,False,False,False,True
lokathor/bytemuck,209673558,False,False,False,True
lukeed/dequal,174421655,False,False,False,True
lukeed/escalade,273568715,False,False,False,True
lukeed/kleur,140393403,False,False,False,True
lxml/lxml,1353927,False,False,False,True
lydell/js-tokens,17552490,False,False,False,True
lz4/lz4,18106269,False,False,False,True
madler/zlib,2359378,False,False,False,True
mafintosh/end-of-stream,14732255,False,False,False,True
mafintosh/pump,12118126,False,False,False,True
mafintosh/tar-stream,15340089,False,False,False,True
marshallpierce/rust-base64,47371310,False,False,False,True
mathiasbynens/cssesc,12001360,False,False,False,True
mathiasbynens/emoji-regex,24557614,False,False,False,True
mathiasbynens/jsesc,10498729,False,False,False,True
mathiasbynens/punycode.js,2755924,False,False,False,True
mathiasbynens/regenerate,10182772,False,False,False,True
mathiasbynens/regexpu-core,49437324,False,False,False,True
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,False,False,False,True
mathiasbynens/unicode-property-aliases-ecmascript,88333533,False,False,False,True
matklad/once_cell,143220272,False,False,False,True
matplotlib/matplotlib,1385122,False,False,False,True
