repo,repo_id,license,license_source,oss
grahamdumpleton/wrapt,gh/10357291,bsd-2-clause,registry,True
grantjenks/python-sortedcontainers,gh/17144859,apache-2.0,registry,True
graydon/exhaustigen-rs,gh/432630522,mit or apache-2.0,registry,True
gregberge/svgr,gh/102155012,mit,registry,True
grncdr/merge-stream,gh/10579821,mit,registry,True
grpc/grpc,gh/27729880,apache-2.0,registry,True
gsnedders/python-webencodings,gh/7043404,bsd-3-clause,registry,True
guillaumegomez/doc-comment,gh/127254922,mit,registry,True
gulpjs/glob-parent,gh/29154915,isc,registry,True
gweis/isodate,gh/6449370,bsd-3-clause,registry,True
gyscos/zstd-rs,gh/52115335,mit,registry,True
hapijs/hoek,gh/5831189,bsd-3-clause,registry,True
harfbuzz/harfbuzz,gh/5050525,mit,registry,True
hiddentao/fast-levenshtein,gh/9490451,mit,registry,True
holmgren/nettle,gl/debian-50952,lgpl-3.0-or-later or gpl-2.0-or-later,override,True
httplib2/httplib2,gh/53002916,mit,registry,True
huggingface/huggingface_hub,gh/323591830,apache-2.0,registry,True
hukkin/tomli,gh/370616797,mit,registry,True
hyperium/http,gh/84983058,mit or apache-2.0,registry,True
hyperium/http-body,gh/183281612,mit,registry,True
iarna/aproba,gh/31432421,isc,registry,True
import-js/eslint-plugin-import,gh/32238354,mit,registry,True
indexmap-rs/indexmap,gh/68294628,apache-2.0 or mit,registry,True
indutny/bn.js,gh/19176350,mit,registry,True
indygreg/python-zstandard,gh/67307930,bsd-3-clause,registry,True
inikulin/parse5,gh/8862593,mit,registry,True
inspect-js/array-buffer-byte-length,gh/607836784,mit,registry,True
inspect-js/available-typed-arrays,gh/235965505,mit,registry,True
inspect-js/functions-have-names,gh/198357138,mit,registry,True
inspect-js/has-bigints,gh/201714166,mit,registry,True
inspect-js/has-property-descriptors,gh/481834578,mit,registry,True
inspect-js/has-proto,gh/577580747,mit,registry,True
inspect-js/has-symbols,gh/68573418,mit,registry,True
inspect-js/has-tostringtag,gh/392913710,mit,registry,True
inspect-js/hasown,gh/703350811,mit,registry,True
inspect-js/is-accessor-descriptor,gh/41658954,mit,registry,True
inspect-js/is-arguments,gh/15725461,mit,registry,True
inspect-js/is-array-buffer,gh/45977026,mit,registry,True
inspect-js/is-bigint,gh/149682261,mit,registry,True
inspect-js/is-boolean-object,gh/34700259,mit,registry,True
inspect-js/is-callable,gh/30012910,mit,registry,True
inspect-js/is-core-module,gh/24578130,mit,registry,True
inspect-js/is-data-descriptor,gh/41659073,mit,registry,True
inspect-js/is-data-view,gh/751048078,mit,registry,True
inspect-js/is-date-object,gh/29991041,mit,registry,True
inspect-js/is-descriptor,gh/41658845,mit,registry,True
inspect-js/is-number-object,gh/29991666,mit,registry,True
inspect-js/is-regex,gh/15930063,mit,registry,True
inspect-js/is-string,gh/30010185,mit,registry,True
inspect-js/is-symbol,gh/29791606,mit,registry,True
inspect-js/is-typed-array,gh/43528820,mit,registry,True
inspect-js/node-supports-preserve-symlinks-flag,gh/443970899,mit,registry,True
inspect-js/object-inspect,gh/11683441,mit,registry,True
inspect-js/typed-array-buffer,gh/649850465,mit,registry,True
inspect-js/which-boxed-primitive,gh/201685155,mit,registry,True
inspect-js/which-typed-array,gh/43708371,mit,registry,True
ipython/traitlets,gh/14993021,bsd-3-clause,registry,True
isaacs/chownr,gh/3858354,blueoak-1.0.0,registry,True
isaacs/cliui,gh/634056857,blueoak-1.0.0,registry,True
isaacs/core-util-is,gh/12391440,mit,registry,True
isaacs/fs-minipass,gh/102982143,isc,registry,True
isaacs/fs.realpath,gh/61231712,isc,registry,True
isaacs/inflight-deprecated-do-not-use,gh/19442260,isc,registry,True
isaacs/inherits,gh/1580001,isc,registry,True
isaacs/isexe,gh/49804297,blueoak-1.0.0,registry,True
isaacs/minimatch,gh/2056549,blueoak-1.0.0,registry,True
isaacs/minipass,gh/84886212,blueoak-1.0.0,registry,True
isaacs/minizlib,gh/86429676,mit,registry,True
isaacs/node-glob,gh/357681,blueoak-1.0.0,registry,True
isaacs/node-graceful-fs,gh/2077020,isc,registry,True
isaacs/node-lru-cache,gh/679662,blueoak-1.0.0,registry,True
isaacs/node-mkdirp,gh/2718248,mit,registry,True
isaacs/node-tar,gh/1534331,blueoak-1.0.0,registry,True
isaacs/once,gh/5409660,isc,registry,True
isaacs/package-json-from-dist,gh/800543709,blueoak-1.0.0,registry,True
isaacs/path-scurry,gh/591569499,blueoak-1.0.0,registry,True
isaacs/rimraf,gh/1341324,blueoak-1.0.0,registry,True
isaacs/sax-js,gh/508894,blueoak-1.0.0,registry,True
isaacs/wrappy,gh/24208073,isc,registry,True
isaacs/yallist,gh/48222381,blueoak-1.0.0,registry,True
istanbuljs/istanbuljs,gh/81482340,bsd-3-clause,registry,True
istanbuljs/schema,gh/211950686,mit,registry,True
istanbuljs/test-exclude,gh/60489570,isc,registry,True
jamesmunns/postcard,gh/179385478,mit or apache-2.0,registry,True
jaraco/jaraco.develop,gh/48289082,mit,registry,True
jaraco/pytest-perf,gh/372026120,mit,registry,True
jaraco/zipp,gh/157774633,mit,registry,True
jaredhanson/utils-merge,gh/11349896,mit,registry,True
jaredwray/cacheable,gh/9267870,mit,registry,True
jaredwray/keyv,gh/96540810,mit,registry,True
jawah/charset_normalizer,gh/200259335,mit,registry,True
jbgutierrez/path-parse,gh/34113780,mit,registry,True
jd/tenacity,gh/65468547,apache-2.0,registry,True
jensyt/imurmurhash-js,gh/11802843,mit,registry,True
jestjs/jest,gh/15062869,mit,registry,True
jimmywarting/node-domexception,gh/371470141,mit,registry,True
jimp-dev/jimp,gh/24008065,mit,registry,True
jmespath/jmespath.py,gh/8300763,mit,registry,True
joblib/joblib,gh/654608,bsd-3-clause,registry,True
jonathanong/ee-first,gh/20707897,mit,registry,True
jonschlinkert/assign-symbols,gh/45661176,mit,registry,True
jonschlinkert/define-property,gh/40633359,mit,registry,True
jonschlinkert/extend-shallow,gh/25867410,mit,registry,True
jonschlinkert/fill-range,gh/27113310,mit,registry,True
jonschlinkert/get-value,gh/24911025,mit,registry,True
jonschlinkert/global-prefix,gh/31455984,mit,registry,True
jonschlinkert/has-value,gh/24310408,mit,registry,True
jonschlinkert/has-values,gh/33009186,mit,registry,True
jonschlinkert/is-extendable,gh/38225016,mit,registry,True
jonschlinkert/is-number,gh/24313173,mit,registry,True
jonschlinkert/is-plain-object,gh/24306940,mit,registry,True
jonschlinkert/isobject,gh/21342886,mit,registry,True
jonschlinkert/kind-of,gh/24491562,mit,registry,True
jonschlinkert/map-cache,gh/32450614,mit,registry,True
jonschlinkert/normalize-path,gh/21224182,mit,registry,True
jonschlinkert/object-visit,gh/38545952,mit,registry,True
jonschlinkert/word-wrap,gh/18260583,mit,registry,True
jorgebucaran/colorette,gh/34648097,mit,registry,True
joshuakgoldberg/ts-api-utils,gh/597893818,mit,registry,True
jpadilla/pyjwt,gh/1408162,mit,registry,True
jprichardson/node-fs-extra,gh/2791348,mit,registry,True
jprichardson/node-jsonfile,gh/5754307,mit,registry,True
jquast/wcwidth,gh/18464187,mit,registry,True
jquery/esprima,gh/2833537,bsd-2-clause,registry,True
jridgewell/resolve-uri,gh/196878944,mit,registry,True
jridgewell/sourcemaps,gh/897142826,mit,registry,True
jsdom/tr46,gh/36964214,mit,registry,True
jsdom/webidl-conversions,gh/23000311,bsd-2-clause,registry,True
jsdom/whatwg-mimetype,gh/71014420,mit,registry,True
jsdom/whatwg-url,gh/34761352,mit,registry,True
jsdom/xml-name-validator,gh/28553202,apache-2.0,registry,True
jshttp/accepts,gh/15482433,mit,registry,True
jshttp/content-disposition,gh/24216676,mit,registry,True
jshttp/content-type,gh/30172150,mit,registry,True
jshttp/cookie,gh/4475810,mit,registry,True
jshttp/etag,gh/22894570,mit,registry,True
jshttp/forwarded,gh/24300217,mit,registry,True
jshttp/fresh,gh/4617552,mit,registry,True
jshttp/http-errors,gh/23806086,mit,registry,True
jshttp/media-typer,gh/20814275,mit,registry,True
jshttp/methods,gh/8274071,mit,registry,True
jshttp/mime-db,gh/22970419,mit,registry,True
jshttp/mime-types,gh/19380178,mit,registry,True
jshttp/negotiator,gh/3275614,mit,registry,True
jshttp/on-finished,gh/15349765,mit,registry,True
jshttp/range-parser,gh/4627131,mit,registry,True
jshttp/statuses,gh/17690272,mit,registry,True
jshttp/type-is,gh/15484233,mit,registry,True
jshttp/vary,gh/20498698,mit,registry,True
jslicense/spdx-correct.js,gh/34817196,apache-2.0,registry,True
jslicense/spdx-exceptions.json,gh/40062896,cc-by-3.0,registry,False
jslicense/spdx-expression-parse.js,gh/40067336,mit,registry,True
jslicense/spdx-license-ids,gh/26001547,cc0-1.0,registry,False
json-c/json-c,gh/1139119,mit,registry,True
json5/json5,gh/4463453,mit,registry,True
juliangruber/balanced-match,gh/13538817,mit,registry,True
juliangruber/brace-expansion,gh/13539234,mit,registry,True
juliangruber/isarray,gh/10227611,mit,registry,True
justmoon/node-extend,gh/3967764,mit,registry,True
jviereck/regjsparser,gh/14087781,bsd-2-clause,registry,True
ka-weihe/fastest-levenshtein,gh/158960628,mit,registry,True
kaelzhang/node-ignore,gh/12519245,mit,registry,True
kemitchell/validate-npm-package-license.js,gh/35000460,apache-2.0,registry,True
kevinbeaty/any-promise,gh/26247715,mit,registry,True
kevva/dir-glob,gh/49264969,mit,registry,True
kevva/shebang-command,gh/47402913,mit,registry,True
kilian/electron-to-chromium,gh/78972540,isc,registry,True
kjd/idna,gh/10323585,bsd-3-clause,registry,True
knurling-rs/defmt,gh/282262730,mit or apache-2.0,registry,True
kpdecker/jsdiff,gh/1542219,bsd-3-clause,registry,True
krb5/krb5,gh/4307702,bsd-2-clause and bsd-2-clause-first-lines and bsd-3-clause and bsd-4-clause and brian-gladman-2-clause and cmu-mach-nodoc and fsfullrwd and hpnd and hpnd-export2-us and hpnd-export-us and hpnd-export-us-acknowledgement and hpnd-export-us-modify and isc and mit and mit-cmu and oldap-2.8 and openvision and (bsd-2-clause or gpl-2.0-or-later),registry,True
kriskowal/asap,gh/11295071,mit,registry,True
kriszyp/json-schema,gh/947175,(afl-2.1 or bsd-3-clause),registry,True
la10736/rstest,gh/124802455,mit or apache-2.0,registry,True
langchain-ai/langchain,gh/552661142,mit,registry,True
laurent-laporte-pro/deprecated,gh/111412148,mit,registry,True
lddubeau/xmlchars,gh/139881982,mit,registry,True
legrandin/pycryptodome,gh/19378935,bsd-3-clause,registry,True
libexpat/libexpat,gh/80314213,mit,registry,True
libffi/libffi,gh/321154,mit,registry,True
libidn/libidn2,gl/2882658,gpl-3.0,github,True
libjpeg-turbo/libjpeg-turbo,gh/39760454,bsd-3-clause,override,True
libjxl/libjxl,gh/340219494,bsd-3-clause,github,True
libtiff/libtiff,gl/4720790,libtiff,gitlab,True
libuv/libuv,gh/14812739,mit,registry,True
linusu/buffer-from,gh/66025821,mit,registry,True
linux-pam/linux-pam,gh/76264690,bsd-3-clause,override,True
litejs/natural-compare-lite,gh/9146732,mit,registry,True
ljharb/call-bind,gh/308533760,mit,registry,True
ljharb/call-bind-apply-helpers,gh/898190951,mit,registry,True
ljharb/call-bound,gh/898125972,mit,registry,True
ljharb/concat-map,gh/548993448,mit,registry,True
ljharb/define-data-property,gh/689109338,mit,registry,True
