repo,repo_id,oss,intent,nonprofit,active,eligible
litejs/natural-compare-lite,gh/9146732,True,True,True,True,True
ljharb/call-bind,gh/308533760,True,True,True,True,True
ljharb/call-bind-apply-helpers,gh/898190951,True,True,True,True,True
ljharb/call-bound,gh/898125972,True,True,True,True,True
ljharb/concat-map,gh/548993448,True,True,True,True,True
ljharb/define-data-property,gh/689109338,True,True,True,True,True
ljharb/define-properties,gh/28768789,True,True,True,True,True
ljharb/es-abstract,gh/28995155,True,True,True,True,True
ljharb/es-define-property,gh/756570458,True,True,True,True,True
ljharb/es-errors,gh/752160492,True,True,True,True,True
ljharb/es-shim-unscopables,gh/480458584,True,True,True,True,True
ljharb/es-to-primitive,gh/32377814,True,True,True,True,True
ljharb/get-intrinsic,gh/308516559,True,True,True,True,True
ljharb/get-proto,gh/911035271,True,True,True,True,True
ljharb/gopd,gh/560708130,True,True,True,True,True
ljharb/internal-slot,gh/216159146,True,True,True,True,True
ljharb/object-keys,gh/9103992,True,True,True,True,True
ljharb/object.assign,gh/17755831,True,True,True,True,True
ljharb/possible-typed-array-names,gh/760136716,True,True,True,True,True
ljharb/qs,gh/22266795,True,True,True,True,True
ljharb/safe-regex-test,gh/540138887,True,True,True,True,True
ljharb/set-function-length,gh/704249795,True,True,True,True,True
ljharb/side-channel,gh/225239081,True,True,True,True,True
ljharb/side-channel-list,gh/901451610,True,True,True,True,True
ljharb/side-channel-map,gh/901191461,True,True,True,True,True
ljharb/side-channel-weakmap,gh/901188921,True,True,True,True,True
lodash/lodash,gh/3955647,True,True,True,True,True
loganfsmyth/gensync,gh/132383032,True,False,True,True,False
lokathor/bytemuck,gh/209673558,True,True,True,True,True
lukeed/dequal,gh/174421655,True,True,True,True,True
lukeed/escalade,gh/273568715,True,True,True,True,True
lukeed/kleur,gh/140393403,True,True,True,True,True
lxml/lxml,gh/1353927,True,True,True,True,True
lydell/js-tokens,gh/17552490,True,False,True,True,False
lz4/lz4,gh/18106269,True,False,True,True,False
madler/zlib,gh/2359378,True,False,True,True,False
mafintosh/end-of-stream,gh/14732255,True,True,True,True,True
mafintosh/pump,gh/12118126,True,True,True,True,True
mafintosh/tar-stream,gh/15340089,True,True,True,True,True
marshallpierce/rust-base64,gh/47371310,True,False,True,True,False
mathiasbynens/cssesc,gh/12001360,True,True,True,True,True
mathiasbynens/emoji-regex,gh/24557614,True,True,True,True,True
mathiasbynens/jsesc,gh/10498729,True,True,True,True,True
mathiasbynens/punycode.js,gh/2755924,True,True,True,True,True
