"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"soupsieve","facelessuser/soupsieve","996642816","242588440","549333849","810952303","1352048056","2028291432","True","0.00218689","A","https://github.com/facelessuser/soupsieve.git","eco","gh/160789418","","mit"
"opentelemetry-api","open-telemetry/opentelemetry-python","453500961","7548082","35745458","123771009","597453010","1502987244","True","0.00217437","A","https://github.com/open-telemetry/opentelemetry-python.git","eco","gh/185478926","","apache-2.0"
"rich","textualize/rich","882119609","23653535","123357512","332318309","1535438755","2395829935","True","0.00215787","A","https://github.com/textualize/rich.git","eco","gh/220809393","","mit"
"yarl","aio-libs/yarl","1241134165","434103208","912786823","894867902","1449948010","2513964884","True","0.00215156","A","https://github.com/aio-libs/yarl.git","eco","gh/64756820","","apache-2.0"
"cachetools","tkem/cachetools","1469245308","489361468","791694685","1048327478","1801631610","3215211300","True","0.00214771","A","https://github.com/tkem/cachetools.git","eco","gh/18006791","","mit"
"pyarrow","apache/arrow","1208951834","349835231","701403984","887257670","1612444720","2493817566","True","0.00208899","A","https://github.com/apache/arrow.git","eco","gh/51905353","","apache-2.0"
"markdown-it-py","executablebooks/markdown-it-py","639556068","3260462","31508027","305572144","875458178","1981981530","True","0.00202817","A","https://github.com/executablebooks/markdown-it-py.git","eco","gh/249956697","","mit"
"flask","pallets/flask","1008855329","449951338","901995838","987657149","1134767744","1569904577","True","0.0020196","A","https://github.com/pallets/flask.git","eco","gh/596892","","bsd-3-clause"
"pillow","python-pillow/pillow","1010238435","377564529","531922681","728821348","1276562061","2136321558","True","0.00200913","A","https://github.com/python-pillow/pillow.git","eco","gh/5171600","","mit-cmu"
"traitlets","ipython/traitlets","427918078","207615006","217589462","324808653","548469872","841107399","True","0.00198639","A","https://github.com/ipython/traitlets.git","eco","gh/14993021","","bsd-3-clause"
"asn1crypto","wbond/asn1crypto","721031611","188180937","425459306","625325997","1003906430","1362285386","True","0.00197605","A","https://github.com/wbond/asn1crypto.git","eco","gh/36823669","","mit"
"mypy","python/mypy","308213675","79689621","144670001","192372959","374287077","750048719","True","0.00194518","A","https://github.com/python/mypy.git","eco","gh/7053637","","mit"
"wcwidth","jquast/wcwidth","617489826","194991153","287575166","470432860","818736680","1315713272","True","0.00192751","A","https://github.com/jquast/wcwidth.git","eco","gh/18464187","","mit"
"virtualenv","pypa/virtualenv","1201769027","230320005","381470866","871274628","1686242100","2839537535","True","0.00191878","A","https://github.com/pypa/virtualenv.git","eco","gh/1446474","","mit"
"google-crc32c","googleapis/python-crc32c","532726705","199850246","272249073","347176837","669819764","1174537603","True","0.00191148","A","https://github.com/googleapis/python-crc32c.git","eco","gh/159736041","",""
"annotated-types","annotated-types/annotated-types","895001006","0","13482","188124967","1236386759","3050479822","True","0.00190882","A","https://github.com/annotated-types/annotated-types.git","eco","gh/487934134","","mit"
"httpx","encode/httpx","822442109","84023907","114478868","244422221","985251358","2684034191","True","0.00190191","A","https://github.com/encode/httpx.git","eco","gh/179492861","","bsd-3-clause"
"tqdm","tqdm/tqdm","1023857821","292573472","490757224","764646951","1257695871","2313615586","True","0.00189684","A","https://github.com/tqdm/tqdm.git","native","gh/36804486","",""
"ptyprocess","pexpect/ptyprocess","648642493","252031584","295457542","415652775","911626034","1368444532","True","0.00189432","A","https://github.com/pexpect/ptyprocess.git","eco","gh/24727748","","isc"
"psutil","giampaolo/psutil","1155983200","349293522","658381833","893179663","1513605557","2365455426","True","0.00187158","A","https://github.com/giampaolo/psutil.git","eco","gh/20101515","","bsd-3-clause"
"smmap","gitpython-developers/smmap","616318441","223862282","320367318","454201132","810231942","1272929529","True","0.00181965","A","https://github.com/gitpython-developers/smmap.git","eco","gh/1865144","","bsd-3-clause"
"decorator","micheles/decorator","929564938","434198117","575645493","742352236","1249253367","1646375479","True","0.00181939","A","https://github.com/micheles/decorator.git","override","gh/14656555","","bsd-3-clause"
"sniffio","python-trio/sniffio","972620622","104601531","259884843","462935735","1105747458","2929933541","True","0.00181347","A","https://github.com/python-trio/sniffio.git","eco","gh/142657210","","apache-2.0"
"azure-nspkg","azure/azure-sdk-for-python","116648104","83708361","118769412","122986229","136343696","121432823","True","0.0018084","A","https://github.com/azure/azure-sdk-for-python.git","eco","gh/4127088","","mit"
"beautifulsoup4","","981067694","245054977","537109081","759966649","1306677273","2056530491","True","0.00179216","A","","","","","mit"
"lxml","lxml/lxml","972178914","345890930","612327873","858622652","1129483407","1914569708","True","0.00176995","A","https://github.com/lxml/lxml.git","eco","gh/1353927","","bsd-3-clause"
"pathspec","cpburnz/python-pathspec","832709670","165386521","278484844","478638950","1067291632","2173746405","True","0.00176623","A","https://github.com/cpburnz/python-pathspec.git","eco","gh/14648551","","mpl-2.0"
"msal","azuread/microsoft-authentication-library-for-python","623378946","135616334","287291241","454113120","853556976","1386317058","True","0.00176372","A","https://github.com/azuread/microsoft-authentication-library-for-python.git","eco","gh/67243113","","mit"
"importlib-resources","python/importlib_resources","675177933","174910988","483420839","696138608","999831319","1021587912","True","0.00169423","A","https://github.com/python/importlib_resources.git","eco","gh/306147182","","apache-2.0"
"aiosignal","aio-libs/aiosignal","952219184","53791495","470176634","707055981","1264575660","2265496151","True","0.00168222","A","https://github.com/aio-libs/aiosignal.git","eco","gh/205007356","","apache-2.0"
"mypy-extensions","python/mypy_extensions","741343693","239347513","395032311","499526868","942790620","1630021151","True","0.00163047","A","https://github.com/python/mypy_extensions.git","eco","gh/165752308","",""
"pyopenssl","pyca/pyopenssl","941519618","300738700","521774212","758629421","1222934462","1903521297","True","0.00162079","A","https://github.com/pyca/pyopenssl.git","eco","gh/15778059","","apache-2.0"
"propcache","aio-libs/propcache","483076694","0","0","0","271237442","2144146028","True","0.00162069","A","https://github.com/aio-libs/propcache.git","eco","gh/866565706","","apache-2.0"
"distlib","pypa/distlib","862617888","201225430","341705962","602007000","1150746598","2017404449","True","0.00155992","A","https://github.com/pypa/distlib.git","eco","gh/436970140","","python-2.0"
"requests-toolbelt","requests/toolbelt","876371671","192428131","360867044","563407932","1271124811","1994030435","True","0.00151733","A","https://github.com/requests/toolbelt.git","eco","gh/15515181","","apache-2.0"
"httpcore","encode/httpcore","792186638","83136433","114999077","250906085","930382946","2581508651","True","0.0014343","A","https://github.com/encode/httpcore.git","eco","gh/237210639","","bsd-3-clause"
"jsonschema-specifications","python-jsonschema/jsonschema-specifications","657345862","0","735","268354656","965144156","2053229765","True","0.00143379","A","https://github.com/python-jsonschema/jsonschema-specifications.git","eco","gh/582755777","","mit"
"azure-common","azure/azure-sdk-for-python","418332693","281357742","392693495","399634648","449387738","568589842","True","0.00141416","A","https://github.com/azure/azure-sdk-for-python.git","eco","gh/4127088","","mit"
"typing-inspection","pydantic/typing-inspection","388892690","0","0","0","0","1944463449","True","0.00140796","A","https://github.com/pydantic/typing-inspection.git","eco","gh/930576948","","mit"
"tomlkit","python-poetry/tomlkit","795943981","44827706","139504015","445176705","1205621487","2144589990","True","0.00140626","A","https://github.com/python-poetry/tomlkit.git","override","gh/140365570","","mit"
"itsdangerous","pallets/itsdangerous","769159230","446430321","677617517","610462257","873445160","1237840893","True","0.00139467","A","https://github.com/pallets/itsdangerous.git","eco","gh/1945034","","bsd-3-clause"
"google-cloud-core","googleapis/google-cloud-python","745637193","389439078","525792949","570846683","855673247","1386434007","True","0.0013894","A","https://github.com/googleapis/google-cloud-python.git","override","gh/16316451","","apache-2.0"
"webencodings","gsnedders/python-webencodings","416559920","249932298","272371366","316264670","444666433","799564831","True","0.00138846","A","https://github.com/gsnedders/python-webencodings.git","eco","gh/7043404","","bsd-3-clause"
"chardet","chardet/chardet","903669093","1052911763","720456960","657276653","848070471","1239629616","True","0.00138425","A","https://github.com/chardet/chardet.git","eco","gh/5196969","","0bsd"
"pynacl","pyca/pynacl","753356334","213404842","424183593","522801624","1024002731","1582388880","True","0.00135945","A","https://github.com/pyca/pynacl.git","eco","gh/8350032","","apache-2.0"
"coverage","coveragepy/coveragepy","778493181","216618075","332674101","720940221","1094014967","1528218542","True","0.00134838","A","https://github.com/coveragepy/coveragepy.git","eco","gh/138421996","","apache-2.0"
"msrest","azure/msrest-for-python","467788777","358681186","514779599","417592505","456762271","591128322","True","0.00134078","A","https://github.com/azure/msrest-for-python.git","eco","gh/71186468","","mit"
"httplib2","httplib2/httplib2","519161834","255134615","402482554","382398343","562784867","993008790","True","0.00132146","A","https://github.com/httplib2/httplib2.git","eco","gh/53002916","","mit"
"azure-mgmt-core","azure/azure-sdk-for-python","162246738","62317078","98297256","128318307","217349122","304951929","True","0.00131754","A","https://github.com/azure/azure-sdk-for-python.git","eco","gh/4127088","","mit"
"msgpack","msgpack/msgpack-python","696415711","163184653","257033860","459246406","948836570","1653777065","True","0.00130757","A","https://github.com/msgpack/msgpack-python.git","eco","gh/2242705","","apache-2.0"
"websocket-client","websocket-client/websocket-client","811263367","384015132","485761112","653738574","957103713","1575698305","True","0.0012904","A","https://github.com/websocket-client/websocket-client.git","eco","gh/1202362","","apache-2.0"
"google-cloud-storage","googleapis/google-cloud-python","846144111","368800701","532484652","592619411","958944578","1777871214","True","0.001288","A","https://github.com/googleapis/google-cloud-python.git","eco","gh/16316451","","apache-2.0"
"regex","mrabarnett/mrab-regex","642621876","256432517","274402995","398691719","775776899","1507805251","True","0.00128016","A","https://github.com/mrabarnett/mrab-regex.git","eco","gh/309446978","","apache-2.0 and cnri-python"
"python-dotenv","theskumar/python-dotenv","756533399","109204168","213066950","359467534","886573211","2214355133","True","0.00126551","A","https://github.com/theskumar/python-dotenv.git","eco","gh/23727790","","bsd-3-clause"
"openpyxl","","862634499","174465932","401877168","672904071","1102557611","1961367711","True","0.00125407","A","","","","","mit"
"acme","certbot/certbot","658424413","3391053","3782246","5549058","5715492","3273684217","True","0.00123094","A","https://github.com/certbot/certbot.git","eco","gh/26516210","","apache-2.0"
"cloudflare","cloudflare/cloudflare-python","670028728","832547","1600032","2871962","16211186","3328627913","True","0.00122401","A","https://github.com/cloudflare/cloudflare-python.git","eco","gh/753271547","","apache-2.0"
"deprecated","laurent-laporte-pro/deprecated","718665817","96327516","327610163","519478867","1123584309","1526328229","True","0.0012095","A","https://github.com/laurent-laporte-pro/deprecated.git","eco","gh/111412148","","mit"
