"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess","llm_guess"
"azure-mgmt-cdn","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-cognitiveservices","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-commerce","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-compute","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-consumption","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-containerinstance","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-containerregistry","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-containerservice","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-core","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-cosmosdb","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-databoxedge","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-datafactory","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-datalake-analytics","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-datalake-nspkg","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-datalake-store","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-datamigration","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-deploymentmanager","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-devspaces","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-devtestlabs","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-dns","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-eventgrid","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-eventhub","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-extendedlocation","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-hanaonazure","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-hdinsight","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-imagebuilder","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-iotcentral","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-iothub","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-iothubprovisioningservices","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-keyvault","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-kusto","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-loganalytics","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-logic","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-machinelearningcompute","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-managedservices","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-managementgroups","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-managementpartner","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-maps","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-marketplaceordering","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-media","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-monitor","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-msi","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-mysqlflexibleservers","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-netapp","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-network","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-notificationhubs","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-nspkg","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-policyinsights","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-postgresqlflexibleservers","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-powerbiembedded","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-privatedns","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-rdbms","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-recoveryservices","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-recoveryservicesbackup","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
