"repo","platform","repo_id","git_url","mirror_url","git_valid","ecosystems","packages","top_eco","top_eco_pkg","top_eco_pct","pr_score","class","class_npm","class_pypi","class_crates","class_cpp","openssf_crit","eco_crit","value_score"
"pallets/werkzeug","github","gh/997338","https://github.com/pallets/werkzeug.git","","True","pypi","1","pypi","werkzeug","37.6033","72.03","A","","A","","","62.01","1","68.17"
"python-cffi/cffi","github","gh/696427398","https://github.com/python-cffi/cffi.git","","True","pypi","1","pypi","cffi","80.8997","85.66","A","","A","","","52.49","1","68.15"
"microsoft/windows-rs","github","gh/208102250","https://github.com/microsoft/windows-rs.git","","True","crates","24","crates","windows-sys","83.0336","84.75","A","","","A","","52.27","1","68.14"
"protobufjs/protobuf.js","github","gh/8507859","https://github.com/protobufjs/protobuf.js.git","","True","npm","12","npm","protobufjs","58.6703","67.96","A","A","","","","59.09","1","68.12"
"certifi/python-certifi","github","gh/3060959","https://github.com/certifi/python-certifi.git","","True","pypi","1","pypi","certifi","69.8523","82.94","A","","A","","","54.33","1","67.88"
"microsoft/tslib","github","gh/34414315","https://github.com/microsoft/tslib.git","","True","npm,cpp","2","npm","tslib","83.916","86.04","A","A","","","C","51.34","1","67.80"
"rollup/plugins","github","gh/203607977","https://github.com/rollup/plugins.git","","True","npm","7","npm","@rollup/pluginutils","30.4168","58.56","A","A","","","","64.76","1","67.75"
"isaacs/minimatch","github","gh/2056549","https://github.com/isaacs/minimatch.git","","True","npm","1","npm","minimatch","69.638","71.80","A","A","","","","55.99","1","67.74"
"rust-lang/futures-rs","github","gh/55077261","https://github.com/rust-lang/futures-rs.git","","True","crates","17","crates","futures","67.4639","82.47","A","","","A","","54.56","1","67.73"
"csstools/postcss-plugins","github","gh/219192307","https://github.com/csstools/postcss-plugins.git","","True","npm","79","npm","@csstools/utilities","73.6475","73.06","A","A","","","","55.04","1","67.69"
"rust-lang/cc-rs","github","gh/26039547","https://github.com/rust-lang/cc-rs.git","","True","crates","3","crates","cc","45.343","74.69","A","","","A","","59.44","1","67.67"
"websockets/ws","github","gh/2744972","https://github.com/websockets/ws.git","","True","npm","1","npm","ws","44.5437","63.54","A","A","","","","61.40","1","67.65"
"kjd/idna","github","gh/10323585","https://github.com/kjd/idna.git","","True","pypi","1","pypi","idna","68.7075","82.84","A","","A","","","54.12","1","67.63"
"pypa/virtualenv","github","gh/1446474","https://github.com/pypa/virtualenv.git","","True","pypi,cpp","2","pypi","virtualenv","34.0889","80.67","A","","A","","B","60.21","1","67.60"
"harfbuzz/harfbuzz","github","gh/5050525","https://github.com/harfbuzz/harfbuzz.git","","True","cpp","1","cpp","harfbuzz","34.4031","60.41","A","","","","A","63.52","1","67.59"
"benjaminp/six","github","gh/77868600","https://github.com/benjaminp/six.git","","True","pypi","1","pypi","six","88.0738","86.46","A","","A","","","50.14","1","67.54"
"browserslist/caniuse-lite","github","gh/80221890","https://github.com/browserslist/caniuse-lite.git","","True","npm","1","npm","caniuse-lite","42.3599","62.80","A","A","","","","61.51","1","67.42"
"debug-js/debug","github","gh/2871998","https://github.com/debug-js/debug.git","","True","npm","1","npm","debug","79.5281","75.25","A","A","","","","53.22","1","67.41"
"chalk/ansi-regex","github","gh/20451415","https://github.com/chalk/ansi-regex.git","","True","npm","1","npm","ansi-regex","78.9836","75.18","A","A","","","","53.25","1","67.37"
"jaredwray/cacheable","github","gh/9267870","https://github.com/jaredwray/cacheable.git","","True","npm","7","npm","flat-cache","56.2691","67.12","A","A","","","","58.16","1","67.23"
"python/cpython","github","gh/81598961","https://github.com/python/cpython.git","","True","cpp","1","cpp","python","39.2094","64.26","A","","","","A","72.39","","67.23"
"tj/commander.js","github","gh/2206953","https://github.com/tj/commander.js.git","","True","npm","1","npm","commander","58.4891","67.94","A","A","","","","57.58","1","67.19"
"python/importlib_metadata","github","gh/306448340","https://github.com/python/importlib_metadata.git","","True","pypi","1","pypi","importlib-metadata","60.0183","80.97","A","","A","","","55.04","1","67.12"
"sindresorhus/type-fest","github","gh/175398594","https://github.com/sindresorhus/type-fest.git","","True","npm","1","npm","type-fest","67.1864","70.95","A","A","","","","55.33","1","67.01"
"rust-lang/log","github","gh/27974762","https://github.com/rust-lang/log.git","","True","crates","1","crates","log","56.7568","77.37","A","","","A","","55.99","1","67.01"
"pallets/flask","github","gh/596892","https://github.com/pallets/flask.git","","True","pypi","1","pypi","flask","35.4592","71.20","A","","A","","","60.54","1","66.99"
"import-js/eslint-plugin-import","github","gh/32238354","https://github.com/import-js/eslint-plugin-import.git","","True","npm","4","npm","eslint-plugin-import","39.6971","61.79","A","A","","","","61.35","1","66.96"
"radix-ui/primitives","github","gh/273499522","https://github.com/radix-ui/primitives.git","","True","npm","56","npm","@radix-ui/react-compose-refs","72.8622","73.02","A","A","","","","53.92","1","66.94"
"rayon-rs/rayon","github","gh/24725038","https://github.com/rayon-rs/rayon.git","","True","crates","2","crates","rayon","61.0304","79.29","A","","","A","","54.80","1","66.91"
"ljharb/qs","github","gh/22266795","https://github.com/ljharb/qs.git","","True","npm","1","npm","qs","47.8523","64.21","A","A","","","","59.50","1","66.91"
"bminor/glibc","github","gh/13868694","https://github.com/bminor/glibc.git","https://sourceware.org/git/glibc.git","True","cpp","1","cpp","glibc","75.8597","92.68","A","","","","A","61.11","","66.90"
"isaacs/node-glob","github","gh/357681","https://github.com/isaacs/node-glob.git","","True","npm","1","npm","glob","63.0542","69.29","A","A","","","","56.08","1","66.88"
"fsspec/filesystem_spec","github","gh/130727736","https://github.com/fsspec/filesystem_spec.git","","True","pypi","1","pypi","fsspec","49.9978","76.31","A","","A","","","57.06","1","66.87"
