"package","year","downloads","fetched_at"
"@algolia/client-search","2023","52062630","2026-03-29 00:00:00.000000"
"@algolia/client-search","2024","87068383","2026-03-29 00:00:00.000000"
"@algolia/client-search","2025","139248917","2026-03-29 00:00:00.000000"
"@algolia/events","2021","102572","2026-03-29 00:00:00.000000"
"@algolia/events","2022","12522652","2026-03-29 00:00:00.000000"
"@algolia/events","2023","21882112","2026-03-29 00:00:00.000000"
"@algolia/events","2024","32539579","2026-03-29 00:00:00.000000"
"@algolia/events","2025","42394104","2026-03-29 00:00:00.000000"
"@algolia/ingestion","2021","0","2026-03-29 00:00:00.000000"
"@algolia/ingestion","2022","188","2026-03-29 00:00:00.000000"
"@algolia/ingestion","2023","25949","2026-03-29 00:00:00.000000"
"@algolia/ingestion","2024","1908571","2026-03-29 00:00:00.000000"
"@algolia/ingestion","2025","61218544","2026-03-29 00:00:00.000000"
"@algolia/monitoring","2021","0","2026-03-29 00:00:00.000000"
"@algolia/monitoring","2022","0","2026-03-29 00:00:00.000000"
"@algolia/monitoring","2023","6328","2026-03-29 00:00:00.000000"
"@algolia/monitoring","2024","1878588","2026-03-29 00:00:00.000000"
"@algolia/monitoring","2025","61164285","2026-03-29 00:00:00.000000"
"@algolia/recommend","2021","39413","2026-03-29 00:00:00.000000"
"@algolia/recommend","2022","673865","2026-03-29 00:00:00.000000"
"@algolia/recommend","2023","1167391","2026-03-29 00:00:00.000000"
"@algolia/recommend","2024","26715344","2026-03-29 00:00:00.000000"
"@algolia/recommend","2025","92609434","2026-03-29 00:00:00.000000"
"@algolia/requester-browser-xhr","2021","17549793","2026-03-29 00:00:00.000000"
"@algolia/requester-browser-xhr","2022","34873720","2026-03-29 00:00:00.000000"
"@algolia/requester-browser-xhr","2023","49805000","2026-03-29 00:00:00.000000"
"@algolia/requester-browser-xhr","2024","81404021","2026-03-29 00:00:00.000000"
"@algolia/requester-browser-xhr","2025","136650552","2026-03-29 00:00:00.000000"
"@algolia/requester-fetch","2021","0","2026-03-29 00:00:00.000000"
"@algolia/requester-fetch","2022","5305","2026-03-29 00:00:00.000000"
"@algolia/requester-fetch","2023","98765","2026-03-29 00:00:00.000000"
"@algolia/requester-fetch","2024","4082659","2026-03-29 00:00:00.000000"
"@algolia/requester-fetch","2025","66706475","2026-03-29 00:00:00.000000"
"@algolia/requester-node-http","2021","17539488","2026-03-29 00:00:00.000000"
"@algolia/requester-node-http","2022","34862663","2026-03-29 00:00:00.000000"
"@algolia/requester-node-http","2023","49798899","2026-03-29 00:00:00.000000"
