"formula","dep_name","dep_type","fetched_at"
"ansible@12","rust","build","2026-04-16 22:49:08.142515"
"ansible@12","certifi","runtime","2026-04-16 22:49:08.142515"
"ansible@12","cryptography","runtime","2026-04-16 22:49:08.142515"
"ansible@12","libsodium","runtime","2026-04-16 22:49:08.142515"
"ansible@12","libssh","runtime","2026-04-16 22:49:08.142515"
"ansible@12","libyaml","runtime","2026-04-16 22:49:08.142515"
"ansible@12","python@3.13","runtime","2026-04-16 22:49:08.142515"
"ansible@12","tree","runtime","2026-04-16 22:49:08.142515"
"ansible@9","pkgconf","build","2026-04-16 22:49:08.142515"
"ansible@9","rust","build","2026-04-16 22:49:08.142515"
"ansible@9","certifi","runtime","2026-04-16 22:49:08.142515"
"ansible@9","libsodium","runtime","2026-04-16 22:49:08.142515"
"ansible@9","libssh","runtime","2026-04-16 22:49:08.142515"
"ansible@9","libyaml","runtime","2026-04-16 22:49:08.142515"
"ansible@9","openssl@3","runtime","2026-04-16 22:49:08.142515"
"ansible@9","python@3.12","runtime","2026-04-16 22:49:08.142515"
"ansifilter","__none__","","2026-04-16 22:49:08.142515"
"ansilove","cmake","build","2026-04-16 22:49:08.142515"
"ansilove","libansilove","runtime","2026-04-16 22:49:08.142515"
"ansiweather","__none__","","2026-04-16 22:49:08.142515"
"ant","openjdk","runtime","2026-04-16 22:49:08.142515"
"ant-contrib","ant","runtime","2026-04-16 22:49:08.142515"
"ant@1.9","openjdk","runtime","2026-04-16 22:49:08.142515"
"antidote","__none__","","2026-04-16 22:49:08.142515"
"antigen","__none__","","2026-04-16 22:49:08.142515"
"antiword","__none__","","2026-04-16 22:49:08.142515"
"antlr","openjdk","runtime","2026-04-16 22:49:08.142515"
"antlr4-cpp-runtime","cmake","build","2026-04-16 22:49:08.142515"
"antlr4-cpp-runtime","pkgconf","build","2026-04-16 22:49:08.142515"
"anubis","bash","build","2026-04-16 22:49:08.142515"
"anubis","brotli","build","2026-04-16 22:49:08.142515"
"anubis","go","build","2026-04-16 22:49:08.142515"
"anubis","node","build","2026-04-16 22:49:08.142515"
"anubis","zstd","build","2026-04-16 22:49:08.142515"
"any2fasta","__none__","","2026-04-16 22:49:08.142515"
"anycable-go","go","build","2026-04-16 22:49:08.142515"
"anyenv","__none__","","2026-04-16 22:49:08.142515"
"anyquery","go@1.25","build","2026-04-16 22:49:08.142515"
"anyzig","zig@0.14","build","2026-04-16 22:49:08.142515"
"aoe","node","build","2026-04-16 22:49:08.142515"
"aoe","pkgconf","build","2026-04-16 22:49:08.142515"
"aoe","rust","build","2026-04-16 22:49:08.142515"
"aoe","openssl@3","runtime","2026-04-16 22:49:08.142515"
"aoe","tmux","runtime","2026-04-16 22:49:08.142515"
"aoeui","__none__","","2026-04-16 22:49:08.142515"
"aom","cmake","build","2026-04-16 22:49:08.142515"
"aom","pkgconf","build","2026-04-16 22:49:08.142515"
"aom","libvmaf","runtime","2026-04-16 22:49:08.142515"
"apache-archiva","ant","build","2026-04-16 22:49:08.142515"
"apache-archiva","java-service-wrapper","runtime","2026-04-16 22:49:08.142515"
"apache-archiva","openjdk","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","boost","build","2026-04-16 22:49:08.142515"
"apache-arrow","cmake","build","2026-04-16 22:49:08.142515"
"apache-arrow","gflags","build","2026-04-16 22:49:08.142515"
"apache-arrow","rapidjson","build","2026-04-16 22:49:08.142515"
"apache-arrow","xsimd","build","2026-04-16 22:49:08.142515"
