repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
fb55/css-select,3411063,ok,36,1795,0.8,,2026-05-19T11:23:45+00:00
fb55/css-what,4460687,ok,32,1488,2.3,,2026-05-19T11:23:46+00:00
fb55/domelementtype,6627835,ok,13,58,0.5,,2026-05-19T11:23:46+00:00
fb55/domhandler,5414232,ok,29,1617,1.0,,2026-05-19T11:23:46+00:00
fb55/domutils,6627949,ok,28,1937,0.8,,2026-05-19T11:23:47+00:00
fb55/entities,3172629,ok,29,1914,1.0,,2026-05-19T11:23:48+00:00
fb55/htmlparser2,2279062,ok,82,2304,0.8,,2026-05-19T11:23:48+00:00
fb55/nth-check,16864923,ok,12,1040,1.0,,2026-05-19T11:23:48+00:00
felixge/node-combined-stream,1787452,ok,13,73,0.8,,2026-05-19T11:23:49+00:00
felixge/node-delayed-stream,1783893,ok,4,45,0.6,,2026-05-19T11:23:49+00:00
feross/buffer,14494363,ok,80,879,0.6,,2026-05-19T11:23:49+00:00
feross/ieee754,15489525,ok,6,84,0.7,,2026-05-19T11:23:50+00:00
feross/is-buffer,25997846,ok,9,82,0.7,,2026-05-19T11:23:50+00:00
feross/queue-microtask,207021895,ok,6,46,0.5,,2026-05-19T11:23:51+00:00
feross/run-parallel,18700638,ok,6,81,0.8,,2026-05-19T11:23:51+00:00
feross/safe-buffer,49538897,ok,8,72,0.6,,2026-05-19T11:23:51+00:00
ffmpeg/ffmpeg,1614410,ok,2754,115329,36.3,,2026-05-19T11:23:51+00:00
firebase/firebase-js-sdk,89290483,ok,249,4232,1.6,,2026-05-19T11:23:52+00:00
floating-ui/floating-ui,54994103,ok,141,2235,2.1,,2026-05-19T11:23:52+00:00
follow-redirects/follow-redirects,6697086,ok,36,359,1.9,,2026-05-19T11:23:52+00:00
fontconfig/fontconfig,926884194,ok,168,2813,1.0,,2026-05-19T11:23:53+00:00
form-data/form-data,1755793,ok,48,260,0.9,,2026-05-19T11:23:54+00:00
formatjs/formatjs,19117456,ok,383,6371,4.7,,2026-05-19T11:23:54+00:00
freedesktop-unofficial-mirror/cairo,34372735,ok,296,11122,10.6,,2026-05-19T11:23:54+00:00
freetype/freetype,187000659,ok,239,8545,2.0,,2026-05-19T11:23:55+00:00
frenic/csstype,104001328,ok,14,345,0.9,,2026-05-19T11:23:55+00:00
frommi/miniz_oxide,96124162,ok,61,506,0.7,,2026-05-19T11:23:56+00:00
fsevents/fsevents,1402936,ok,44,231,0.7,,2026-05-19T11:23:56+00:00
fsspec/filesystem_spec,130727736,ok,347,2069,0.9,,2026-05-19T11:23:57+00:00
fsspec/s3fs,53987953,ok,167,841,0.6,,2026-05-19T11:23:57+00:00
garycourt/uri-js,989080,ok,13,66,0.6,,2026-05-19T11:23:58+00:00
gcc-mirror/gcc,22711503,ok,4269,229021,75.3,,2026-05-19T11:23:58+00:00
getsentry/sentry-javascript,3328572,ok,747,12503,6.8,,2026-05-19T11:23:58+00:00
giampaolo/psutil,20101515,ok,248,6164,1.7,,2026-05-19T11:23:58+00:00
git/git,36502,ok,2438,59882,49.2,,2026-05-19T11:23:59+00:00
gitlab-freedesktop-mirrors/libxcb,444023705,ok,26,296,1.5,,2026-05-19T11:24:00+00:00
gitoxidelabs/gitoxide,136510559,ok,209,14182,8.6,,2026-05-19T11:24:00+00:00
gitpython-developers/gitdb,1126093,ok,43,366,1.2,,2026-05-19T11:24:01+00:00
gitpython-developers/smmap,1865144,ok,23,194,1.3,,2026-05-19T11:24:02+00:00
gkz/levn,13287279,ok,4,41,0.9,,2026-05-19T11:17:29+00:00
gkz/optionator,13435927,ok,8,86,0.6,,2026-05-19T11:24:03+00:00
gkz/prelude-ls,4457759,ok,15,198,0.7,,2026-05-19T11:24:04+00:00
gkz/type-check,13182168,ok,5,40,1.2,,2026-05-19T11:24:04+00:00
gmp-mirror/gmp,681340775,ok,30,18260,4.8,,2026-05-19T11:24:05+00:00
gnome/gdk-pixbuf,4533539,ok,873,6353,1.2,,2026-05-19T11:24:06+00:00
gnome/glib,4537082,ok,1933,28860,5.8,,2026-05-19T11:24:06+00:00
gnome/libxml2,4537118,ok,417,7790,4.9,,2026-05-19T11:24:07+00:00
