url,valid,method,checked_at
https://gitlab.com/philbooth/bfj.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/philbooth/check-types.js.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/philbooth/hoopy.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/philbooth/tryer.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/philbooth/unicode-bom.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/procps-ng/procps.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/psmisc/psmisc.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/pwoolcoc/common-path.git,False,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/pwoolcoc/pwd.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/pycqa/flake8-polyfill.git,False,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/rich-harris/locate-character.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/rust-kqueue/rust-kqueue-sys.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/rust-kqueue/rust-kqueue.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/ryanobeirne/deltae.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/samsartor/async_cell.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/sequoia-pgp/nettle-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/sequoia-pgp/nettle-sys.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/sequoia-pgp/sequoia.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/sequoia-pgp/sha1collisiondetection.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/sfcgal/sfcgal.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/sio4/code/alloc-counter.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/spearman/sorted-vec.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/takluyver/jeepney.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.com/taricorp/llvm-sys.rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/timvisee/version-compare.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/torkleyy/err-derive.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/tspiteri/az.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/tspiteri/fixed.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/tspiteri/gmp-mpfr-sys.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/tspiteri/rug.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/ubports/development/core/gsettings-qt.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/warsaw/flufl.lock.git,True,ls-remote,2026-05-31T17:41:31Z
https://gitlab.com/warsaw/flufl.lock/issues.git,False,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/warsaw/public.git,True,ls-remote,2026-05-31T17:41:31Z
https://gitlab.com/warsaw/public/issues.git,False,ls-remote,2026-05-17T23:15:11Z
