"package","dependency","type"
"freerdp","pkcs11-helper","runtime"
"freerdp","sdl3","runtime"
"freerdp","sdl3_ttf","runtime"
"freerdp","uriparser","runtime"
"freetds","openssl@3","runtime"
"freetds","unixodbc","runtime"
"freetype","libpng","runtime"
"freexl","minizip","runtime"
"gallery-dl","certifi","runtime"
"gallery-dl","cryptography","runtime"
"gallery-dl","libyaml","runtime"
"gallery-dl","python@3.14","runtime"
"gallery-dl","yt-dlp","runtime"
"gauche","ca-certificates","runtime"
"gauche","mbedtls@3","runtime"
"gawk","gettext","runtime"
"gawk","gmp","runtime"
"gawk","mpfr","runtime"
"gawk","readline","runtime"
"gcc","gmp","runtime"
"gcc","isl","runtime"
"gcc","libmpc","runtime"
"gcc","mpfr","runtime"
"gcc","zstd","runtime"
"gd","fontconfig","runtime"
"gd","freetype","runtime"
"gd","jpeg-turbo","runtime"
"gd","libavif","runtime"
"gd","libpng","runtime"
"gd","libtiff","runtime"
"gd","webp","runtime"
"gdal","apache-arrow","runtime"
"gdal","c-blosc","runtime"
"gdal","cfitsio","runtime"
"gdal","epsilon","runtime"
"gdal","freexl","runtime"
"gdal","geos","runtime"
"gdal","giflib","runtime"
"gdal","hdf5","runtime"
"gdal","imath","runtime"
"gdal","jpeg-turbo","runtime"
"gdal","jpeg-xl","runtime"
"gdal","json-c","runtime"
"gdal","libaec","runtime"
"gdal","libarchive","runtime"
"gdal","libdeflate","runtime"
"gdal","libgeotiff","runtime"
"gdal","libheif","runtime"
"gdal","libkml","runtime"
"gdal","liblerc","runtime"
"gdal","libpng","runtime"
"gdal","libpq","runtime"
"gdal","libspatialite","runtime"
"gdal","libtiff","runtime"
"gdal","libxml2","runtime"
"gdal","lz4","runtime"
"gdal","minizip","runtime"
"gdal","netcdf","runtime"
"gdal","numpy","runtime"
"gdal","openexr","runtime"
"gdal","openjpeg","runtime"
"gdal","openssl@3","runtime"
"gdal","pcre2","runtime"
"gdal","poppler","runtime"
"gdal","proj","runtime"
"gdal","python@3.14","runtime"
"gdal","qhull","runtime"
"gdal","sfcgal","runtime"
"gdal","sqlite","runtime"
"gdal","unixodbc","runtime"
"gdal","uriparser","runtime"
"gdal","webp","runtime"
"gdal","xerces-c","runtime"
"gdal","xz","runtime"
"gdal","zstd","runtime"
"gdb","gmp","runtime"
"gdb","mpfr","runtime"
"gdb","ncurses","runtime"
"gdb","python@3.14","runtime"
"gdb","readline","runtime"
"gdb","xz","runtime"
"gdb","zstd","runtime"
"gdk-pixbuf","gettext","runtime"
"gdk-pixbuf","glib","runtime"
"gdk-pixbuf","jpeg-turbo","runtime"
"gdk-pixbuf","libpng","runtime"
"gdk-pixbuf","libtiff","runtime"
"gedit","adwaita-icon-theme","runtime"
"gedit","cairo","runtime"
"gedit","gdk-pixbuf","runtime"
"gedit","gettext","runtime"
"gedit","glib","runtime"
"gedit","gobject-introspection","runtime"
"gedit","gsettings-desktop-schemas","runtime"
"gedit","gspell","runtime"
"gedit","gtk+3","runtime"
"gedit","gtk-mac-integration","runtime"
"gedit","libgedit-amtk","runtime"
"gedit","libgedit-gfls","runtime"
"gedit","libgedit-gtksourceview","runtime"
"gedit","libgedit-tepl","runtime"
"gedit","libpeas@1","runtime"
"gedit","pango","runtime"
"gemini-cli","node","runtime"
"gettext","json-c","runtime"
"gettext","libunistring","runtime"
"ghc","gmp","runtime"
"ghostscript","fontconfig","runtime"
"ghostscript","freetype","runtime"
"ghostscript","jbig2dec","runtime"
"ghostscript","jpeg-turbo","runtime"
"ghostscript","leptonica","runtime"
"ghostscript","libarchive","runtime"
"ghostscript","libidn","runtime"
"ghostscript","libpng","runtime"
"ghostscript","libtiff","runtime"
"ghostscript","little-cms2","runtime"
"ghostscript","openjpeg","runtime"
"ghostscript","tesseract","runtime"
"gimme-aws-creds","certifi","runtime"
