"package","github_repo","git","eco_guess","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","license"
"dav1d","","https://code.videolan.org/videolan/dav1d.git","","c/c++","516721","0","855686","211908","539140","460153","True","True","False","0.00185391","A","bsd-2-clause"
"kubernetes-cli","kubernetes/kubernetes","https://github.com/kubernetes/kubernetes.git","","go","644483","0","1129092","289445","582207","577188","True","False","False","0.00182588","A","apache-2.0"
"unixodbc","","","","c/c++","385424","0","963355","170162","215943","192237","True","True","False","0.00178709","A","lgpl-2.1-or-later and gpl-2.0-or-later"
"guile","","","","c/c++","759055","0","2544603","83747","299488","108384","True","True","False","0.00174353","A","lgpl-3.0-or-later"
"coreutils","","","","c/c++","687007","0","836564","368299","656056","887112","True","True","False","0.00171509","A","gpl-3.0-or-later"
"libsndfile","libsndfile/libsndfile","https://github.com/libsndfile/libsndfile.git","","c/c++","494974","0","1131947","198779","262207","386964","True","True","True","0.00170500","A","lgpl-2.1-or-later"
"openldap","","","","c/c++","697337","0","1260672","372145","665088","491444","True","True","False","0.00170316","A","oldap-2.8"
"libmpc","","","","c/c++","435028","0","705552","291897","437753","304911","True","True","False","0.00165729","A","lgpl-3.0-or-later"
"librsvg","","","","rust","615170","0","981650","277157","660658","541215","True","False","False","0.00165361","A","lgpl-2.1-or-later"
"icu4c@76","unicode-org/icu","https://github.com/unicode-org/icu.git","","c/c++","717527","0","0","0","668916","766139","True","True","True","0.00164814","A","unicode-3.0"
"libheif","strukturag/libheif","https://github.com/strukturag/libheif.git","","c/c++","608208","0","988958","246537","635644","561696","True","True","True","0.00163453","A","lgpl-3.0-or-later"
"gdk-pixbuf","","","","c/c++","554524","0","954703","228928","497123","537343","True","True","False","0.00161778","A","lgpl-2.1-or-later"
"qtbase","","","","c/c++","16470","0","0","7","0","32934","True","True","False","0.00161491","A","(lgpl-3.0-only or gpl-2.0-only or gpl-3.0-only) and (gpl-3.0-only with qt-gpl-exception-1.0) and bsd-3-clause and gfdl-1.3-no-invariants-only"
"libusb","libusb/libusb","https://github.com/libusb/libusb.git","","c/c++","512095","0","1001176","130089","447295","469822","True","True","True","0.00160632","A","lgpl-2.1-or-later"
"x265","","https://bitbucket.org/multicoreware/x265_git.git","","c/c++","495571","0","647376","121813","655584","557512","True","True","False","0.00160432","A","gpl-2.0-or-later"
"leptonica","DanBloomberg/leptonica","https://github.com/danbloomberg/leptonica.git","","c/c++","565886","0","851886","278897","591485","541276","True","True","True","0.00158456","A","bsd-2-clause"
"libdeflate","ebiggers/libdeflate","https://github.com/ebiggers/libdeflate.git","","c/c++","288004","0","2208","1597","313603","834608","True","True","False","0.00155590","A","mit"
"llvm","llvm/llvm-project","https://github.com/llvm/llvm-project.git","","c/c++","577021","0","435771","210522","753028","908764","True","True","True","0.00155578","A","apache-2.0 with llvm-exception"
"snappy","google/snappy","https://github.com/google/snappy.git","","c/c++","554733","0","922280","274045","569337","453272","True","True","True","0.00155423","A","bsd-3-clause"
"gd","libgd/libgd","https://github.com/libgd/libgd.git","","c/c++","571656","0","1486602","306040","275198","218785","True","True","True","0.00151789","A","gd"
"bdw-gc","bdwgc/bdwgc","https://github.com/bdwgc/bdwgc.git","","c/c++","541194","0","1779047","99918","202660","83151","True","True","False","0.00149330","A","boehm-gc and hpnd-sell-variant"
"tcl-tk","","","","c/c++","504348","0","960431","357311","427978","271672","True","True","False","0.00148240","B","tcl"
"freetds","","","","c/c++","594619","0","1233605","269585","475801","399487","True","True","False","0.00146722","B","gpl-2.0-or-later"
"glog","google/glog","https://github.com/google/glog.git","","c/c++","184386","0","497458","74569","98435","67082","True","True","True","0.00144979","B","bsd-3-clause"
"apr","","","","c/c++","374074","0","899126","200448","204592","192133","True","True","False","0.00144144","B","apache-2.0"
"pycparser","eliben/pycparser","https://github.com/eliben/pycparser.git","","python","223211","0","268","168783","427309","296484","True","False","False","0.00142363","B","bsd-3-clause"
"fbthrift","facebook/fbthrift","https://github.com/facebook/fbthrift.git","","c/c++","453755","0","899984","235122","392440","287476","True","True","False","0.00140840","B","apache-2.0"
"flac","","","","c/c++","490471","0","1151948","183732","255828","370377","True","True","False","0.00138572","B","bsd-3-clause and gpl-2.0-or-later and isc and lgpl-2.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain and (gpl-2.0-or-later or lgpl-2.1-or-later)"
"libassuan","","","","c/c++","262411","0","289328","88752","373921","297646","True","True","False","0.00138415","B","lgpl-2.1-or-later and gpl-3.0-or-later and fsfullr"
"postgresql@14","","","","c/c++","599506","0","966920","304637","597494","528976","True","True","False","0.00137705","B","postgresql"
"libxml2","","","","c/c++","520962","0","745566","250964","577854","509466","True","True","False","0.00136067","B","mit"
"fb303","facebook/fb303","https://github.com/facebook/fb303.git","","c/c++","452539","0","893797","233536","401924","280902","True","True","False","0.00135871","B","apache-2.0"
"mbedtls","Mbed-TLS/mbedtls","https://github.com/mbed-tls/mbedtls.git","","c/c++","591402","0","1011338","229905","575274","549091","True","True","True","0.00135844","B","apache-2.0"
"openjph","aous72/OpenJPH","https://github.com/aous72/openjph.git","","c/c++","202308","0","0","0","439","404178","True","True","True","0.00135288","B","bsd-2-clause"
"fizz","facebookincubator/fizz","https://github.com/facebookincubator/fizz.git","","c/c++","455848","0","897633","224615","413239","287906","True","True","False","0.00134314","B","bsd-3-clause"
"mysql","mysql/mysql-server","https://github.com/mysql/mysql-server.git","","c/c++","578865","0","953693","286157","590294","485319","True","True","True","0.00132964","B","gpl-2.0-only with universal-foss-exception-1.0"
"graphviz","","https://gitlab.com/api/v4/projects/4207231/packages/generic/graphviz-releases/15.1.0/graphviz-15.1.0.tar.xz.git","","c/c++","546439","0","922829","258945","517273","486710","True","True","False","0.00132234","B","epl-1.0"
"libb2","BLAKE2/libb2","https://github.com/blake2/libb2.git","","c/c++","348950","0","617139","104256","318476","355929","True","True","False","0.00130829","B","cc0-1.0"
"opus","","","","c/c++","325404","0","464401","155549","410409","271260","True","True","False","0.00127477","B","bsd-3-clause"
"watchman","facebook/watchman","https://github.com/facebook/watchman.git","","rust","554324","0","892093","297559","564192","463453","True","False","False","0.00127327","B","mit"
"ghostscript","ArtifexSoftware/ghostpdl-downloads","https://github.com/artifexsoftware/ghostpdl-downloads.git","","c/c++","530114","0","896806","302235","525572","395846","True","True","False","0.00126113","B","agpl-3.0-or-later"
"gobject-introspection","","","","c/c++","522107","0","1231511","246608","347438","262874","True","True","False","0.00125333","B","gpl-2.0-or-later and lgpl-2.0-or-later and mit"
"libnghttp3","ngtcp2/nghttp3","https://github.com/ngtcp2/nghttp3.git","","c/c++","247118","0","0","0","19073","475164","True","True","False","0.00124963","B","mit"
"librist","","https://code.videolan.org/rist/librist.git","","c/c++","538033","0","1068306","174933","507675","401219","True","True","False","0.00124393","B","bsd-2-clause"
"libvpx","webmproject/libvpx","https://github.com/webmproject/libvpx.git","","c/c++","418166","0","837238","128883","299486","407060","True","True","False","0.00123008","B","bsd-3-clause"
"hwloc","","","","c/c++","233406","0","247444","65355","379285","241543","True","True","False","0.00122674","B","bsd-3-clause"
