"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"lazygit","https://github.com/jesseduffield/lazygit.git","","","","","",""
"lcov","https://github.com/linux-test-project/lcov.git","","","","","",""
"ldns","","","","","","",""
"lefthook","https://github.com/evilmartians/lefthook.git","","","","","",""
"leptonica","https://github.com/danbloomberg/leptonica.git","","","","","",""
"libadwaita","","","","","","",""
"libaec","","https://gitlab.dkrz.de/k202009/libaec.git","","","","",""
"libapplewm","","","","","","",""
"libarchive","","","","","","",""
"libass","https://github.com/libass/libass.git","","","","","",""
"libassuan","","","","","","",""
"libassuan@2","","","","","","",""
"libavif","https://github.com/aomediacodec/libavif.git","","","","","",""
"libb2","https://github.com/blake2/libb2.git","","","","","",""
"libblastrampoline","https://github.com/julialinearalgebra/libblastrampoline.git","","","","","",""
"libbluray","","","","","","",""
"libcap","","","","","","",""
"libcbor","https://github.com/pjk/libcbor.git","","","","","",""
"libcerf","","","","","","https://jugit.fz-juelich.de/mlz/libcerf",""
"libclc","https://github.com/llvm/llvm-project.git","","","","","",""
"libcuefile","","","","","","",""
"libdap","","","","","","",""
"libdatrie","https://github.com/tlwg/libdatrie.git","","","","","",""
"libde265","https://github.com/strukturag/libde265.git","","","","","",""
"libdeflate","https://github.com/ebiggers/libdeflate.git","","","","","",""
"libdicom","https://github.com/imagingdatacommons/libdicom.git","","","","","",""
"libdrm","","","","","","",""
"libdvdcss","","","","","","",""
"libdvdnav","","","","","","",""
"libdvdread","","","","","","",""
"libebml","","","","","","",""
"libedit","","","","","","",""
"libepoxy","https://github.com/anholt/libepoxy.git","","","","","",""
"libev","","","","","","",""
"libevent","https://github.com/libevent/libevent.git","","","","","",""
"libexif","https://github.com/libexif/libexif.git","","","","","",""
"libffcall","","","","","","",""
"libffi","https://github.com/libffi/libffi.git","","","","","https://sourceware.org/libffi/",""
"libfido2","https://github.com/yubico/libfido2.git","","","","","",""
"libfontenc","","","","","","",""
"libftdi","","","","","","",""
"libfyaml","https://github.com/pantoniou/libfyaml.git","","","","","",""
"libgccjit","","","","","","",""
"libgcrypt","","","","","","",""
"libgedit-amtk","","https://gitlab.gnome.org/world/gedit/libgedit-amtk.git","","","","",""
"libgedit-gfls","","https://gitlab.gnome.org/world/gedit/libgedit-gfls.git","","","","",""
"libgedit-gtksourceview","","https://gitlab.gnome.org/world/gedit/libgedit-gtksourceview.git","","","","",""
"libgedit-tepl","","https://gitlab.gnome.org/world/gedit/libgedit-tepl.git","","","","",""
"libgeotiff","https://github.com/osgeo/libgeotiff.git","","","","","",""
"libgit2","https://github.com/libgit2/libgit2.git","","","","","",""
"libgit2@1.7","https://github.com/libgit2/libgit2.git","","","","","",""
"libgit2@1.8","https://github.com/libgit2/libgit2.git","","","","","",""
