"package","avg_downloads","2021","2022","2023","2024","2025"
"tidy-html5","155182","0","403204","49585","82904","85037"
"colima","155147","0","187261","59403","200731","173196"
"grpc","154288","0","154815","81978","197549","182810"
"minikube","154261","0","318987","78294","115679","104086"
"libslirp","153871","0","338475","35008","117906","124096"
"emacs","153100","0","289170","59223","161169","102840"
"luv","153045","0","310600","45155","111404","145024"
"openvino","152146","0","130","15000","462456","130998"
"node@20","150922","0","0","0","168427","133418"
"jemalloc","150134","0","526814","32677","24382","16663"
"capstone","148490","0","281539","65677","134959","111785"
"cmocka","145621","0","541167","22712","11246","7362"
"liblinear","144025","0","307713","61742","77165","129481"
"gts","143973","0","226115","75647","141636","132497"
"gflags","142983","0","325432","70371","100521","75611"
"msgpack","142961","0","295706","52210","176247","47681"
"k9s","142826","0","175280","33008","129799","233217"
"pipenv","141668","0","276267","99514","113260","77631"
"erlang","141272","0","275808","62633","114622","112025"
"deno","141269","0","192727","74928","144443","152980"
"pre-commit","140510","0","200748","81647","153162","126485"
"fastlane","140104","0","199183","59439","155055","146742"
"ripgrep","139729","0","98520","32211","167737","260450"
"bat","139136","0","167750","41619","143237","203941"
"ollama","138181","0","0","1024","115864","297657"
"at-spi2-core","137179","0","0","4122","193121","214294"
"sphinx-doc","136251","0","240845","76753","122305","105102"
"gdal","136224","0","205200","67485","141190","131023"
"argon2","136030","0","369387","42939","70107","61689"
"gnu-sed","135455","0","286724","55661","103086","96352"
"pygments","133370","0","266966","183330","65393","17793"
"asdf","132196","0","199063","61579","114549","153596"
"httpd","131089","0","264221","72597","104414","83124"
"starship","129250","0","194012","54618","128547","139825"
"kustomize","128778","0","74266","87897","175275","177677"
"the_silver_searcher","128060","0","38290","98211","239271","136469"
"vde","126761","0","375267","41437","55130","35210"
"libaec","126655","0","240777","35127","131160","99557"
"libudfread","125729","0","0","0","0","125729"
"libnsl","125032","0","0","89970","218988","66138"
"direnv","124627","0","112357","48514","174702","162935"
"jupyterlab","123888","0","125330","52782","158824","158619"
"argocd","123503","0","102417","59079","151606","180911"
"netcdf","121654","0","242360","61450","85540","97266"
"flyctl","121406","0","94114","71904","150824","168785"
"xxhash","120135","0","80599","23507","126179","250257"
"tfenv","119366","0","104557","81669","156627","134614"
"make","118077","0","152783","75952","135734","107840"
"wxwidgets","117507","0","268103","48628","90696","62603"
"opencv","116403","0","140787","66179","154778","103869"
"poetry","115372","0","136036","61543","129543","134368"
"subversion","113830","0","173187","58336","117998","105799"
"sops","110962","0","37469","27056","172437","206889"
"watch","110227","0","243649","50749","67961","78549"
"hunspell","109510","0","267211","37095","76872","56865"
"usage","108961","0","0","0","34644","183279"
"gstreamer","108670","0","86007","69218","158851","120606"
"re2","107577","0","124624","55999","135871","113814"
"libxfixes","107069","0","24675","35060","185101","183440"
"golangci-lint","106715","0","134319","60776","103703","128062"
"xcodegen","105646","0","39003","52149","175448","155986"
"libxi","105371","0","22169","32884","202952","163480"
"kubeconform","105187","0","4102","50257","178897","187492"
"fish","104998","0","172252","36674","70532","140537"
"apache-arrow","104424","0","80112","63280","141587","132717"
"bison","104173","0","138248","61077","115375","101994"
"suite-sparse","104057","0","183305","38650","110290","83983"
"proj","102834","0","152571","41907","92246","124612"
