"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"wrap-ansi","chalk/wrap-ansi","5371093853","2590739873","3451156088","4358128935","6421498799","10033945571","True","0.00158444","A","https://github.com/chalk/wrap-ansi.git","eco","gh/41053676","","mit"
"is-plain-object","jonschlinkert/is-plain-object","1931141683","1269416460","1725093224","1987046940","2136401407","2537750385","True","0.00157877","A","https://github.com/jonschlinkert/is-plain-object.git","eco","gh/24306940","","mit"
"prelude-ls","gkz/prelude-ls","2192072693","1282501142","1969224351","2307136938","2306991997","3094509039","True","0.00153918","A","https://github.com/gkz/prelude-ls.git","eco","gh/4457759","","mit"
"@typescript-eslint/types","typescript-eslint/typescript-eslint","1971825104","616989510","1227679629","1765886282","2513165673","3735404426","True","0.00149482","A","https://github.com/typescript-eslint/typescript-eslint.git","eco","gh/165536154","","mit"
"shebang-regex","sindresorhus/shebang-regex","2974870210","1779800234","2465304587","2936456823","3266106674","4426682735","True","0.00147580","A","https://github.com/sindresorhus/shebang-regex.git","eco","gh/30903733","","mit"
"entities","fb55/entities","2456254706","1260249104","1666665079","2355752896","2772116106","4226490346","True","0.00145593","A","https://github.com/fb55/entities.git","eco","gh/3172629","","bsd-2-clause"
"is-stream","sindresorhus/is-stream","3372840331","1850347121","2578321486","3291384770","4010124925","5134023353","True","0.00145448","A","https://github.com/sindresorhus/is-stream.git","eco","gh/29436825","","mit"
"which","npm/node-which","3977998056","2011168153","2858963296","3711343545","4666429689","6642085598","True","0.00144115","A","https://github.com/npm/node-which.git","eco","gh/2169708","","isc"
"jest-util","jestjs/jest","2378636349","896616602","1824392313","2939762218","2805952625","3426457988","True","0.00142982","A","https://github.com/jestjs/jest.git","eco","gh/15062869","","mit"
"side-channel","ljharb/side-channel","1772115948","635645572","1259813001","1651736629","2159950824","3153433714","True","0.00141356","A","https://github.com/ljharb/side-channel.git","eco","gh/225239081","","mit"
"browserslist","browserslist/browserslist","2396165212","1596921742","2041438614","2174334478","2535918830","3632212398","True","0.00141245","A","https://github.com/browserslist/browserslist.git","eco","gh/27971466","","mit"
"pretty-format","jestjs/jest","3389865099","1294356384","2247312644","3507009920","4249056279","5651590270","True","0.00140283","A","https://github.com/jestjs/jest.git","eco","gh/15062869","","mit"
"iconv-lite","pillarjs/iconv-lite","3359139231","1784037010","2504737749","3142654454","3796630329","5567636613","True","0.00138911","A","https://github.com/pillarjs/iconv-lite.git","override","gh/2743221","","mit"
"@types/estree","definitelytyped/definitelytyped","1674510055","482393965","1040733733","1540933319","1984911845","3323577416","True","0.00138707","A","https://github.com/definitelytyped/definitelytyped.git","eco","gh/6093316","","mit"
"uuid","uuidjs/uuid","4880973304","2660921297","3513474974","4613607215","5651795669","7965067365","True","0.00138108","A","https://github.com/uuidjs/uuid.git","eco","gh/1203139","","mit"
"resolve","browserify/resolve","3637338756","2197216209","2979113967","3551199050","3926833444","5532331111","True","0.00135097","A","https://github.com/browserify/resolve.git","eco","gh/1915099","","mit"
