repo,repo_id,package,has_npm_funding,npm_funding_url,fetched_at,status
jridgewell/sourcemaps,897142826,@jridgewell/sourcemap-codec,False,,2026-06-29T23:54:29+00:00,ok
jsdom/tr46,36964214,tr46,False,,2026-06-29T23:54:29+00:00,ok
jsdom/webidl-conversions,23000311,webidl-conversions,False,,2026-06-29T23:54:29+00:00,ok
jsdom/whatwg-mimetype,71014420,whatwg-mimetype,False,,2026-06-29T23:54:29+00:00,ok
jsdom/whatwg-url,34761352,whatwg-url,False,,2026-06-29T23:54:29+00:00,ok
jsdom/xml-name-validator,28553202,xml-name-validator,False,,2026-06-29T23:54:29+00:00,ok
jshttp/accepts,15482433,accepts,False,,2026-06-29T23:54:29+00:00,ok
jshttp/content-disposition,24216676,content-disposition,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
jshttp/content-type,30172150,content-type,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
jshttp/cookie,4475810,cookie,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
jshttp/etag,22894570,etag,False,,2026-06-29T23:54:29+00:00,ok
jshttp/forwarded,24300217,forwarded,False,,2026-06-29T23:54:29+00:00,ok
jshttp/fresh,4617552,fresh,False,,2026-06-29T23:54:29+00:00,ok
jshttp/http-errors,23806086,http-errors,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
jshttp/media-typer,20814275,media-typer,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
jshttp/methods,8274071,methods,False,,2026-06-29T23:54:29+00:00,error
jshttp/mime-db,22970419,mime-db,False,,2026-06-29T23:54:29+00:00,ok
jshttp/mime-types,19380178,mime-types,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
jshttp/negotiator,3275614,negotiator,False,,2026-06-29T23:54:29+00:00,ok
jshttp/on-finished,15349765,on-finished,False,,2026-06-29T23:54:29+00:00,ok
jshttp/range-parser,4627131,range-parser,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
jshttp/statuses,17690272,statuses,False,,2026-06-29T23:54:29+00:00,ok
jshttp/type-is,15484233,type-is,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
jshttp/vary,20498698,vary,False,,2026-06-29T23:54:29+00:00,ok
jslicense/spdx-correct.js,34817196,spdx-correct,False,,2026-06-29T23:54:29+00:00,ok
jslicense/spdx-exceptions.json,40062896,spdx-exceptions,False,,2026-06-29T23:54:29+00:00,ok
jslicense/spdx-expression-parse.js,40067336,spdx-expression-parse,False,,2026-06-29T23:54:29+00:00,ok
jslicense/spdx-license-ids,26001547,spdx-license-ids,False,,2026-06-29T23:54:29+00:00,ok
json5/json5,4463453,json5,False,,2026-06-29T23:54:29+00:00,ok
juliangruber/balanced-match,13538817,balanced-match,False,,2026-06-29T23:54:29+00:00,ok
juliangruber/brace-expansion,13539234,brace-expansion,False,,2026-06-29T23:54:29+00:00,ok
juliangruber/isarray,10227611,isarray,False,,2026-06-29T23:54:29+00:00,ok
justmoon/node-extend,3967764,extend,False,,2026-06-29T23:54:29+00:00,ok
jviereck/regjsparser,14087781,regjsparser,False,,2026-06-29T23:54:29+00:00,error
ka-weihe/fastest-levenshtein,158960628,fastest-levenshtein,False,,2026-06-29T23:54:29+00:00,ok
kaelzhang/node-ignore,12519245,ignore,False,,2026-06-29T23:54:29+00:00,ok
kemitchell/validate-npm-package-license.js,35000460,validate-npm-package-license,False,,2026-06-29T23:54:29+00:00,ok
kevinbeaty/any-promise,26247715,any-promise,False,,2026-06-29T23:54:29+00:00,ok
kevva/dir-glob,49264969,dir-glob,False,,2026-06-29T23:54:29+00:00,ok
kevva/shebang-command,47402913,shebang-command,False,,2026-06-29T23:54:29+00:00,ok
kilian/electron-to-chromium,78972540,electron-to-chromium,False,,2026-06-29T23:54:29+00:00,ok
kpdecker/jsdiff,1542219,diff,False,,2026-06-29T23:54:29+00:00,ok
kriskowal/asap,11295071,asap,False,,2026-06-29T23:54:29+00:00,ok
kriszyp/json-schema,947175,json-schema,False,,2026-06-29T23:54:29+00:00,ok
linusu/buffer-from,66025821,buffer-from,False,,2026-06-29T23:54:29+00:00,ok
