repo_id,repo,ecosystem,value_score,risk_score
1086593277,rust-random/rand_core,crates,52.2533,45
898274312,es-shims/dunder-proto,npm,50.0281,45
34739117,pytest-dev/pluggy,pypi,45.8542,45
90776169,sindresorhus/make-dir,npm,43.7329,45
204197530,aio-libs/frozenlist,pypi,39.9507,45
419317518,fastify/fast-uri,npm,33.7329,45
582755777,python-jsonschema/jsonschema-specifications,pypi,30.2752,45
4627131,jshttp/range-parser,npm,30.0034,45
15482433,jshttp/accepts,npm,29.062,45
18260583,jonschlinkert/word-wrap,npm,28.5097,45
7985040,sindresorhus/node-defaults,npm,27.2916,45
201685155,inspect-js/which-boxed-primitive,npm,26.8891,45
88333533,mathiasbynens/unicode-property-aliases-ecmascript,npm,25.6362,45
2410676,urllib3/urllib3,pypi,86.1833,44
20451415,chalk/ansi-regex,npm,78.9915,44
27620277,eslint/js,npm,69.9711,44
81482340,istanbuljs/istanbuljs,npm,62.6187,44
80306715,webpack/schema-utils,npm,51.6738,44
19380178,jshttp/mime-types,npm,51.552,44
1341324,isaacs/rimraf,npm,47.5453,44
21069494,sindresorhus/globby,npm,39.8548,44
49437324,mathiasbynens/regexpu-core,npm,33.8886,44
9146732,litejs/natural-compare-lite,npm,32.0207,44
30010185,inspect-js/is-string,npm,31.927,44
28553202,jsdom/xml-name-validator,npm,30.7395,44
32450614,jonschlinkert/map-cache,npm,28.3157,44
29991666,inspect-js/is-number-object,npm,26.566,44
198357138,inspect-js/functions-have-names,npm,25.503,44
11803168,chalk/ansi-styles,npm,74.4455,43
911035271,ljharb/get-proto,npm,50.1427,43
714044439,sindresorhus/find-up-simple,npm,49.5749,43
12118126,mafintosh/pump,npm,35.6608,43
20814275,jshttp/media-typer,npm,30.3428,43
29773710,sindresorhus/decamelize,npm,28.863,43
62838930,sindresorhus/clean-stack,npm,28.627,43
282262730,knurling-rs/defmt,crates,28.2697,43
19105307,sindresorhus/file-type,npm,25.8379,43
27729880,grpc/grpc,pypi,71.0143,42
18892209,tartley/colorama,pypi,66.5753,42
773229339,es-shims/es-object-atoms,npm,60.1802,42
392913710,inspect-js/has-tostringtag,npm,55.9541,42
