repo,repo_id,active_contributors,hhi_commits,bus_factor_commits,loc,concentration_class,complexity_class
bobbyanguelov/esoterica,514429330,1,10000,1,0,A,
bobranten/ext4fsd,234943556,3,7486,1,0,B,
bochs-emu/bochs,528991306,29,5631,1,0,B,
bodmer/tft_espi,82754556,31,8131,1,0,A,
boku7/bokuloader,396447471,5,8524,1,0,A,
bol-van/zapret,51757458,21,991,4,0,D,
bol-van/zapret2,1098533718,1,10000,1,0,A,
bombela/backward-cpp,8247784,31,479,8,0,D,
bonzaithepenguin/wikisort,17088192,1,10000,1,0,A,
boomingtech/piccolo,471960338,45,602,6,0,D,
boost-ext/di,3250728,11,1914,2,0,D,
boost-ext/sml,47465696,24,2908,1,0,C,
boost-ext/ut,213094069,48,864,5,0,D,
boostorg/asio,7589945,6,9843,1,0,A,
boostorg/beast,10726510,49,2278,2,0,D,
boostorg/compute,8526347,4,4044,1,0,C,
boostorg/hana,19887998,7,4527,1,0,C,
boostorg/pfr,54502907,17,4127,2,0,C,
bootchk/resynthesizer,1620904,3,6429,1,0,B,
bootleg/ret-sync,49377590,12,3798,1,0,C,
bootlin/elixir,81215265,18,4329,1,0,C,
borndotcom/react-native-godot,1087647777,6,3056,1,0,C,
bozbez/win-capture-audio,395348629,22,4989,1,0,C,
bpftrace/bpftrace,146842101,70,1292,3,0,D,
bqi343/cp-notebook,96848514,5,6052,1,0,B,
br3ttb/arduino-pid-library,2979604,1,10000,1,0,A,
brainboxdotcc/dpp,351512090,99,3659,1,0,C,
brainflow-dev/brainflow,141026475,49,6614,1,0,B,
brandur/redis-cell,72307650,6,7576,1,0,B,
brave/brave-core,110198384,71,352,11,0,D,
breach/thrust,11617231,1,10000,1,0,A,
brektrou/rtl8821cu,173287874,8,4256,1,0,C,
brendan-rius/c-jwt-cracker,79501355,1,10000,1,0,A,
brenns10/lsh,29000401,1,10000,1,0,A,
