repo,repo_id,openssf_score,cve_count_5y,ossfuzz_enrolled,fetched_at
jonschlinkert/define-property,40633359,2.9,0,False,2026-04-27
jonschlinkert/extend-shallow,25867410,2.9,0,False,2026-04-27
jonschlinkert/fill-range,27113310,3.7,0,False,2026-04-27
jonschlinkert/get-value,24911025,1.8,0,False,2026-04-27
jonschlinkert/global-prefix,31455984,3.8,0,False,2026-04-27
jonschlinkert/has-value,24310408,3.0,0,False,2026-04-27
jonschlinkert/has-values,33009186,3.0,0,False,2026-04-27
jonschlinkert/is-extendable,38225016,2.9,0,False,2026-04-28
jonschlinkert/is-extglob,31788841,3.7,0,False,2026-04-27
jonschlinkert/is-number,24313173,3.0,0,False,2026-04-27
jonschlinkert/is-plain-object,24306940,3.0,0,False,2026-04-27
jonschlinkert/isobject,21342886,3.1,0,False,2026-04-27
jonschlinkert/kind-of,24491562,3.0,0,False,2026-04-27
jonschlinkert/map-cache,32450614,2.9,0,False,2026-04-27
jonschlinkert/normalize-path,21224182,2.9,0,False,2026-04-27
jonschlinkert/object-visit,38545952,2.9,0,False,2026-04-27
jonschlinkert/word-wrap,18260583,3.3,1,False,2026-04-27
jorgebucaran/colorette,34648097,3.0,0,False,2026-04-28
joshuakgoldberg/ts-api-utils,597893818,4.9,0,False,2026-04-27
jpadilla/pyjwt,1408162,,3,True,
jprichardson/node-fs-extra,2791348,5.3,0,False,2026-04-27
jprichardson/node-jsonfile,5754307,3.8,0,False,2026-04-27
jquast/wcwidth,18464187,5.9,0,False,2026-04-27
jquery/esprima,2833537,3.1,0,False,2026-04-27
jridgewell/resolve-uri,196878944,3.2,0,False,2026-04-27
jridgewell/sourcemaps,897142826,3.9,0,False,2026-04-27
jsdom/tr46,36964214,3.6,0,False,2026-04-27
jsdom/webidl-conversions,23000311,4.1,0,False,2026-04-27
jsdom/whatwg-mimetype,71014420,4.0,0,False,2026-04-27
jsdom/whatwg-url,34761352,5.4,0,False,2026-04-27
jsdom/xml-name-validator,28553202,3.1,0,False,2026-04-27
jshttp/accepts,15482433,6.8,0,False,2026-04-27
jshttp/content-disposition,24216676,7.1,0,False,2026-04-27
jshttp/content-type,30172150,6.9,0,False,2026-04-27
jshttp/cookie,4475810,6.5,1,False,2026-04-27
jshttp/etag,22894570,6.1,0,False,2026-04-27
jshttp/forwarded,24300217,6.2,0,False,2026-04-27
jshttp/fresh,4617552,6.5,0,False,2026-04-27
jshttp/http-errors,23806086,7.2,0,False,2026-04-27
jshttp/media-typer,20814275,6.5,0,False,2026-04-27
jshttp/methods,8274071,6.3,0,False,2026-04-27
jshttp/mime-db,22970419,7.4,0,False,2026-04-27
jshttp/mime-types,19380178,7.4,0,False,2026-04-27
jshttp/negotiator,3275614,6.6,0,False,2026-04-27
jshttp/on-finished,15349765,6.6,0,False,2026-04-27
jshttp/range-parser,4627131,5.5,0,False,2026-04-27
jshttp/statuses,17690272,6.9,0,False,2026-04-27
jshttp/type-is,15484233,6.5,0,False,2026-04-27
jshttp/vary,20498698,6.6,0,False,2026-04-27
jslicense/spdx-correct.js,34817196,3.3,0,False,2026-04-27
jslicense/spdx-expression-parse.js,40067336,3.2,0,False,2026-04-27
json5/json5,4463453,3.0,1,False,2026-04-27
juliangruber/balanced-match,13538817,6.2,0,False,2026-04-27
juliangruber/brace-expansion,13539234,6.2,1,False,2026-04-27
juliangruber/isarray,10227611,7.1,0,False,2026-04-27
justmoon/node-extend,3967764,3.7,0,False,2026-04-27
jviereck/regjsparser,14087781,4.4,0,False,2026-04-27
ka-weihe/fastest-levenshtein,158960628,2.6,0,False,2026-04-27
kaelzhang/node-ignore,12519245,3.1,0,False,2026-04-27
kemitchell/validate-npm-package-license.js,35000460,3.2,0,False,2026-04-27
kevinbeaty/any-promise,26247715,2.8,0,False,2026-04-27
kevva/dir-glob,49264969,3.7,0,False,2026-04-27
kevva/shebang-command,47402913,3.7,0,False,2026-04-27
kilian/electron-to-chromium,78972540,5.4,0,False,2026-04-27
kjd/idna,10323585,7.8,1,True,2026-04-27
knurling-rs/defmt,282262730,6.3,0,False,2026-04-27
kpdecker/jsdiff,1542219,4.6,0,False,2026-04-27
krb5/krb5,4307702,5.3,,True,2026-04-27
kriskowal/asap,11295071,3.1,0,False,2026-04-27
kriszyp/json-schema,947175,3.6,1,False,2026-04-27
langchain-ai/langchain,552661142,7.2,25,False,2026-04-27
laurent-laporte-pro/deprecated,111412148,,0,False,
lddubeau/xmlchars,139881982,3.3,0,False,2026-04-27
legrandin/pycryptodome,19378935,5.6,1,True,2026-04-27
libevent/libevent,1856976,7.6,,True,2026-04-06
libexpat/libexpat,80314213,8.0,,True,2026-04-07
libffi/libffi,321154,4.5,,False,2026-04-06
libidn/libidn2,87378214,3.7,,False,2026-04-27
libjxl/libjxl,340219494,,,True,
libpixman/pixman,81675971,2.8,,False,2026-04-27
libuv/libuv,14812739,6.0,,False,2026-04-06
linusu/buffer-from,66025821,2.9,0,False,2026-04-27
linux-audit/audit-userspace,52464964,4.8,,False,2026-04-27
litejs/natural-compare-lite,9146732,4.0,0,False,2026-04-27
ljharb/call-bind,308533760,4.2,0,False,2026-04-27
ljharb/call-bind-apply-helpers,898190951,4.0,0,False,2026-04-27
ljharb/call-bound,898125972,4.0,0,False,2026-04-27
ljharb/concat-map,548993448,4.0,0,False,2026-04-27
ljharb/define-data-property,689109338,4.0,0,False,2026-04-27
ljharb/define-properties,28768789,3.9,0,False,2026-04-27
ljharb/es-abstract,28995155,4.7,0,False,2026-04-27
