id,github_repo,packages,pkgs_npm,pkgs_pypi,pkgs_crates,pkgs_cpp,pkgs_total,pr_cum_pct_npm,pr_cum_pct_pypi,pr_cum_pct_crates,pr_cum_pct_cpp,class_npm,class_pypi,class_crates,class_cpp,class_total,is_eol
6216,acryldata/avro_gen,avro-gen3 (pypi),0,1,0,0,1,,99.3397,,,,D,,,D,False
6217,acw/simple_asn1,simple_asn1 (crates),0,0,1,0,1,,,94.6953,,,,D,,D,False
6218,ada-url/ada,ada (cpp),0,0,0,1,1,,,,96.5702,,,,D,D,False
6219,adaltas/node-http-status,http-status (npm),1,0,0,0,1,99.8761,,,,D,,,,D,False
6220,adamchainz/django-cors-headers,django-cors-headers (pypi),0,1,0,0,1,,94.5756,,,,D,,,D,False
6221,adamchainz/ec2-metadata,ec2-metadata (pypi),0,1,0,0,1,,98.6923,,,,D,,,D,False
6222,adamchainz/flake8-comprehensions,flake8-comprehensions (pypi),0,1,0,0,1,,99.358,,,,D,,,D,False
6223,adamcrume/java-properties,java-properties (crates),0,0,1,0,1,,,99.8562,,,,D,,D,False
6224,adamgruber/mochawesome,mochawesome (npm),1,0,0,0,1,99.462,,,,D,,,,D,False
6225,adamgruber/mochawesome-report-generator,mochawesome-report-generator (npm),1,0,0,0,1,99.2101,,,,D,,,,D,False
6226,adamreisnz/replace-in-file,replace-in-file (npm),1,0,0,0,1,99.7268,,,,D,,,,D,False
6227,adamwdraper/numeral-js,numeral (npm),1,0,0,0,1,99.407,,,,D,,,,D,False
6228,adbar/htmldate,htmldate (pypi),0,1,0,0,1,,99.2535,,,,D,,,D,False
6229,addaleax/eventemitter-asyncresource,eventemitter-asyncresource (npm),1,0,0,0,1,99.3133,,,,D,,,,D,False
6230,addaleax/nice-napi,nice-napi (npm),1,0,0,0,1,98.7556,,,,D,,,,D,False
6231,addr-rs/addr,addr (crates),0,0,1,0,1,,,98.582,,,,D,,D,False
6232,addr-rs/psl,psl (crates),0,0,1,0,1,,,98.3351,,,,D,,D,False
6233,addr-rs/psl-types,psl-types (crates),0,0,1,0,1,,,96.4421,,,,D,,D,False
6234,adraffy/ens-normalize.js,@adraffy/ens-normalize (npm),1,0,0,0,1,99.931,,,,D,,,,D,False
6235,adriantoine/enzyme-to-json,enzyme-to-json (npm),1,0,0,0,1,99.4057,,,,D,,,,D,False
6236,adrienverge/yamllint,yamllint (pypi),0,1,0,0,1,,92.4024,,,,D,,,D,False
6237,adwhit/diesel-derive-enum,diesel-derive-enum (crates),0,0,1,0,1,,,99.7608,,,,D,,D,False
6238,aembke/fred-macros,fred-macros (crates),0,0,1,0,1,,,99.9744,,,,D,,D,False
6239,aembke/fred.rs,fred (crates),0,0,1,0,1,,,99.7831,,,,D,,D,False
6240,aembke/redis-protocol.rs,redis-protocol (crates),0,0,1,0,1,,,99.7731,,,,D,,D,False
6241,aetf/unicode-truncate,unicode-truncate (crates),0,0,1,0,1,,,99.0626,,,,D,,D,False
6242,afc163/array-tree-filter,array-tree-filter (npm),1,0,0,0,1,99.6453,,,,D,,,,D,False
6243,agentzh/echo-nginx-module,nginx:http-echo (cpp),0,0,0,1,1,,,,99.6233,,,,D,D,False
6244,agerasev/ringbuf,ringbuf (crates),0,0,1,0,1,,,99.1619,,,,D,,D,False
6245,agronholm/cbor2,cbor2 (pypi),0,1,0,0,1,,97.7934,,,,D,,,D,False
6246,agrueneberg/corser,corser (npm),1,0,0,0,1,97.4014,,,,D,,,,D,False
6247,aheckmann/mpath,mpath (npm),1,0,0,0,1,97.2795,,,,D,,,,D,False
6248,aheckmann/mquery,mquery (npm),1,0,0,0,1,97.415,,,,D,,,,D,False
6249,aheckmann/regexp-clone,regexp-clone (npm),1,0,0,0,1,99.8287,,,,D,,,,D,False
6250,aheckmann/sliced,sliced (npm),1,0,0,0,1,99.2992,,,,D,,,,D,False
6251,ahl/does-it-json,does-it-json (crates),0,0,1,0,1,,,99.1657,,,,D,,D,False
6252,ahmadnassri/node-glob-promise,glob-promise (npm),1,0,0,0,1,96.2252,,,,D,,,,D,False
6253,aikoven/assert-never,assert-never (npm),1,0,0,0,1,98.4572,,,,D,,,,D,False
6254,aio-libs/aiocache,aiocache (pypi),0,1,0,0,1,,99.413,,,,D,,,D,False
6255,aio-libs/aiohttp-cors,aiohttp-cors (pypi),0,1,0,0,1,,97.0412,,,,D,,,D,False
6256,aio-libs/aiokafka,aiokafka (pypi),0,1,0,0,1,,98.3718,,,,D,,,D,False
6257,aio-libs/aiomysql,aiomysql (pypi),0,1,0,0,1,,97.5298,,,,D,,,D,False
6258,aio-libs/aiorwlock,aiorwlock (pypi),0,1,0,0,1,,99.7996,,,,D,,,D,False
6259,aio-libs/pytest-aiohttp,pytest-aiohttp (pypi),0,1,0,0,1,,99.7032,,,,D,,,D,False
6260,aiortc/aioquic,aioquic (pypi),0,1,0,0,1,,99.9114,,,,D,,,D,False
6261,aiortc/pylsqpack,pylsqpack (pypi),0,1,0,0,1,,99.9146,,,,D,,,D,False
6262,airbnb/enzyme,enzyme (npm),1,0,0,0,1,97.9168,,,,D,,,,D,False
6263,airbnb/js-shims,airbnb-js-shims (npm),1,0,0,0,1,97.4231,,,,D,,,,D,False
6264,airbnb/lottie-web,lottie-web (npm),1,0,0,0,1,98.5334,,,,D,,,,D,False
6265,airbnb/prop-types,airbnb-prop-types (npm),1,0,0,0,1,97.852,,,,D,,,,D,True
6266,airbytehq/airbyte-api-python-sdk,airbyte-api (pypi),0,1,0,0,1,,98.4746,,,,D,,,D,False
6267,aisk/rust-ping,ping (crates),0,0,1,0,1,,,99.9794,,,,D,,D,False
6268,ajkaijanaho/dctrl-tools,dctrl-tools (cpp),0,0,0,1,1,,,,98.7815,,,,D,D,False
6269,ajv-validator/ajv-draft-04,ajv-draft-04 (npm),1,0,0,0,1,97.8285,,,,D,,,,D,False
6270,akamai/akamaiopen-edgegrid-python,edgegrid-python (pypi),0,1,0,0,1,,99.6849,,,,D,,,D,False
6271,akiran/can-use-dom,can-use-dom (npm),1,0,0,0,1,99.6872,,,,D,,,,D,False
