"package","ecosystem","github_repo","pagerank","value_class","top_eco","top_eco_pkg","top_eco_pct","repo_class","repo_packages","repo_ecosystems","is_eol"
"babel-plugin-transform-es2015-block-scoped-functions","npm","babel/babel","0.00002002","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-block-scoping","npm","babel/babel","0.00002070","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-classes","npm","babel/babel","0.00002037","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-computed-properties","npm","babel/babel","0.00002031","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-destructuring","npm","babel/babel","0.00002063","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-duplicate-keys","npm","babel/babel","0.00001982","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-for-of","npm","babel/babel","0.00002030","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-function-name","npm","babel/babel","0.00002059","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-literals","npm","babel/babel","0.00002028","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-modules-amd","npm","babel/babel","0.00002532","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-modules-commonjs","npm","babel/babel","0.00003389","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-modules-systemjs","npm","babel/babel","0.00001984","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-modules-umd","npm","babel/babel","0.00001970","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-object-super","npm","babel/babel","0.00002003","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-parameters","npm","babel/babel","0.00002066","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-shorthand-properties","npm","babel/babel","0.00002034","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-spread","npm","babel/babel","0.00002055","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-sticky-regex","npm","babel/babel","0.00002029","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-template-literals","npm","babel/babel","0.00002035","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-typeof-symbol","npm","babel/babel","0.00001991","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-es2015-unicode-regex","npm","babel/babel","0.00002029","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-exponentiation-operator","npm","babel/babel","0.00001702","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-object-rest-spread","npm","babel/babel","0.00002937","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-regenerator","npm","babel/babel","0.00002047","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-plugin-transform-strict-mode","npm","babel/babel","0.00003300","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-polyfill","npm","babel/babel","0.00002179","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-preset-es2015","npm","babel/babel","0.00000889","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","True"
"babel-register","npm","babel/babel","0.00002823","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-runtime","npm","babel/babel","0.00063703","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-template","npm","babel/babel","0.00011628","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-traverse","npm","babel/babel","0.00010090","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"babel-types","npm","babel/babel","0.00022991","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"six","pypi","benjaminp/six","0.01961374","A","pypi","six","91.0314","A","1","pypi","False"
"@types/accepts","npm","definitelytyped/definitelytyped","0.00003096","D","npm","@types/node","89.482","A","196","npm","False"
