repo,repo_id,total_commits,total_contributors,bus_factor,hhi,fetched_at
freetype/freetype,187000659,8525,231,1,3001,2026-04-27T23:50:34+00:00
frenic/csstype,104001328,380,14,1,8437,2026-04-27T23:50:36+00:00
frommi/miniz_oxide,96124162,527,58,2,3606,2026-04-27T23:50:38+00:00
fsevents/fsevents,1402936,277,43,3,1516,2026-04-27T23:50:41+00:00
fsspec/filesystem_spec,130727736,2536,315,36,648,2026-04-27T23:50:47+00:00
fsspec/s3fs,53987953,1098,156,15,820,2026-04-27T23:50:48+00:00
garycourt/uri-js,989080,89,13,1,5680,2026-04-27T23:50:50+00:00
gcc-mirror/gcc,22711503,228544,4158,183,56,2026-04-27T23:50:53+00:00
getsentry/sentry-javascript,3328572,13817,679,9,402,2026-04-27T23:50:56+00:00
giampaolo/psutil,20101515,6701,232,1,7561,2026-04-27T23:50:56+00:00
git/git,36502,80667,2417,6,1301,2026-04-27T23:51:01+00:00
gitlab-freedesktop-mirrors/libxcb,444023705,313,26,2,2863,2026-04-27T23:51:00+00:00
gitoxidelabs/gitoxide,136510559,15335,196,1,7130,2026-04-27T23:51:03+00:00
gitpython-developers/gitdb,1126093,445,38,1,4573,2026-04-27T23:51:04+00:00
gitpython-developers/smmap,1865144,240,21,1,3219,2026-04-27T23:51:08+00:00
gkz/levn,13287279,47,3,1,7614,2026-04-27T23:51:09+00:00
gkz/optionator,13435927,96,6,1,8217,2026-04-27T23:51:11+00:00
gkz/prelude-ls,4457759,228,12,1,6684,2026-04-27T23:51:14+00:00
gkz/type-check,13182168,51,4,1,6155,2026-04-27T23:51:16+00:00
gmp-mirror/gmp,681340775,18450,29,12,1630,2026-04-27T23:47:53+00:00
gnome/gdk-pixbuf,4533539,6530,844,158,165,2026-04-27T23:47:54+00:00
gnome/glib,4537082,32964,1835,12,550,2026-04-27T23:47:57+00:00
gnome/libxml2,4537118,7783,382,143,1380,2026-04-27T23:47:59+00:00
gnome/pango,4537144,6827,275,2,2018,2026-04-27T23:48:00+00:00
gnutls/gnutls,58873704,22348,259,1,3759,2026-04-27T23:48:02+00:00
gnutls/libtasn1,59017205,1693,28,1,3367,2026-04-27T23:48:01+00:00
gnutls/nettle,59017402,4850,73,1,8394,2026-04-27T23:48:03+00:00
google/brotli,24993138,1499,127,2,2427,2026-04-27T23:48:04+00:00
google/zerocopy,534354967,1655,74,2,2902,2026-04-27T23:48:06+00:00
googleapis/google-auth-library-python,69199387,1022,155,20,306,2026-05-03T16:23:46+00:00
googleapis/google-cloud-node-core,1052931509,5881,215,40,253,2026-05-03T16:23:42+00:00
googleapis/google-cloud-python,16316451,62901,1100,101,186,2026-05-17T23:35:37+00:00
googleapis/google-resumable-media-python,88091939,472,38,1,2715,2026-05-03T16:23:41+00:00
googleapis/python-api-core,226992456,571,85,15,327,2026-04-27T23:48:07+00:00
googleapis/python-crc32c,159736041,208,19,4,792,2026-05-03T16:23:39+00:00
googleapis/python-storage,226992639,1219,110,6,527,2026-05-03T16:23:41+00:00
googlechrome/workbox,55424670,1503,83,2,1986,2026-04-27T23:48:09+00:00
gozala/events,1649251,140,17,2,2825,2026-04-27T23:48:11+00:00
gpg/libgpg-error,42075984,1411,54,5,2226,2026-04-27T23:48:11+00:00
grahamdumpleton/wrapt,10357291,1245,37,1,8286,2026-04-27T23:48:13+00:00
graydon/exhaustigen-rs,432630522,1,1,1,10000,2026-04-27T23:48:14+00:00
