repo,repo_id,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile
dtolnay/thiserror,213836768,5230,4217,463,10.98,559,2.61,99,2025,6178,2860414,10.1086,64.33
dtolnay/trybuild,184941159,4318,3616,386,10.67,291,2.02,30,2025,5677,2191322,9.7148,62.61
dtolnay/unicode-ident,492639579,2494,2100,58,2.76,95,2.97,29,2025,6196,359368,6.7154,51.49
eemeli/yaml,119439276,21825,19102,2624,13.74,1881,1.35,130,2025,79920,209710080,16.7628,84.98
ehmicky/human-signals,214467546,535,482,3,0.62,4,0.19,1,2025,1197,3591,1.8534,23.62
eliben/pycparser,10589864,23263,13157,1735,13.19,2939,3.22,196,2025,1784,3095240,10.5338,66.17
emotion-js/emotion,92570536,30172,25572,1348,5.27,2145,1.32,231,2025,35251,47518348,14.2327,78.78
encode/httpcore,237210639,12969,10257,1079,10.52,762,1.14,18,2025,33298,35928542,13.7185,77.18
encode/httpx,179492861,17750,13656,1134,8.3,1093,0.96,49,2025,22064,25020576,13.2700,75.34
epoberezkin/fast-deep-equal,94483360,914,875,25,2.86,15,0.43,6,HEAD,0,0,0.0000,7.28
epoberezkin/fast-json-stable-stringify,108103016,235,196,23,11.73,30,0.97,23,HEAD,0,0,0.0000,7.28
epoberezkin/json-schema-traverse,93333933,389,328,24,7.32,34,1.31,30,2021,0,0,0.0000,7.28
es-shims/array-includes,28753032,263,209,9,4.31,15,0.42,12,2025,76,684,1.8865,23.97
es-shims/dunder-proto,898274312,153,104,23,22.12,5,0.33,2,2024,173,3979,3.0924,32.80
es-shims/es-object-atoms,773229339,69,48,6,12.5,5,0.5,3,2025,97,582,1.6828,22.48
es-shims/es-set-tostringtag,580683868,120,93,16,17.20,16,3.2,12,2025,170,2720,2.7476,31.19
es-shims/math-intrinsics,902014040,290,218,13,5.96,11,0.48,3,2024,325,4225,2.8805,31.88
es-shims/object.values,41723335,214,173,3,1.73,4,0.13,3,2025,25,75,0.8519,17.20
es-shims/regexp.prototype.flags,26932422,365,304,26,8.55,26,0.68,10,2025,528,13728,3.8983,37.50
es-shims/string.prototype.trimend,114682758,174,135,4,2.96,7,0.29,5,2024,38,152,1.1121,18.69
es-shims/string.prototype.trimstart,114682105,175,135,4,2.96,7,0.29,5,2024,36,144,1.0961,18.58
eslint-community/eslint-utils,568240379,6971,6111,378,6.19,539,2.66,148,2025,15357,5804946,10.7950,67.20
eslint/eslint,11061773,513641,442857,11339,2.56,15564,1.58,115,2025,1248171,14153010969,24.7180,96.22
eslint/js,27620277,303143,271372,9062,3.34,8641,2.75,249,2025,657260,5956090120,23.0224,94.95
eslint/rewrite,791446923,27274,20342,600,2.95,844,0.69,97,2025,46724,28034400,12.9761,74.43
estools/escodegen,3611422,133461,106271,16147,15.19,17006,3.76,578,2023,0,0,0.0000,7.28
estools/esquery,11412938,5795,4960,802,16.17,1319,4.24,145,2025,3584,2874368,10.3248,65.25
estools/esrecurse,27429822,574,442,29,6.56,39,0.89,27,2023,0,0,0.0000,7.28
estools/estraverse,6145439,7969,6318,1033,16.35,1410,4.15,64,2021,4,4132,2.1071,26.38
estools/esutils,14677293,1323,930,160,17.2,103,3.03,29,HEAD,0,0,0.0000,7.28
ethers-io/ethers.js,63465664,175077,120473,20962,17.4,11983,1.4,161,2025,374606,7852490972,24.0859,95.99
evanw/esbuild,61137153,191251,159501,19827,12.43,15089,2,284,2025,366067,7258010409,23.9082,95.76
evanw/node-source-map-support,7682781,1693,1428,123,8.61,1365,5.91,582,2022,426,52398,5.5066,44.72
eventualbuddha/lines-and-columns,47284288,180,150,14,9.33,0,0,0,2023,251,3514,2.8243,31.65
executablebooks/markdown-it-py,249956697,8419,5847,1010,17.27,1583,4.54,134,2025,8388,8471880,11.7898,70.30
executablebooks/mdurl,387293763,1412,1090,124,11.38,181,6.96,95,2025,4460,553040,7.6525,55.96
exodusoss/bytes,885154008,17268,13806,2036,14.75,2509,1.64,122,2025,43569,88706484,15.3510,82.34
expressjs/body-parser,15669006,3796,2992,103,3.44,154,0.33,13,2025,2790,287370,6.9502,52.64
