"package","github_repo","repo_url"
"document-register-element","WebReflection/document-register-element","https://github.com/WebReflection/document-register-element"
"jest-environment-jsdom-global","simon360/jest-environment-jsdom-global","https://github.com/simon360/jest-environment-jsdom-global"
"compressorjs","fengyuanchen/compressorjs","https://github.com/fengyuanchen/compressorjs"
"modelo","kevinconway/Modelo.js","https://github.com/kevinconway/Modelo.js"
"exeunt","joyent/node-exeunt","https://github.com/joyent/node-exeunt"
"rc-hammerjs","react-component/react-hammerjs","https://github.com/react-component/react-hammerjs"
"function.name","IonicaBizau/function.name","https://github.com/IonicaBizau/function.name"
"search-params","troch/search-params","https://github.com/troch/search-params"
"micro-spelling-correcter","",""
"react-scrolllock","jossmac/react-scrolllock","https://github.com/jossmac/react-scrolllock"
"broccoli-sri-hash","jonathanKingston/broccoli-sri-hash","https://github.com/jonathanKingston/broccoli-sri-hash"
"vue-inbrowser-compiler-utils","vue-styleguidist/vue-styleguidist","https://github.com/vue-styleguidist/vue-styleguidist"
"noop6","IonicaBizau/noop6","https://github.com/IonicaBizau/noop6"
"sqlite","kriasoft/node-sqlite","https://github.com/kriasoft/node-sqlite"
"groq-js","sanity-io/groq-js","https://github.com/sanity-io/groq-js"
"base32-encode","LinusU/base32-encode","https://github.com/LinusU/base32-encode"
"simple-git-hooks","toplenboren/simple-git-hooks","https://github.com/toplenboren/simple-git-hooks"
"lodash.unionby","lodash/lodash","https://github.com/lodash/lodash"
"unocss","unocss/unocss","https://github.com/unocss/unocss"
"ip6addr","joyent/node-ip6addr","https://github.com/joyent/node-ip6addr"
"opentelemetry-instrumentation-fetch-node","gas-buddy/opentelemetry-instrumentation-fetch-node","https://github.com/gas-buddy/opentelemetry-instrumentation-fetch-node"
"bootstrap.native","thednp/bootstrap.native","https://github.com/thednp/bootstrap.native"
"unicode","tdanecker/node-unicodetable","https://github.com/tdanecker/node-unicodetable"
"fx","antonmedv/fx","https://github.com/antonmedv/fx"
"vite-plugin-vuetify","vuetifyjs/vuetify-loader","https://github.com/vuetifyjs/vuetify-loader"
"pid-port","sindresorhus/pid-port","https://github.com/sindresorhus/pid-port"
"jsencrypt","travist/jsencrypt","https://github.com/travist/jsencrypt"
"node-gettext","alexanderwallin/node-gettext","https://github.com/alexanderwallin/node-gettext"
"moxios","mzabriskie/moxios","https://github.com/mzabriskie/moxios"
"migrate-mongo","seppevs/migrate-mongo","https://github.com/seppevs/migrate-mongo"
"file-contents","jonschlinkert/file-contents","https://github.com/jonschlinkert/file-contents"
"fmix","LinusU/fmix","https://github.com/LinusU/fmix"
"string.prototype.startswith","mathiasbynens/String.prototype.startsWith","https://github.com/mathiasbynens/String.prototype.startsWith"
"from2-array","binocarlos/from2-array","https://github.com/binocarlos/from2-array"
"gatsby-image","gatsbyjs/gatsby","https://github.com/gatsbyjs/gatsby"
"sw-precache","googlechrome/sw-precache","https://github.com/googlechrome/sw-precache"
"mailosaur","mailosaur/mailosaur-node","https://github.com/mailosaur/mailosaur-node"
"eslint-import-resolver-custom-alias","laysent/eslint-import-resolver-custom-alias","https://github.com/laysent/eslint-import-resolver-custom-alias"
"brotli-wasm","httptoolkit/brotli-wasm","https://github.com/httptoolkit/brotli-wasm"
"unist-util-map","syntax-tree/unist-util-map","https://github.com/syntax-tree/unist-util-map"
"uue","Mithgol/node-uue","https://github.com/Mithgol/node-uue"
"reactotron-react-native","infinitered/reactotron","https://github.com/infinitered/reactotron/tree/master/lib/reactotron-react-native"
"eslint-formatter-friendly","royriojas/eslint-friendly-formatter","https://github.com/royriojas/eslint-friendly-formatter"
"version-guard","voxpelli/version-guard","https://github.com/voxpelli/version-guard"
"read-file-stdin","ianstormtaylor/read-file-stdin","https://github.com/ianstormtaylor/read-file-stdin"
"native-fetch","achingbrain/native-fetch","https://github.com/achingbrain/native-fetch"
"quasar","quasarframework/quasar","https://github.com/quasarframework/quasar"
"caf","getify/caf","https://github.com/getify/caf"
"get-paths","niftylettuce/get-paths","https://github.com/niftylettuce/get-paths"
"is-shallow-equal","vesparny/is-shallow-equal","https://github.com/vesparny/is-shallow-equal"
"pngjs-nozlib","lukeapage/pngjs2","https://github.com/lukeapage/pngjs2"
"ytdl-core","fent/node-ytdl-core","https://github.com/fent/node-ytdl-core"
"promise.any","es-shims/Promise.any","https://github.com/es-shims/Promise.any"
"gather-stream","natevw/gather-stream","https://github.com/natevw/gather-stream"
"get-monorepo-packages","azz/get-monorepo-packages","https://github.com/azz/get-monorepo-packages"
"snyk-docker-plugin","snyk/snyk-docker-plugin","https://github.com/snyk/snyk-docker-plugin"
"microtime","wadey/node-microtime","https://github.com/wadey/node-microtime"
"accord","jenius/accord","https://github.com/jenius/accord"
"react-google-autocomplete","ErrorPro/react-google-autocomplete","https://github.com/ErrorPro/react-google-autocomplete"
"base32","agnoster/base32-js","https://github.com/agnoster/base32-js"
"wouter","molefrog/wouter","https://github.com/molefrog/wouter"
"reactjs-popup","yjose/reactjs-popup","https://github.com/yjose/reactjs-popup"
"fwd-stream","mafintosh/fwd-stream","https://github.com/mafintosh/fwd-stream"
"devextreme-angular","DevExpress/DevExtreme","https://github.com/DevExpress/DevExtreme"
"snyk-gradle-plugin","snyk/snyk-gradle-plugin","https://github.com/snyk/snyk-gradle-plugin"
"folder-walker","karissa/folder-walker","https://github.com/karissa/folder-walker"
"didyoumean2","foray1010/didyoumean2","https://github.com/foray1010/didyoumean2"
