"package","avg_downloads","avg_downloads_share","2021","2022","2023","2024","2025"
"num-conv","40963105","0.00098064","0","0","76","56587706","148227743"
"home","40946338","0.00098024","2286864","6008154","19668141","60092347","116676186"
"is-terminal","40804770","0.00097685","0","1438470","40246639","60499315","101839428"
"der","40291681","0.00096457","1486352","7241694","21431148","51094113","120205098"
"sct","40191908","0.00096218","8553406","21426502","40178538","56880955","73920141"
"num-rational","39966296","0.00095678","10054709","16313228","28322528","47699384","97441635"
"hyper-tls","39903416","0.00095527","10727779","17183332","24056964","48105858","99443150"
"opaque-debug","39574457","0.00094740","22579125","30122597","32061165","43905201","69204199"
"core-foundation-sys","38957730","0.00093263","6805865","12289353","26498991","50687667","98506774"
"matchit","38768440","0.00092810","57968","5991387","22239322","48148906","117404621"
"is_terminal_polyfill","38505667","0.00092181","0","0","0","42744943","149783392"
"native-tls","38462728","0.00092078","10743801","18714632","26511326","47193802","89150083"
"windows_i686_gnullvm","38406490","0.00091944","0","0","0","39298958","152733496"
"dashmap","38305565","0.00091702","5279884","11189531","25183968","47409509","102464935"
"winapi-util","38147869","0.00091324","8199246","15338516","27617275","49650051","89934261"
"signature","38126878","0.00091274","3456571","7995208","22015938","52102723","105063950"
"async-channel","38063537","0.00091123","4970080","9143880","19083098","49152731","107967896"
"rustls-pki-types","37954510","0.00090862","0","0","219376","45751266","143801912"
"spki","37941282","0.00090830","946474","6250941","20084889","49142183","113281923"
"serde_yaml","37804252","0.00090502","6524726","12715712","22709206","44091993","102979627"
"tonic","37786443","0.00090459","3011054","8813147","21408488","51292433","104407094"
"bit-vec","37557166","0.00089910","5556770","9699350","19772360","47872089","104885265"
"unicase","37504110","0.00089783","10491725","14854332","24897737","47586598","89690160"
"quick-xml","37464438","0.00089688","2993015","6382479","17026313","40670851","120249535"
"filetime","37384348","0.00089497","7432865","12975276","26754507","46872511","92886585"
"atomic-waker","37167656","0.00088978","3882186","5882833","13173323","40871800","122028138"
"num-complex","37117848","0.00088859","8448946","13377218","23039725","46082759","94640592"
"quick-error","37091877","0.00088796","15083252","20881370","25792659","37633188","86068918"
"web-sys","37036797","0.00088665","7662574","13493030","25546102","47134585","91347695"
"zstd-sys","37008734","0.00088597","3505934","14162546","24505095","46388717","96481378"
