"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"exiftool","","","","","","",""
"exim","","","","","","",""
"exiv2","https://github.com/exiv2/exiv2.git","","","","","",""
"exo","","https://salsa.debian.org/xfce-team/desktop/exo.git","","","","","git"
"expat","https://github.com/libexpat/libexpat.git","","","","","",""
"extra-cmake-modules","","","","","","https://invent.kde.org/frameworks/extra-cmake-modules",""
"faac","https://github.com/knik0/faac.git","","","","","",""
"faad2","https://github.com/knik0/faad2.git","","","","","",""
"fakeroot","","https://salsa.debian.org/clint/fakeroot.git","","","","","git"
"fastfetch","https://github.com/fastfetch-cli/fastfetch.git","","","","","",""
"fastlane","https://github.com/fastlane/fastlane.git","","","","","",""
"fb303","https://github.com/facebook/fb303.git","","","","","",""
"fbthrift","https://github.com/facebook/fbthrift.git","","","","","",""
"fdk-aac","https://github.com/mstorsjo/fdk-aac.git","","","","","","git,github"
"ffcall","","https://salsa.debian.org/common-lisp-team/ffcall.git","","","","","git"
"ffmpeg","https://github.com/ffmpeg/ffmpeg.git","","","","","",""
"ffmpegthumbnailer","https://github.com/dirkvdb/ffmpegthumbnailer.git","","","","","",""
"ffms2","https://github.com/ffms/ffms2.git","","","","","",""
"fftw","","","","","","",""
"file","https://github.com/file/file.git","","","","","",""
"file-roller","","https://salsa.debian.org/gnome-team/file-roller.git","","","","","git"
"findutils","","","","","","https://git.savannah.gnu.org/cgit/findutils.git",""
"firebird","","","","","","",""
"fizz","https://github.com/facebookincubator/fizz.git","","","","","",""
"flac","https://github.com/xiph/flac.git","","","","","",""
"flashrom","","https://salsa.debian.org/myczko-guest/flashrom.git","","","","","git"
"flatpak","","https://salsa.debian.org/debian/flatpak.git","","","","","git"
"flex","https://github.com/westes/flex.git","","","","","",""
"flite","","https://salsa.debian.org/a11y-team/flite.git","","","","","git"
"fluidsynth","https://github.com/fluidsynth/fluidsynth.git","","","","","",""
"fmt","https://github.com/fmtlib/fmt.git","","","","","",""
"folks","","https://salsa.debian.org/gnome-team/folks.git","","","","","git"
"folly","https://github.com/facebook/folly.git","","","","","",""
"fontconfig","","https://gitlab.freedesktop.org/fontconfig/fontconfig.git","","","","",""
"foo2zjs","","https://salsa.debian.org/printing-team/foo2zjs.git","","","","","git"
"frameworkintegration","","","","","","https://invent.kde.org/frameworks/frameworkintegration",""
"freeglut","https://github.com/freeglut/freeglut.git","","","","","",""
"freerdp","https://github.com/freerdp/freerdp.git","","","","","",""
"freetds","","","","","","",""
"freetype","","","","","","",""
"freexl","","https://salsa.debian.org/debian-gis-team/freexl.git","","","","","git"
"frei0r","https://github.com/dyne/frei0r.git","","","","","",""
"fribidi","https://github.com/fribidi/fribidi.git","","","","","",""
"fstrm","https://github.com/farsightsec/fstrm.git","","","","","",""
"fusefs:sshfs","https://github.com/libfuse/sshfs.git","","","","","",""
"fyba","https://github.com/kartverket/fyba.git","","","","","",""
"game-music-emu","https://github.com/libgme/game-music-emu.git","","","","","",""
"garcon","","https://salsa.debian.org/xfce-team/desktop/garcon.git","","","","","git"
"gawk","","","","","","",""
"gcab","","https://salsa.debian.org/debian/gcab.git","","","","","git"
"gcc","","","","","","",""
"gcc-defaults","","https://salsa.debian.org/toolchain-team/gcc-defaults.git","","","","","git"
"gcr","","https://salsa.debian.org/gnome-team/gcr.git","","","","","git"
"gd","https://github.com/libgd/libgd.git","","","","","",""
"gdal","https://github.com/osgeo/gdal.git","","","","","",""
"gdb","","https://salsa.debian.org/gdb-team/gdb.git","","","","","git"
"gdbm","","","","","","https://git.gnu.org.ua/gdbm.git",""
"gdcm","","https://salsa.debian.org/med-team/gdcm.git","","","","","git"
"gdk-pixbuf","","https://gitlab.gnome.org/gnome/gdk-pixbuf.git","","","","",""
"gdk-pixbuf-xlib","","https://salsa.debian.org/gnome-team/gdk-pixbuf-xlib.git","","","","","git"
"gdm-gnome-display-manager","","","","","","",""
"gedit","","https://gitlab.gnome.org/world/gedit/gedit.git","","","","",""
"gegl","","https://salsa.debian.org/gnome-team/gegl.git","","","","","git"
"geoclue","","https://gitlab.freedesktop.org/geoclue/geoclue/wikis/home.git","","","","",""
"geocode-glib","","https://salsa.debian.org/gnome-team/geocode-glib.git","","","","","git"
"geoip","","","","","","",""
"geos","","","","","","https://git.osgeo.org/gitea/geos/geos.git",""
"gettext","","","","","","",""
"gexiv2","","https://salsa.debian.org/gnome-team/gexiv2.git","","","","","git"
"gflags","https://github.com/gflags/gflags.git","","","","","",""
