"project","github_repo","debian_sources","homebrew_formulas","debian_avg_downloads","homebrew_avg_downloads","downloads_score","is_cpp","is_oss_fuzz"
"libmediaart","","libmediaart","","62773","0","87254","True","False"
"file-roller","","file-roller","","62629","0","87054","True","False"
"gnome-control-center","","gnome-control-center","","62535","0","86923","True","False"
"debian:libavformat58","","libavformat58","","62380","0","86708","True","False"
"gdb","","gdb","gdb","25866","50657","86610","True","False"
"wireless-tools","","wireless-tools","","62225","0","86492","True","False"
"fastfetch","fastfetch-cli/fastfetch","","fastfetch","0","86420","86420","True","False"
"libiptcdata","ianw/libiptcdata","libiptcdata","","62066","0","86271","True","False"
"gnome-user-share","","gnome-user-share","","61916","0","86063","True","False"
"mvfst","facebook/mvfst","","mvfst","0","86003","86003","True","False"
"liblouisutdml","","liblouisutdml","","61622","0","85654","True","False"
"exim","","exim4","","61569","0","85580","True","False"
"ethtool","","ethtool","","61417","0","85369","True","False"
"debian:libswscale5","","libswscale5","","61279","0","85177","True","False"
"gssdp","","gssdp","","61171","0","85027","True","False"
"gupnp","","gupnp","","61167","0","85022","True","False"
"libgeotiff","OSGeo/libgeotiff","libgeotiff","libgeotiff","20577","56263","84865","True","False"
"grilo","","grilo","","61000","0","84790","True","False"
"jigit","","jigit","","60991","0","84777","True","False"
"libgnomekbd","","libgnomekbd","","60799","0","84510","True","False"
"totem","","totem","","60741","0","84429","True","False"
"swiftformat","nicklockwood/SwiftFormat","","swiftformat","0","84357","84357","True","False"
"hicolor-icon-theme","","hicolor-icon-theme","hicolor-icon-theme","0","84232","84232","True","False"
"libcddb","","libcddb","","60542","0","84153","True","False"
"libphonenumber","googlei18n/libphonenumber","libphonenumber","","60529","0","84135","True","False"
"mutter","","mutter","","60497","0","84090","True","False"
"geos","","geos","geos","5627","76246","84067","True","False"
"libraqm","HOST-Oman/libraqm","raqm","libraqm","28855","43673","83781","True","False"
"pyenv-virtualenv","pyenv/pyenv-virtualenv","","pyenv-virtualenv","0","83753","83753","True","False"
"debian:libpostproc55","","libpostproc55","","60251","0","83748","True","False"
"debian:libncursesw5","","libncursesw5","","59885","0","83240","True","False"
"libcue","lipnitsk/libcue","libcue","","59885","0","83240","True","True"
"brasero","","brasero","","59801","0","83123","True","False"
"gnome-session","","gnome-session","","59752","0","83055","True","False"
"ipython","","","ipython","0","83029","83029","True","False"
"nautilus","","nautilus","","59519","0","82731","True","False"
"grilo-plugins","","grilo-plugins","","59513","0","82723","True","False"
"debian:libpython2.7","","libpython2.7","","59406","0","82574","True","False"
"pigz","","pigz","pigz","51435","10901","82395","True","False"
"libgpod","","libgpod","","59261","0","82372","True","False"
"gnome-autoar","","gnome-autoar","","59228","0","82326","True","False"
"xnnpack","google/XNNPACK","xnnpack","","59152","0","82221","True","True"
"python:pyqt","","","pyqt|pyqt@5","0","81996","81996","True","False"
"docbook","","","docbook","0","81968","81968","True","False"
"vlc","","vlc","","58848","0","81798","True","False"
"rpcbind","","rpcbind","","58826","0","81768","True","False"
"debian:libavfilter7","","libavfilter7","","58722","0","81623","True","False"
"libjcat","hughsie/libjcat","libjcat","","58669","0","81549","True","False"
"libsidplay","","sidplay-libs","","58578","0","81423","True","False"
"rabbitmq-server","rabbitmq/rabbitmq-server","","rabbitmq","0","80962","80962","True","False"
"flashrom","","flashrom","","58153","0","80832","True","False"
"debian:libcomerr2","","libcomerr2","","58117","0","80782","True","False"
"hello","","","hello","0","80754","80754","True","False"
"libofa","tanob/libofa","libofa","","57990","0","80606","True","False"
"gnome-shell","","gnome-shell","","57907","0","80490","True","False"
"gcab","","gcab","","57843","0","80401","True","False"
"docbook-xsl","docbook/xslt10-stylesheets","docbook-xsl","docbook-xsl","0","80145","80145","True","False"
"llama.cpp","ggml-org/llama","","llama.cpp","0","79971","79971","True","False"
"eog","","eog","","57472","0","79886","True","False"
"nfs-utils","","nfs-utils","","57455","0","79862","True","False"
"gdm-gnome-display-manager","","gdm3","","57444","0","79847","True","False"
"clutter-gst","","clutter-gst-3.0","","57379","0","79756","True","False"
"shotwell","","shotwell","","57342","0","79705","True","False"
"libnatpmp","","libnatpmp","","57334","0","79694","True","False"
"libxmlb","hughsie/libxmlb","libxmlb","libxmlb","49823","10382","79635","True","False"
"gegl","","gegl","","56950","0","79160","True","False"
"libdvbpsi","","libdvbpsi","","56626","0","78710","True","False"
"tinysparql","","tinysparql","","56571","0","78633","True","False"
"cheese","","cheese","","56408","0","78407","True","False"
"uriparser","uriparser/uriparser","uriparser","uriparser","38480","24201","77688","True","True"
"debian:libgdbm3","","libgdbm3","","55774","0","77525","True","False"
"httpie","httpie/cli","","httpie","0","77298","77298","True","False"
"folks","","folks","","55522","0","77175","True","False"
"debian:libswresample4","","libswresample4","","55507","0","77154","True","False"
"evolution","","evolution","","55243","0","76787","True","False"
"malcontent-parental-controls","","malcontent","","55113","0","76607","True","False"
"bogofilter","","bogofilter","","54888","0","76294","True","False"
"ytnef","Yeraze/ytnef","libytnef","","54859","0","76254","True","False"
"ostree","ostreedev/ostree","ostree","","54661","0","75978","True","True"
"gedit","","gedit","gedit","44965","13216","75717","True","False"
"ncdu","","ncdu","ncdu","17603","51062","75530","True","False"
"gmmlib","intel/gmmlib","intel-gmmlib","","54164","0","75287","True","False"
"sdl-image","","sdl-image1.2","","54155","0","75275","True","False"
"dee","","dee","","54154","0","75274","True","False"
"debian:libntfs-3g883","","libntfs-3g883","","54006","0","75068","True","False"
"webkitgtk","","webkit2gtk","","53986","0","75040","True","False"
"gnome-contacts","","gnome-contacts","","53831","0","74825","True","False"
"tpm2-tss","tpm2-software/tpm2-tss","tpm2-tss","","53802","0","74784","True","False"
"libopenmpt-modplug","","libopenmpt-modplug","","53722","0","74673","True","False"
"rhythmbox","","rhythmbox","","53714","0","74662","True","False"
"libdecor-0","","libdecor-0","","53666","0","74595","True","False"
"gnome-menus","","gnome-menus","","53665","0","74594","True","False"
"debian:libavresample4","","libavresample4","","53474","0","74328","True","False"
"debian:libavutil57","","libavutil57","","53294","0","74078","True","False"
"localsearch","","tracker-miners","","53243","0","74007","True","False"
"rdma-core","linux-rdma/rdma-core","rdma-core","","53217","0","73971","True","False"
"gsound","","gsound","","52619","0","73140","True","False"
"libmypaint","mypaint/libmypaint","libmypaint","","52451","0","72906","True","False"
"gucharmap","","gucharmap","","52443","0","72895","True","False"
"libntlm","","libntlm","","52247","0","72623","True","False"
"gom","","libgom","","52146","0","72482","True","False"
"hoichess","","hoichess","","51930","0","72182","True","False"
"debian:libcroco3","","libcroco3","","51551","0","71655","True","False"
"debian:libavcodec59","","libavcodec59","","51458","0","71526","True","False"
"libxnvctrl","","libxnvctrl","","51452","0","71518","True","False"
"libgnome-games-support","","libgnome-games-support1","","51431","0","71489","True","False"
"hitori","","hitori","","51108","0","71040","True","False"
"lzip","","lzip","lzip","14341","50795","70728","True","False"
"flatpak","","flatpak","","50730","0","70514","True","False"
"libqrtr-glib","","libqrtr-glib","","50584","0","70311","True","False"
"debian:libswscale6","","libswscale6","","50402","0","70058","True","False"
"qqwing","","qqwing","","50368","0","70011","True","False"
"meta-gnome3","","meta-gnome3","","50220","0","69805","True","False"
"exiftool","","","exiftool","0","69726","69726","True","False"
"debian:libavformat59","","libavformat59","","49978","0","69469","True","False"
"rpcsvc-proto","thkukuk/rpcsvc-proto","rpcsvc-proto","","49971","0","69459","True","False"
"adwaita-icon-theme","","adwaita-icon-theme","adwaita-icon-theme","0","69056","69056","True","False"
"libldac","","libldac","","49620","0","68971","True","False"
"gstreamer:editing-services","","gstreamer-editing-services1.0","","49519","0","68831","True","False"
"mailx-unclassified","","bsd-mailx","","49488","0","68788","True","False"
"libebml","","libebml","libebml","44793","6385","68647","True","False"
"vips","libvips/libvips","","vips","0","68640","68640","True","True"
"liblrdf","swh/LRDF","liblrdf","","49305","0","68533","True","False"
"debian:libpostproc56","","libpostproc56","","49197","0","68383","True","False"
"powertop","fenrus75/powertop","powertop","","49076","0","68215","True","False"
"ann","","ann","","49040","0","68165","True","False"
"libmatroska","","libmatroska","libmatroska","44787","5894","68147","True","False"
"libfreeaptx","iamthehorker/libfreeaptx","libfreeaptx","","48905","0","67977","True","False"
"debian:libavfilter8","","libavfilter8","","48791","0","67819","True","False"
"libvirt","","libvirt","libvirt","20418","39355","67736","True","False"
"parallel","","","parallel","0","67410","67410","True","False"
"libimobiledevice","libimobiledevice/libimobiledevice","libimobiledevice","libimobiledevice","14182","47463","67175","True","False"
"libmusicbrainz","","libmusicbrainz5","","48171","0","66957","True","False"
"swiftgen","SwiftGen/SwiftGen","","swiftgen","0","66615","66615","True","False"
"debian:libnetpbm10","","libnetpbm10","","47832","0","66486","True","False"
"libimobiledevice-glue","libimobiledevice/libimobiledevice-glue","libimobiledevice-glue","libimobiledevice-glue","35078","17482","66240","True","False"
"libpst","","libpst","","47368","0","65841","True","False"
"jenv","jenv/jenv","","jenv","0","65775","65775","True","False"
"gdk-pixbuf-xlib","","gdk-pixbuf-xlib","","47286","0","65727","True","False"
"freexl","","freexl","freexl","25730","29908","65672","True","False"
"xmlto","","","xmlto","0","65496","65496","True","False"
"http-parser","joyent/http-parser","http-parser","","46488","0","64618","True","False"
"iperf3","esnet/iperf","iperf3","iperf3","10544","49914","64570","True","True"
"lightdm","","lightdm","","46336","0","64407","True","False"
"box2d","","box2d","","46336","0","64407","True","False"
"libmspack","","libmspack","","46328","0","64395","True","False"
"editorconfig-core-unclassified","","editorconfig-core","","46149","0","64147","True","False"
"debian:libreadline5","","libreadline5","","46100","0","64078","True","False"
"qhull","","qhull","qhull","22361","32729","63810","True","False"
"libid3tag","","libid3tag","","45865","0","63752","True","False"
"colord-gtk","","colord-gtk","","45816","0","63684","True","False"
"usbredir","","usbredir","usbredir","38690","9546","63325","True","False"
"libunity","","libunity","","45379","0","63076","True","False"
"aria2","aria2/aria2","","aria2","0","62538","62538","True","False"
"liburing","axboe/liburing","liburing","","44928","0","62449","True","False"
"certbot","","","certbot","0","62442","62442","True","False"
"debian:libnautilus-extension1a","","libnautilus-extension1a","","44908","0","62422","True","False"
"flex","westes/flex","flex","flex","28079","22756","61785","True","True"
"xctesthtmlreport","XCTestHTMLReport/XCTestHTMLReport","","xctesthtmlreport","0","61481","61481","True","False"
"r","","","r","0","61478","61478","True","False"
"librttopo","","librttopo","librttopo","20589","32799","61417","True","False"
"debian:libx264-160","","libx264-160","","44133","0","61344","True","False"
"gtk-vnc","","gtk-vnc","gtk-vnc","37083","9720","61265","True","False"
"utfcpp","nemtrif/utfcpp","utfcpp","utf8cpp","393","60420","60966","True","False"
"nasm","","","nasm","0","60871","60871","True","False"
"pv","","pv","pv","17900","35864","60745","True","False"
"libadwaita-1","","libadwaita-1","","43697","0","60738","True","False"
"imlib2","","imlib2","imlib2","26614","23105","60098","True","False"
"perl:b-hooks-op-check","","libb-hooks-op-check-perl","","43166","0","60000","True","False"
"w3m","","w3m","","43147","0","59974","True","False"
"libcloudproviders","","libcloudproviders","","43129","0","59949","True","False"
"librdkafka","confluentinc/librdkafka","librdkafka","librdkafka","3896","54354","59769","True","False"
"python:tk","","","python-tk@3.10|python-tk@3.11|python-tk@3.12|python-tk@3.13|python-tk@3.14|python-tk@3.9","0","59768","59768","True","False"
"kcoreaddons","","kcoreaddons|kf6-kcoreaddons","","42719","0","59379","True","False"
"libplist","libimobiledevice/libplist","libplist","libplist","14427","39268","59321","True","True"
"libspatialite","","spatialite","libspatialite","5339","51893","59314","True","False"
"kwindowsystem","","kf6-kwindowsystem|kwindowsystem","","42656","0","59291","True","False"
"libspatialaudio","videolabs/libspatialaudio","libspatialaudio","","42591","0","59201","True","False"
"polkit-qt-1","","polkit-qt-1","","42530","0","59116","True","False"
"kwidgetsaddons","","kf6-kwidgetsaddons|kwidgetsaddons","","42490","0","59061","True","False"
"libusbmuxd","libimobiledevice/libusbmuxd","libusbmuxd","libusbmuxd","14280","39206","59055","True","False"
"luajit-openresty","openresty/luajit2","","luajit-openresty","0","58689","58689","True","False"
"tcpdump","","tcpdump","","42155","0","58595","True","False"
"openconnect","","openconnect","openconnect","26376","21919","58581","True","False"
"zsh-syntax-highlighting","zsh-users/zsh-syntax-highlighting","","zsh-syntax-highlighting","0","58409","58409","True","False"
"kguiaddons","","kf6-kguiaddons|kguiaddons","","41996","0","58374","True","False"
"kconfig","","kconfig|kf6-kconfig","","41908","0","58252","True","False"
"kitemviews","","kf6-kitemviews|kitemviews","","41860","0","58185","True","False"
"autogen","","autogen","","41854","0","58177","True","False"
"libwpe","","libwpe","","41849","0","58170","True","False"
"wpebackend-fdo","","wpebackend-fdo","","41829","0","58142","True","False"
"ki18n","","kf6-ki18n|ki18n","","41723","0","57994","True","False"
"augeas","hercules-team/augeas","augeas","augeas","23745","24971","57976","True","True"
"kwayland","","kwayland|kwayland-kf5","","41657","0","57903","True","False"
"libdbusmenu-qt","","libdbusmenu-qt","","41631","0","57867","True","False"
"node-build","nodenv/node-build","","node-build","0","57793","57793","True","False"
"pkcs11-helper","OpenSC/pkcs11-helper","pkcs11-helper","pkcs11-helper","22868","25776","57562","True","True"
"karchive","","karchive|kf6-karchive","","41353","0","57480","True","False"
"perl:sub-identify","","libsub-identify-perl","","41322","0","57437","True","False"
"perl:variable-magic","","libvariable-magic-perl","","41293","0","57397","True","False"
"kcrash","","kcrash|kf6-kcrash","","41229","0","57308","True","False"
"debian:policykit-1-gnome","","policykit-1-gnome","","41150","0","57198","True","False"
"debian:libgl1-mesa-glx","","libgl1-mesa-glx","","41055","0","57066","True","False"
"kcompletion","","kcompletion|kf6-kcompletion","","40990","0","56976","True","False"
"libvncserver","","libvncserver","","40984","0","56967","True","False"
"libchamplain","","libchamplain","","40963","0","56938","True","False"
"kauth","","kauth|kf6-kauth","","40857","0","56791","True","False"
"pavucontrol","","pavucontrol","","40843","0","56771","True","False"
"taglib","","taglib","taglib","13264","38324","56760","True","False"
"kcodecs","","kcodecs|kf6-kcodecs","","40830","0","56753","True","False"
"kconfigwidgets","","kconfigwidgets|kf6-kconfigwidgets","","40826","0","56748","True","False"
"cask","cask/cask","","cask","0","56673","56673","True","False"
"keybinder","engla/keybinder","keybinder-3.0","","40767","0","56666","True","False"
"perl:class-xsaccessor","","libclass-xsaccessor-perl","","40750","0","56642","True","False"
"kiconthemes","","kf6-kiconthemes|kiconthemes","","40630","0","56475","True","False"
"wtmpdb","thkukuk/wtmpdb","wtmpdb","","40579","0","56404","True","False"
"kdbusaddons","","kdbusaddons|kf6-kdbusaddons","","40549","0","56363","True","False"
"perl:package-stash-xs","","libpackage-stash-xs-perl","","40532","0","56339","True","False"
"sysstat","","sysstat","","40464","0","56244","True","False"
"debian:libsnmp30","","libsnmp30","","40445","0","56218","True","False"
"knotifications","","kf6-knotifications|knotifications","","40430","0","56197","True","False"
"kwallet","","kf6-kwallet|kwallet-kf5","","40333","0","56062","True","False"
"solid-hardware-abstraction","","solid","","40313","0","56035","True","False"
"debian:libpolkit-backend-1-0","","libpolkit-backend-1-0","","40307","0","56026","True","False"
"kservice","","kf6-kservice|kservice","","40300","0","56016","True","False"
"caribou","","caribou","","40239","0","55932","True","False"
"debian:ntp","","ntp","","40138","0","55791","True","False"
"sonnet","","kf6-sonnet|sonnet","","40134","0","55786","True","False"
"fusefs:sshfs","libfuse/sshfs","sshfs-fuse","","40060","0","55683","True","False"
"spice-gtk","","spice-gtk","spice-gtk","31142","12379","55666","True","False"
"ktextwidgets","","kf6-ktextwidgets|ktextwidgets","","40027","0","55637","True","False"
"psutils-postscript-rrthomas","rrthomas/psutils","psutils","psutils","16825","32067","55453","True","False"
"debian:libmpfr4","","libmpfr4","","39871","0","55420","True","False"
"btop","aristocratos/btop","","btop","0","55350","55350","True","False"
"kglobalaccel","","kf6-kglobalaccel|kglobalaccel","","39810","0","55335","True","False"
"kxmlgui","","kf6-kxmlgui|kxmlgui","","39789","0","55306","True","False"
"kjobwidgets","","kf6-kjobwidgets|kjobwidgets","","39767","0","55276","True","False"
"potrace","","potrace","potrace","34872","6759","55231","True","False"
"kio","","kf6-kio|kio","","39733","0","55228","True","False"
"mercurial","","","mercurial","0","55200","55200","True","False"
"libev","","libev","libev","14309","35286","55175","True","False"
"at","","at","","39669","0","55139","True","False"
"sdl2-image","libsdl-org/SDL_image","libsdl2-image","sdl2_image","10027","41152","55089","True","False"
"terminal-notifier","julienXX/terminal-notifier","","terminal-notifier","0","55071","55071","True","False"
"intel-processor-trace","intel/libipt","intel-processor-trace","","39576","0","55010","True","False"
"qpdf","qpdf/qpdf","qpdf","qpdf","11792","37977","54367","True","True"
"debian:libopenexr25","","libopenexr25","","38963","0","54158","True","False"
"mutt","","mutt","","38958","0","54151","True","False"
"acpid","","acpid","","38795","0","53925","True","False"
"putty","","","putty","0","53919","53919","True","False"
"appstream-glib","hughsie/appstream-glib","appstream-glib","","38745","0","53855","True","False"
"apache-thrift","","","thrift","0","53749","53749","True","False"
"glew","","glew","glew","10294","39388","53696","True","False"
"libvoikko","","libvoikko","","38624","0","53687","True","False"
"libxpresent","","libxpresent","","38485","0","53494","True","False"
"neon","","neon27","","38219","0","53124","True","False"
"insserv","slicer69/insserv","insserv","","38158","0","53039","True","False"
"openvpn","","","openvpn","0","52891","52891","True","False"
"kdoctools","","kdoctools|kf6-kdoctools","","37979","0","52790","True","False"
"perl:json-xs","","libjson-xs-perl","","37973","0","52782","True","False"
"ceph","","ceph","","37945","0","52743","True","False"
"libgweather","","libgweather4","","37918","0","52706","True","False"
"debian:mlocate","","mlocate","","37835","0","52590","True","False"
"sox","","sox","sox","22154","21711","52505","True","False"
"qtchooser","","qtchooser","","37737","0","52454","True","False"
"zix","","zix","","37663","0","52351","True","False"
"libjaylink","","libjaylink","","37660","0","52347","True","False"
"tokyocabinet","","tokyocabinet","","37654","0","52339","True","False"
"gpgmepp","","","gpgmepp","0","52080","52080","True","False"
"freerdp","FreeRDP/FreeRDP","freerdp3","freerdp","22290","21005","51988","True","True"
"libcacard","","libcacard","","36986","0","51410","True","False"
"acpi-support","","acpi-support","","36882","0","51265","True","False"
"debian:python-talloc","","python-talloc","","36785","0","51131","True","False"
"zsh-autosuggestions","zsh-users/zsh-autosuggestions","","zsh-autosuggestions","0","50938","50938","True","False"
"debian:libldb1","","libldb1","","36640","0","50929","True","False"
"xfconf","","xfconf","","36612","0","50890","True","False"
"cfn-lint","aws-cloudformation/cfn-lint","","cfn-lint","0","50713","50713","True","False"
"libgit2-glib","","libgit2-glib","","36476","0","50701","True","False"
"debian:libgsasl7","","libgsasl7","","36158","0","50259","True","False"
"gnome-bluetooth","","gnome-bluetooth3","","36117","0","50202","True","False"
"libu2f-host","","libu2f-host","","36110","0","50192","True","False"
"attica","","attica-kf5|kf6-attica","","36053","0","50113","True","False"
"kbookmarks","","kbookmarks|kf6-kbookmarks","","35954","0","49976","True","False"
"libxfce4util","","libxfce4util","","35951","0","49971","True","False"
"lcov","linux-test-project/lcov","","lcov","0","49842","49842","True","False"
"xcb-util-cursor","","xcb-util-cursor","","35744","0","49684","True","False"
"libquvi-scripts","","libquvi-scripts","","35732","0","49667","True","False"
"discount","","discount","","35677","0","49591","True","False"
"rygel","","rygel","","35604","0","49489","True","False"
"glusterfs","","glusterfs","","35478","0","49314","True","False"
"dos2unix","","dos2unix","dos2unix","9495","36049","49247","True","False"
"libkml","libkml/libkml","libkml","libkml","21435","19437","49231","True","False"
"mas-mac-app-store","mas-cli/mas","","mas","0","49090","49090","True","False"
"hplip","","hplip","","35178","0","48897","True","False"
"sdl2-ttf","libsdl-org/SDL_ttf","sdl-ttf2.0","sdl2_ttf","16052","26418","48730","True","False"
"ceres-solver","","","ceres-solver","0","48706","48706","True","False"
"qr-code-generator","nayuki/QR-Code-generator","qr-code-generator","","34943","0","48570","True","False"
"blake3","BLAKE3-team/BLAKE3","","blake3","0","48358","48358","True","False"
"time","","time","","34785","0","48351","True","False"
"gupnp-igd","","gupnp-igd","","34679","0","48203","True","False"
"python:pyxattr","","python-pyxattr","","34602","0","48096","True","False"
"mpv","mpv-player/mpv","","mpv","0","47867","47867","True","True"
"dleyna","","dleyna","","34381","0","47789","True","False"
"perl:yaml-libyaml","","libyaml-libyaml-perl","","34364","0","47765","True","False"
"kirigami","","kf6-kirigami|kirigami2","","34310","0","47690","True","False"
"blt","","blt","","33915","0","47141","True","False"
"sourcekitten","jpsim/SourceKitten","","sourcekitten","0","47123","47123","True","False"
"cdrkit","","cdrkit","","33852","0","47054","True","False"
"libxfce4ui","","libxfce4ui","","33834","0","47029","True","False"
"libtermkey","","","libtermkey","0","46927","46927","True","False"
"procmail","BuGlessRB/procmail","procmail","","33695","0","46836","True","False"
"yamllint","adrienverge/yamllint","","yamllint","0","46740","46740","True","False"
"phonon-vlc","","phonon-backend-vlc","","33509","0","46577","True","False"
"kparts","","kf6-kparts|kparts","","33437","0","46477","True","False"
"hidapi","libusb/hidapi","hidapi","hidapi","17199","22375","46281","True","False"
"python:pybind11","pybind/pybind11","","pybind11","0","46182","46182","True","True"
"kpackage","","kf6-kpackage|kpackage","","33032","0","45914","True","False"
"source-highlight","","source-highlight","source-highlight","20443","17438","45853","True","False"
"phonon","","phonon","","32955","0","45807","True","False"
"debian:libodbc1","","libodbc1","","32865","0","45682","True","False"
"kidletime","","kf6-kidletime|kidletime","","32805","0","45598","True","False"
"libnet","libnet/libnet","libnet","libnet","21766","15129","45383","True","False"
"lzlib","","lzlib","lzlib","14488","25226","45364","True","False"
"carthage","Carthage/Carthage","","carthage","0","45354","45354","True","False"
"kdeclarative","","kdeclarative|kf6-kdeclarative","","32585","0","45293","True","False"
"aws-crt-cpp","awslabs/aws-crt-cpp","","aws-crt-cpp","0","45263","45263","True","False"
"dvd+rw-tools","","dvd+rw-tools","","32521","0","45204","True","False"
"hfst-ospell","hfst/hfst-ospell","hfst-ospell","","32398","0","45033","True","False"
"cmark","commonmark/cmark","cmark","","32359","0","44979","True","True"
"zsh-completions","zsh-users/zsh-completions","","zsh-completions","0","44742","44742","True","False"
"tnftp","","tnftp","","32118","0","44644","True","False"
"libcerf","","","libcerf","0","44550","44550","True","False"
"xfce-exo","","exo","","32045","0","44542","True","False"
"qca","","qca2","","31959","0","44423","True","False"
"tinyxml","leethomason/tinyxml2","tinyxml","tinyxml2","13280","25947","44406","True","True"
"debian:libtracker-sparql-2.0-0","","libtracker-sparql-2.0-0","","31820","0","44229","True","False"
"postfix","","postfix","","31684","0","44040","True","False"
"hsqldb","","hsqldb1.8.0","","31557","0","43864","True","False"
"xfwm4","","xfwm4","","31343","0","43566","True","False"
"kactivities","","kactivities-kf5","","31330","0","43548","True","False"
"ruby:install","postmodern/ruby-install","","ruby-install","0","43429","43429","True","False"
"debian:libdc1394-22","","libdc1394-22","","31205","0","43374","True","False"
"ldns","","","ldns","0","43308","43308","True","False"
"gsasl","","gsasl","","31106","0","43237","True","False"
"lzop","","lzop","","30990","0","43076","True","False"
"ebook-tools","","ebook-tools","","30985","0","43069","True","False"
"babeltrace","","babeltrace","","30982","0","43064","True","False"
"caja","","caja","","30979","0","43060","True","False"
"kcmutils","","kcmutils|kf6-kcmutils","","30937","0","43002","True","False"
"knewstuff","","kf6-knewstuff|knewstuff","","30911","0","42966","True","False"
"systemsettings","","systemsettings","","30803","0","42816","True","False"
"mscompress","stapelberg/mscompress","mscompress","","30722","0","42703","True","False"
"libshumate","","libshumate","","30713","0","42691","True","False"
"debian:libxcb-util0","","libxcb-util0","","30683","0","42649","True","False"
"bats","bats-core/bats-core","","bats-core","0","42623","42623","True","False"
"debian:polkitd-pkla","","polkitd-pkla","","30657","0","42613","True","False"
"dctrl-tools","ajkaijanaho/dctrl-tools","dctrl-tools","","30564","0","42483","True","False"
"debian:libreadline6","","libreadline6","","30479","0","42365","True","False"
"min12xxw","","min12xxw","","30476","0","42361","True","False"
"thunar","","thunar","","30475","0","42360","True","False"
"moreutils","","","moreutils","0","42317","42317","True","False"
"foo2zjs","","foo2zjs","","30357","0","42196","True","False"
"tumbler","","tumbler","","30354","0","42192","True","False"
"pnm2ppa","","pnm2ppa","","30333","0","42162","True","False"
"opusfile","","opusfile","opusfile","16339","19410","42121","True","False"
"geocode-glib","","geocode-glib","","30243","0","42037","True","False"
"debian:libssl1.0.0","","libssl1.0.0","","30230","0","42019","True","False"
"mingw-w64","","","mingw-w64","0","42009","42009","True","False"
"xfce4-panel","","xfce4-panel","","30222","0","42008","True","False"
"mousepad","","mousepad","","30170","0","41936","True","False"
"libaccounts-glib","","libaccounts-glib","","30163","0","41926","True","False"
"debian:libenchant1c2a","","libenchant1c2a","","29967","0","41654","True","False"
"stoken","stoken-dev/stoken","stoken","stoken","22916","9621","41474","True","False"
"openfec","roc-streaming/openfec","openfec","","29837","0","41473","True","False"
"libportal","flatpak/libportal","libportal","","29813","0","41440","True","False"
"postgis","","","postgis","0","41349","41349","True","False"
"mosh","mobile-shell/mosh","","mosh","0","41294","41294","True","True"
"wireplumber","","wireplumber","","29688","0","41266","True","False"
"plasma-framework","","plasma-framework","","29655","0","41220","True","False"
"tig","jonas/tig","","tig","0","41193","41193","True","False"
"rest","","librest","","29592","0","41132","True","False"
"c-blosc","Blosc/c-blosc","c-blosc","c-blosc","19173","14472","41122","True","True"
"garcon","","garcon","","29566","0","41096","True","False"
"gl2ps","","gl2ps","gl2ps","11709","24809","41084","True","False"
"signond","","signond","","29510","0","41018","True","False"
"onnxruntime","microsoft/onnxruntime","onnxruntime","","29502","0","41007","True","False"
"threadweaver","","kf6-threadweaver|threadweaver","","29473","0","40967","True","False"
"gtk-engines","","gtk2-engines","","29330","0","40768","True","False"
"thunar-volman","","thunar-volman","","29320","0","40754","True","False"
"inkscape","","inkscape","","29167","0","40542","True","False"
"xfdesktop","","xfdesktop4","","28913","0","40189","True","False"
"gupnp-av","","gupnp-av","","28857","0","40111","True","False"
"strace","","strace","","28814","0","40051","True","False"
"xfce4-session","","xfce4-session","","28810","0","40045","True","False"
"gupnp-dlna","","gupnp-dlna","","28791","0","40019","True","False"
"libfakekey","","libfakekey","","28770","0","39990","True","False"
"zerofree","","zerofree","","28592","0","39742","True","False"
"xfce4-appfinder","","xfce4-appfinder","","28340","0","39392","True","False"
"cwidget","","cwidget","","28297","0","39332","True","False"
"libdazzle","","libdazzle","","28285","0","39316","True","False"
"xfce4-notifyd","","xfce4-notifyd","","28276","0","39303","True","False"
"dotnet","dotnet/dotnet","","dotnet|dotnet@8","0","39243","39243","True","False"
"okular","","okular","","28091","0","39046","True","False"
"patchutils","","patchutils","","28068","0","39014","True","False"
"kitemmodels","","kf6-kitemmodels|kitemmodels","","27979","0","38890","True","False"
"firebird","","firebird4.0","","27957","0","38860","True","False"
"cifs-utils","","cifs-utils","","27949","0","38849","True","False"
"knotifyconfig","","kf6-knotifyconfig|knotifyconfig","","27882","0","38755","True","False"
"pmdk","","pmdk","","27847","0","38707","True","False"
"xarchiver","ib/xarchiver","xarchiver","","27832","0","38686","True","False"
"perl:unicode-utf8","","libunicode-utf8-perl","","27813","0","38660","True","False"
"ndctl","pmem/ndctl","ndctl","","27775","0","38607","True","False"
"xfce4-terminal","","xfce4-terminal","","27760","0","38586","True","False"
"debian:libtracker-control-2.0-0","","libtracker-control-2.0-0","","27668","0","38458","True","False"
"ossp-uuid","","ossp-uuid","ossp-uuid","16157","15993","38451","True","False"
"aws-c-s3","awslabs/aws-c-s3","","aws-c-s3","0","38379","38379","True","False"
"mono","","","mono","0","38343","38343","True","False"
"debian:libtracker-miner-2.0-0","","libtracker-miner-2.0-0","","27466","0","38177","True","False"
"aws-c-common","awslabs/aws-c-common","","aws-c-common","0","38105","38105","True","False"
"pinentry-mac","GPGTools/pinentry","","pinentry-mac","0","38044","38044","True","False"
