package,license,fetched_at
fftw,gpl-2.0-or-later and bsd-2-clause,2026-07-21T21:08:15Z
file,,2026-07-21T21:08:15Z
file-roller,,2026-07-21T21:08:15Z
findutils,gpl-3.0-or-later,2026-07-21T21:08:15Z
firebird,,2026-07-21T21:08:15Z
fizz,bsd-3-clause,2026-07-21T21:08:15Z
flac,bsd-3-clause and gpl-2.0-or-later and isc and lgpl-2.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain and (gpl-2.0-or-later or lgpl-2.1-or-later),2026-07-21T21:08:15Z
flashrom,,2026-07-21T21:08:15Z
flatpak,,2026-07-21T21:08:15Z
flex,bsd-2-clause,2026-07-21T21:08:15Z
flite,,2026-07-21T21:08:15Z
fluidsynth,,2026-07-21T21:08:15Z
fmt,mit,2026-07-21T21:08:15Z
folks,,2026-07-21T21:08:15Z
folly,apache-2.0,2026-07-21T21:08:15Z
fontconfig,hpnd-sell-variant and unicode-3.0 and mit-modern-variant and mit and licenseref-homebrew-public-domain,2026-07-21T21:08:15Z
foo2zjs,,2026-07-21T21:08:15Z
frameworkintegration,,2026-07-21T21:08:15Z
freeglut,mit,2026-07-21T21:08:15Z
freerdp,apache-2.0,2026-07-21T21:08:15Z
freetds,gpl-2.0-or-later,2026-07-21T21:08:15Z
freetype,ftl,2026-07-21T21:08:15Z
freexl,mpl-1.1 or gpl-2.0-or-later or lgpl-2.1-or-later,2026-07-21T21:08:15Z
frei0r,gpl-2.0-or-later,2026-07-21T21:08:15Z
fribidi,gpl-2.0-or-later and lgpl-2.1-or-later,2026-07-21T21:08:15Z
fstrm,,2026-07-21T21:08:15Z
fusefs:sshfs,,2026-07-21T21:08:15Z
fyba,,2026-07-21T21:08:15Z
game-music-emu,lgpl-2.1-or-later and gpl-2.0-or-later,2026-07-21T21:08:15Z
garcon,,2026-07-21T21:08:15Z
gawk,gpl-3.0-or-later,2026-07-21T21:08:15Z
gcab,,2026-07-21T21:08:15Z
gcc,gpl-3.0-or-later with gcc-exception-3.1,2026-07-21T21:08:15Z
gcc-defaults,,2026-07-21T21:08:15Z
gcr,,2026-07-21T21:08:15Z
gd,gd,2026-07-21T21:08:15Z
gdal,mit,2026-07-21T21:08:15Z
gdb,gpl-3.0-or-later,2026-07-21T21:08:15Z
gdbm,gpl-3.0-or-later,2026-07-21T21:08:15Z
gdcm,,2026-07-21T21:08:15Z
gdk-pixbuf,lgpl-2.1-or-later,2026-07-21T21:08:15Z
gdk-pixbuf-xlib,,2026-07-21T21:08:15Z
gdm-gnome-display-manager,,2026-07-21T21:08:15Z
gedit,gpl-2.0-or-later,2026-07-21T21:08:15Z
gegl,,2026-07-21T21:08:15Z
geoclue,,2026-07-21T21:08:15Z
geocode-glib,,2026-07-21T21:08:15Z
geoip,,2026-07-21T21:08:15Z
geos,lgpl-2.1-or-later,2026-07-21T21:08:15Z
gettext,gpl-3.0-or-later and lgpl-2.1-or-later,2026-07-21T21:08:15Z
gexiv2,,2026-07-21T21:08:15Z
gflags,bsd-3-clause,2026-07-21T21:08:15Z
ggml,mit,2026-07-21T21:08:15Z
ghostscript,agpl-3.0-or-later,2026-07-21T21:08:15Z
giflib,mit,2026-07-21T21:08:15Z
gimp,,2026-07-21T21:08:15Z
git,gpl-2.0-only and gpl-2.0-or-later and lgpl-2.1-or-later and bsd-3-clause and mit,2026-07-21T21:08:15Z
gjs,,2026-07-21T21:08:15Z
gl2ps,gl2ps,2026-07-21T21:08:15Z
glade,,2026-07-21T21:08:15Z
glew,bsd-3-clause,2026-07-21T21:08:15Z
glib,lgpl-2.1-or-later,2026-07-21T21:08:15Z
glib-networking,lgpl-2.1-or-later,2026-07-21T21:08:15Z
glibc,gpl-2.0-or-later and lgpl-2.1-or-later,2026-07-21T21:08:15Z
glibmm,,2026-07-21T21:08:15Z
glog,bsd-3-clause,2026-07-21T21:08:15Z
glslang,bsd-3-clause and gpl-3.0-or-later and mit and apache-2.0,2026-07-21T21:08:15Z
glu,,2026-07-21T21:08:15Z
glusterfs,,2026-07-21T21:08:15Z
gmmlib,,2026-07-21T21:08:15Z
gmp,lgpl-3.0-or-later or gpl-2.0-or-later,2026-07-21T21:08:15Z
gnome-autoar,,2026-07-21T21:08:15Z
gnome-bluetooth,,2026-07-21T21:08:15Z
gnome-contacts,,2026-07-21T21:08:15Z
gnome-control-center,,2026-07-21T21:08:15Z
gnome-desktop,,2026-07-21T21:08:15Z
