repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_dependent_count,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
facebook/zstd,29759715,8.7,2026-04-20,,non-standard,278,,,2026-05-03T17:04:09+00:00
facelessuser/soupsieve,160789418,4.9,2026-04-20,30707,MIT,12,,,2026-05-03T17:04:09+00:00
fastify/fast-uri,419317518,,,188850,non-standard,6,,,2026-05-03T17:04:10+00:00
faye/websocket-driver-node,9733816,2.7,2026-04-20,92342,non-standard,1,,,2026-05-03T17:04:18+00:00
fb55/boolbase,16864585,6.1,2026-04-20,39,non-standard,0,,,2026-05-03T17:04:18+00:00
fb55/css-select,3411063,5.7,2026-04-20,32,non-standard,10,,,2026-05-03T17:04:19+00:00
fb55/css-what,4460687,6,2026-04-20,38,non-standard,3,,,2026-05-03T17:04:19+00:00
fb55/domelementtype,6627835,5.6,2026-04-20,352,non-standard,0,,,2026-05-03T17:04:19+00:00
fb55/domhandler,5414232,5.7,2026-04-20,350,non-standard,7,,,2026-05-03T17:04:20+00:00
fb55/domutils,6627949,5.7,2026-04-20,323,non-standard,13,,,2026-05-03T17:04:20+00:00
fb55/entities,3172629,6,2026-04-20,4988,non-standard,16,,,2026-05-03T17:04:20+00:00
fb55/htmlparser2,2279062,6.5,2026-04-20,210,MIT,12,,,2026-05-03T17:04:20+00:00
fb55/nth-check,16864923,5.8,2026-04-20,37,non-standard,4,,,2026-05-03T17:04:21+00:00
felixge/node-combined-stream,1787452,2.1,2026-04-20,489259,MIT,10,,,2026-05-03T17:04:21+00:00
felixge/node-delayed-stream,1783893,2,2026-04-20,501712,MIT,0,,,2026-05-03T17:04:21+00:00
feross/buffer,14494363,3.7,2026-04-20,125343,non-standard,55,,,2026-05-03T17:04:22+00:00
feross/ieee754,15489525,2.4,2026-04-20,507449,BSD-3-Clause,3,,,2026-05-03T17:04:23+00:00
feross/is-buffer,25997846,2.5,2026-04-20,64596,MIT,8,,,2026-05-03T17:04:22+00:00
feross/queue-microtask,207021895,3.2,2026-04-20,190589,MIT,2,,,2026-05-03T17:04:23+00:00
feross/run-parallel,18700638,3.1,2026-04-20,183050,MIT,1,,,2026-05-03T17:04:23+00:00
feross/safe-buffer,49538897,2.5,2026-04-20,816406,MIT,9,,,2026-05-03T17:04:24+00:00
ffmpeg/ffmpeg,1614410,5.2,2026-04-20,,non-standard,3,,,2026-05-03T17:04:24+00:00
firebase/firebase-js-sdk,89290483,6.7,2026-04-20,40611,non-standard,694,,,2026-05-03T17:04:40+00:00
fitzgen/glob-to-regexp,11461122,2.1,2026-04-20,74981,,9,,,2026-05-03T17:04:24+00:00
floatdrop/require-from-string,39301848,2.3,2026-04-20,213278,MIT,6,,,2026-05-03T17:04:25+00:00
floating-ui/floating-ui,54994103,,,230530,MIT,48,,,2026-05-03T17:04:34+00:00
follow-redirects/follow-redirects,6697086,5,2026-04-20,343501,MIT,17,,,2026-05-03T17:04:25+00:00
fontconfig/fontconfig,926884194,,,,non-standard,0,,,2026-05-03T17:04:25+00:00
form-data/form-data,1755793,4.6,2026-04-20,241220,MIT,139,,,2026-05-03T17:04:33+00:00
formatjs/formatjs,19117456,4.2,2026-04-20,3594,,13,,,2026-05-03T17:04:36+00:00
frenic/csstype,104001328,3.4,2026-04-20,267574,MIT,78,,,2026-05-03T17:04:34+00:00
frommi/miniz_oxide,96124162,4.3,2026-04-20,19,MIT,31,,,2026-05-03T17:04:34+00:00
fsevents/fsevents,1402936,3.1,2026-04-20,211534,MIT,16,,,2026-05-03T17:04:35+00:00
fsspec/filesystem_spec,130727736,5.2,2026-04-20,28548,BSD-3-Clause,346,,,2026-05-03T17:04:35+00:00
fsspec/s3fs,53987953,4.2,2026-04-20,948,BSD-3-Clause,174,,,2026-05-03T17:04:35+00:00
garycourt/uri-js,989080,2.4,2026-04-20,340814,non-standard,30,,,2026-05-03T17:04:35+00:00
gcc-mirror/gcc,22711503,4.1,2026-04-20,,GPL-2.0,51,,,2026-05-03T17:04:36+00:00
getsentry/sentry-javascript,3328572,5.8,2026-04-20,4485,MIT,590,,,2026-05-03T17:04:38+00:00
giampaolo/psutil,20101515,5.2,2026-04-20,36333,BSD-3-Clause,372,,,2026-05-03T17:04:36+00:00
git/git,36502,5.2,2026-04-20,,non-standard,373,in_progress,18,2026-05-03T17:04:36+00:00
gitlab-freedesktop-mirrors/libxcb,444023705,,,,,,,,2026-05-03T17:04:37+00:00
gitoxidelabs/gitoxide,136510559,,,6,Apache-2.0,180,,,2026-05-03T17:04:55+00:00
gitpython-developers/gitdb,1126093,5.9,2026-04-20,12684,non-standard,8,,,2026-05-03T17:04:37+00:00
gitpython-developers/smmap,1865144,5.6,2026-04-20,189,BSD-3-Clause,3,,,2026-05-03T17:04:38+00:00
gkz/levn,13287279,2,2026-04-20,74916,MIT,2,,,2026-05-03T17:04:37+00:00
gkz/optionator,13435927,2.1,2026-04-20,73804,MIT,13,,,2026-05-03T17:04:38+00:00
gkz/prelude-ls,4457759,2.1,2026-04-20,76184,MIT,30,,,2026-05-03T17:04:39+00:00
gkz/type-check,13182168,2.3,2026-04-20,75166,MIT,9,,,2026-05-03T17:04:39+00:00
gmp-mirror/gmp,681340775,,,,,,,,2026-05-03T17:04:39+00:00
gnome/gdk-pixbuf,4533539,,,,LGPL-2.1,0,,,2026-05-03T17:04:39+00:00
gnome/glib,4537082,5,2026-04-20,,non-standard,0,,,2026-05-03T17:04:40+00:00
gnome/libxml2,4537118,4,2026-04-20,,non-standard,0,,,2026-05-03T17:04:48+00:00
