"package","dep_name","dep_version","fetched_at"
"@1password/connect","lodash.clonedeep","^4.5.0","2026-03-30 09:48:06.844714"
"@1password/connect","slugify","^1.6.6","2026-03-30 09:48:06.844714"
"@1password/connect","uuid","^9.0.1","2026-03-30 09:48:06.844714"
"@47ng/cloak","@47ng/codec","^1.0.1","2026-03-30 09:48:06.844714"
"@47ng/cloak","@stablelib/base64","^1.0.1","2026-03-30 09:48:06.844714"
"@47ng/cloak","@stablelib/hex","^1.0.1","2026-03-30 09:48:06.844714"
"@47ng/cloak","@stablelib/utf8","^1.0.1","2026-03-30 09:48:06.844714"
"@47ng/cloak","chalk","^4.1.2","2026-03-30 09:48:06.844714"
"@47ng/cloak","commander","^8.3.0","2026-03-30 09:48:06.844714"
"@47ng/cloak","dotenv","^10.0.0","2026-03-30 09:48:06.844714"
"@47ng/cloak","s-ago","^2.2.0","2026-03-30 09:48:06.844714"
"@47ng/codec","@stablelib/base64","^1.0.1","2026-03-30 10:44:26.069532"
"@47ng/codec","@stablelib/hex","^1.0.1","2026-03-30 10:44:26.069532"
"@75lb/deep-merge","lodash","^4.17.21","2026-03-30 09:48:06.844714"
"@75lb/deep-merge","typical","^7.1.1","2026-03-30 09:48:06.844714"
"@a2a-js/sdk","uuid","^11.1.0","2026-03-30 09:48:06.844714"
"@ably/msgpack-js","bops","^1.0.1","2026-03-30 09:48:06.844714"
"@actions/core","@actions/exec","^3.0.0","2026-03-30 09:48:06.844714"
"@actions/core","@actions/http-client","^4.0.0","2026-03-30 09:48:06.844714"
"@actions/exec","@actions/io","^3.0.2","2026-03-30 09:48:06.844714"
"@actions/github","undici","^6.23.0","2026-03-30 09:48:06.844714"
"@actions/github","@octokit/core","^7.0.6","2026-03-30 09:48:06.844714"
"@actions/github","@octokit/request","^10.0.7","2026-03-30 09:48:06.844714"
"@actions/github","@actions/http-client","^3.0.2","2026-03-30 09:48:06.844714"
"@actions/github","@octokit/request-error","^7.1.0","2026-03-30 09:48:06.844714"
"@actions/github","@octokit/plugin-paginate-rest","^14.0.0","2026-03-30 09:48:06.844714"
"@actions/github","@octokit/plugin-rest-endpoint-methods","^17.0.0","2026-03-30 09:48:06.844714"
"@actions/http-client","tunnel","^0.0.6","2026-03-30 10:44:26.069532"
"@actions/http-client","undici","^6.23.0","2026-03-30 10:44:26.069532"
"@actions/io","__none__","","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@hypnosphi/create-react-context","^0.3.1","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tinymce/tinymce-react","^4.3.2","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/core","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-bubble-menu","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-character-count","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-code","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-document","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-floating-menu","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-heading","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-image","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-link","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-table","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-table-cell","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-table-header","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-table-row","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-text","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-text-align","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/extension-typography","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/pm","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/react","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","@tiptap/starter-kit","2.1.13","2026-03-30 09:48:06.844714"
"@adminjs/design-system","date-fns","^2.29.3","2026-03-30 09:48:06.844714"
"@adminjs/design-system","flat","^5.0.2","2026-03-30 09:48:06.844714"
"@adminjs/design-system","hoist-non-react-statics","3.3.2","2026-03-30 09:48:06.844714"
"@adminjs/design-system","jw-paginate","^1.0.4","2026-03-30 09:48:06.844714"
"@adminjs/design-system","lodash","^4.17.21","2026-03-30 09:48:06.844714"
"@adminjs/design-system","polished","^4.2.2","2026-03-30 09:48:06.844714"
"@adminjs/design-system","react-currency-input-field","^3.6.10","2026-03-30 09:48:06.844714"
"@adminjs/design-system","react-datepicker","^4.10.0","2026-03-30 09:48:06.844714"
"@adminjs/design-system","react-feather","^2.0.10","2026-03-30 09:48:06.844714"
"@adminjs/design-system","react-phone-input-2","^2.15.1","2026-03-30 09:48:06.844714"
"@adminjs/design-system","react-select","^5.8.0","2026-03-30 09:48:06.844714"
"@adminjs/design-system","react-text-mask","^5.5.0","2026-03-30 09:48:06.844714"
"@adminjs/design-system","styled-components","5.3.9","2026-03-30 09:48:06.844714"
"@adminjs/design-system","styled-system","^5.1.5","2026-03-30 09:48:06.844714"
"@adminjs/design-system","text-mask-addons","^3.8.0","2026-03-30 09:48:06.844714"
"@adobe/css-tools","__none__","","2026-03-30 09:48:06.844714"
"@adobe/fetch","debug","4.4.3","2026-03-30 09:48:06.844714"
"@adobe/fetch","http-cache-semantics","4.2.0","2026-03-30 09:48:06.844714"
"@adobe/fetch","lru-cache","7.18.3","2026-03-30 09:48:06.844714"
"@adraffy/ens-normalize","__none__","","2026-03-30 09:48:06.844714"
"@agentclientprotocol/sdk","__none__","","2026-03-30 09:48:06.844714"
"@agora-js/media","@agora-js/shared","4.24.3","2026-03-30 09:59:22.825284"
"@agora-js/media","@agora-js/report","4.24.3","2026-03-30 09:59:22.825284"
"@agora-js/media","axios","^1.13.6","2026-03-30 09:59:22.825284"
"@agora-js/media","agora-rte-extension","^1.2.4","2026-03-30 09:59:22.825284"
"@agora-js/media","webrtc-adapter","8.2.0","2026-03-30 09:59:22.825284"
"@agora-js/protocol","@bufbuild/protobuf","^2.9.0","2026-03-30 09:59:22.825284"
"@agora-js/protocol","@agora-js/shared","4.24.3","2026-03-30 09:59:22.825284"
"@agora-js/protocol","@agora-js/media","4.24.3","2026-03-30 09:59:22.825284"
"@agora-js/protocol","@agora-js/report","4.24.3","2026-03-30 09:59:22.825284"
"@agora-js/protocol","pako","^2.1.0","2026-03-30 09:59:22.825284"
"@agora-js/protocol","@types/pako","^2.0.0","2026-03-30 09:59:22.825284"
"@agora-js/report","axios","^1.13.6","2026-03-30 09:59:22.825284"
"@agora-js/report","@agora-js/shared","4.24.3","2026-03-30 09:59:22.825284"
"@agora-js/shared","axios","^1.13.6","2026-03-30 09:59:22.825284"
