"package","year","downloads"
"anjuta-common","2024","796"
"anjuta-common","2025","650"
"ann-tools","2021","26"
"ann-tools","2022","18"
"ann-tools","2023","14"
"ann-tools","2024","11"
"ann-tools","2025","10"
"anon-proxy","2021","8"
"anon-proxy","2022","8"
"anon-proxy","2023","6"
"anon-proxy","2024","5"
"anon-proxy","2025","4"
"anthy","2021","2139"
"anthy","2022","1942"
"anthy","2023","2075"
"anthy","2024","2045"
"anthy","2025","2205"
"anthy-common","2021","2386"
"anthy-common","2022","2128"
"anthy-common","2023","2243"
"anthy-common","2024","2168"
"anthy-common","2025","2310"
"anthy-el","2021","90"
"anthy-el","2022","81"
"anthy-el","2023","35"
"anthy-el","2024","25"
"anthy-el","2025","26"
"antigravitaattori","2021","206"
"antigravitaattori","2022","194"
"antigravitaattori","2023","184"
"antigravitaattori","2024","159"
"antigravitaattori","2025","155"
"antiword","2021","2055"
"antiword","2022","1863"
"antiword","2023","1834"
"antiword","2024","1867"
"antiword","2025","1902"
"ants","2021","53"
"ants","2022","38"
"ants","2023","40"
"ants","2024","28"
"ants","2025","49"
"anypaper","2021","23"
"anypaper","2022","20"
"anypaper","2023","19"
"anypaper","2024","19"
"anypaper","2025","15"
"anyremote","2021","185"
"anyremote","2022","147"
"anyremote","2023","144"
"anyremote","2024","161"
"anyremote","2025","152"
"anyremote-data","2021","186"
"anyremote-data","2022","147"
"anyremote-data","2023","144"
"anyremote-data","2024","162"
"anyremote-data","2025","153"
"anyremote-doc","2021","36"
"anyremote-doc","2022","26"
"anyremote-doc","2023","20"
"anyremote-doc","2024","22"
"anyremote-doc","2025","25"
"anytun","2021","10"
"anytun","2022","10"
"anytun","2023","14"
"anytun","2024","10"
"anytun","2025","10"
"aoeui","2021","11"
"aoeui","2022","16"
"aoeui","2023","13"
"aoeui","2024","10"
"aoeui","2025","3"
"aoflagger-dev","2021","104"
"aoflagger-dev","2022","79"
"aoflagger-dev","2023","86"
"aoflagger-dev","2024","74"
"aoflagger-dev","2025","100"
"aolserver4-daemon","2021","19"
"aolserver4-daemon","2022","15"
"aolserver4-daemon","2023","16"
"aolserver4-daemon","2024","11"
"aolserver4-daemon","2025","9"
"aolserver4-nsmysql","2023","1"
"aosd-cat","2021","85"
"aosd-cat","2022","73"
"aosd-cat","2023","75"
"aosd-cat","2024","65"
"aosd-cat","2025","66"
"apache2-bin","2021","98065"
