"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"reusify","mcollina/reusify","1591142221","643650192","1111332559","1466025667","1855241707","2879460982","True","0.00089017","A"
"tr46","jsdom/tr46","2811903826","962844676","2271967967","2877948621","3359728287","4587029580","True","0.00089008","A"
"@babel/helper-module-transforms","babel/babel","1932555337","1125623882","1580057960","1865735944","2121187361","2970171539","True","0.00088804","A"
"queue-microtask","feross/queue-microtask","1486628430","441552828","1037430500","1476096574","1821443559","2656618692","True","0.00088095","A"
"@types/yargs","DefinitelyTyped/DefinitelyTyped","2752744552","1268133313","2352682002","3305884546","3239791982","3597230921","True","0.00088084","A"
"is-unicode-supported","sindresorhus/is-unicode-supported","1110064190","236718580","634472704","1018123965","1457146182","2203859521","True","0.00087984","A"
"regenerator-runtime","facebook/regenerator","2460468847","1703704498","2041991533","2482856140","2977858722","3095933342","True","0.00087375","A"
"is-docker","sindresorhus/is-docker","1380024115","698706242","963421939","1381865283","1583597053","2272530061","True","0.00086945","A"
"convert-source-map","thlorenz/convert-source-map","2690911086","1316825891","1711022879","2509480414","3356748175","4560478073","True","0.00086904","A"
"restore-cursor","sindresorhus/restore-cursor","1872580942","1258754631","1508675234","1655875756","2053857244","2885741845","True","0.00086494","A"
"type-check","gkz/type-check","2203640524","1304997888","1990679843","2322579746","2311339650","3088605493","True","0.00085821","A"
"ee-first","jonathanong/ee-first","1438871120","909151546","1229289449","1432635965","1538450656","2084827988","True","0.00085789","A"
"caniuse-lite","browserslist/caniuse-lite","2201962795","1235361295","1743271445","2023651706","2435652458","3571877072","True","0.00085596","A"
"http-errors","jshttp/http-errors","2754102727","2121308037","2613338768","2715665364","2745074926","3575126543","True","0.00085189","A"
"y18n","yargs/y18n","2948564213","1832236382","2580571957","2950869701","3179730150","4199412877","True","0.00084744","A"
"path-parse","jbgutierrez/path-parse","1943782886","1125514282","1558443991","1863303852","2126661717","3044990592","True","0.00084551","A"
"whatwg-url","jsdom/whatwg-url","3009995770","1184676444","2502171482","3096653378","3521377077","4745100472","True","0.00083959","A"
"is-plain-obj","sindresorhus/is-plain-obj","1918582933","1050829911","1612133187","1951509833","2145070895","2833370840","True","0.00083740","A"
"@jest/get-type","jestjs/jest","238700054","0","0","0","0","238700054","True","0.00083127","A"
"@babel/helper-create-class-features-plugin","babel/babel","1270686969","807579120","1138176971","1262588349","1402145253","1742945154","True","0.00082789","A"
"statuses","jshttp/statuses","2474166980","1170930484","1921821655","2528066114","2781170912","3968845738","True","0.00082490","A"
"@babel/helper-skip-transparent-expression-wrappers","babel/babel","1088683948","598047396","907108736","1087831513","1239446619","1610985476","True","0.00082386","A"
"loose-envify","zertosh/loose-envify","1222467851","721120309","940686698","1162615953","1323319049","1964597248","True","0.00082129","A"
"@babel/core","babel/babel","2419154811","1493102522","2106682047","2399962686","2602877257","3493149543","True","0.00082032","A"
"process","shtylman/node-process","1054249673","721211054","802995366","974637747","1198251812","1574152390","True","0.00082011","A"
"supports-preserve-symlinks-flag","inspect-js/node-supports-preserve-symlinks-flag","1810099692","0","979170835","1577407656","1933596303","2750223977","True","0.00081450","A"
"@xtuc/long","dcodeIO/long.js","859937687","579547115","751467914","858358262","934285703","1176029445","True","0.00080945","A"
"@smithy/util-buffer-from","smithy-lang/smithy-typescript","1405161266","0","0","169918683","1126449864","2919115252","True","0.00080712","A"
"@nodelib/fs.stat","nodelib/nodelib","1880939063","1031807275","1547984755","1817990711","2075274745","2931637831","True","0.00080612","A"
