spdx_id,spdx_id_canonical,name,is_osi_approved,is_fsf_libre,is_deprecated,reference,osi_url,fetched_at
sun-ppp-2000,Sun-PPP-2000,Sun PPP License (2000),False,False,False,https://spdx.org/licenses/Sun-PPP-2000.html,,2026-07-06T16:17:40Z
sunpro,SunPro,SunPro License,False,False,False,https://spdx.org/licenses/SunPro.html,,2026-07-06T16:17:40Z
swl,SWL,Scheme Widget Library (SWL) Software License Agreement,False,False,False,https://spdx.org/licenses/SWL.html,,2026-07-06T16:17:40Z
swrule,swrule,swrule License,False,False,False,https://spdx.org/licenses/swrule.html,,2026-07-06T16:17:40Z
symlinks,Symlinks,Symlinks License,False,False,False,https://spdx.org/licenses/Symlinks.html,,2026-07-06T16:17:40Z
tapr-ohl-1.0,TAPR-OHL-1.0,TAPR Open Hardware License v1.0,False,False,False,https://spdx.org/licenses/TAPR-OHL-1.0.html,,2026-07-06T16:17:40Z
tcl,TCL,TCL/TK License,False,False,False,https://spdx.org/licenses/TCL.html,,2026-07-06T16:17:40Z
tcp-wrappers,TCP-wrappers,TCP Wrappers License,False,False,False,https://spdx.org/licenses/TCP-wrappers.html,,2026-07-06T16:17:40Z
tekhvc,TekHVC,TekHVC License,False,False,False,https://spdx.org/licenses/TekHVC.html,,2026-07-06T16:17:40Z
termreadkey,TermReadKey,TermReadKey License,False,False,False,https://spdx.org/licenses/TermReadKey.html,,2026-07-06T16:17:40Z
tgppl-1.0,TGPPL-1.0,Transitive Grace Period Public Licence 1.0,False,False,False,https://spdx.org/licenses/TGPPL-1.0.html,,2026-07-06T16:17:40Z
thirdeye,ThirdEye,ThirdEye License,False,False,False,https://spdx.org/licenses/ThirdEye.html,,2026-07-06T16:17:40Z
threeparttable,threeparttable,threeparttable License,False,False,False,https://spdx.org/licenses/threeparttable.html,,2026-07-06T16:17:40Z
tmate,TMate,TMate Open Source License,False,False,False,https://spdx.org/licenses/TMate.html,,2026-07-06T16:17:40Z
torque-1.1,TORQUE-1.1,TORQUE v2.5+ Software License v1.1,False,False,False,https://spdx.org/licenses/TORQUE-1.1.html,,2026-07-06T16:17:40Z
tosl,TOSL,Trusster Open Source License,False,False,False,https://spdx.org/licenses/TOSL.html,,2026-07-06T16:17:40Z
