repo,2021,2022,2023,2024,2025
ljharb/internal-slot,1,0,0,0,0
ljharb/object-keys,0,0,0,1,0
ljharb/object.assign,1,2,1,2,0
ljharb/possible-typed-array-names,0,0,0,0,0
ljharb/qs,26,16,12,20,5
ljharb/safe-regex-test,0,0,0,0,0
ljharb/set-function-length,0,0,1,0,0
ljharb/side-channel,2,1,0,0,0
ljharb/side-channel-list,0,0,0,0,1
ljharb/side-channel-map,0,0,0,0,0
ljharb/side-channel-weakmap,0,0,0,0,0
lodash/lodash,54,39,401,38,60
loganfsmyth/gensync,0,1,0,0,0
lokathor/bytemuck,8,23,18,17,16
lovell/detect-libc,0,2,2,0,3
lukeed/dequal,3,1,0,0,0
lukeed/escalade,1,0,1,0,0
lukeed/kleur,2,0,0,0,1
lxml/lxml,0,0,0,0,0
lydell/js-tokens,0,1,2,2,1
lz4/lz4,21,60,30,48,17
madler/zlib,21,76,56,73,61
mafintosh/end-of-stream,0,0,0,0,0
mafintosh/pump,0,1,0,1,0
mafintosh/tar-stream,1,0,38,0,0
marshallpierce/rust-base64,13,17,22,3,4
marshmallow-code/marshmallow,99,42,24,34,55
mathiasbynens/cssesc,0,0,0,2,0
mathiasbynens/emoji-regex,10,3,3,2,1
mathiasbynens/jsesc,0,0,1,0,0
mathiasbynens/punycode.js,1,0,7,0,0
mathiasbynens/regenerate,1,1,0,0,0
mathiasbynens/regexpu-core,3,6,3,10,1
mathiasbynens/unicode-canonical-property-names-ecmascript,0,0,0,0,0
mathiasbynens/unicode-property-aliases-ecmascript,0,0,0,0,0
matklad/once_cell,10,25,16,11,8
matplotlib/matplotlib,855,833,1208,611,541
mbostock/internmap,4,0,0,0,0
mcollina/fastq,8,1,3,2,3
mcollina/reusify,0,0,0,0,2
mdn/data,7,10,8,11,7
medikoo/d,2,0,0,0,1
medikoo/es5-ext,2,9,5,4,0
medikoo/es6-symbol,0,1,1,0,0
medikoo/type,1,0,0,0,0
mhammond/pywin32,104,88,58,199,82
micheles/decorator,29,7,1,3,6
micromark/micromark,15,5,7,9,8
micromatch/anymatch,0,2,0,0,0
micromatch/braces,1,0,1,5,6
micromatch/is-glob,0,0,1,0,0
micromatch/micromatch,7,2,3,18,0
micromatch/picomatch,2,4,5,9,1
micromatch/to-regex-range,0,0,0,1,1
microsoft/tslib,4,4,16,5,0
microsoft/typescript,3269,2635,3312,2774,1872
microsoft/windows-rs,429,429,249,256,174
minimistjs/minimist,0,6,19,14,2
mirror/libx11,0,0,0,0,2
mitsuhiko/insta,26,49,34,58,38
mlocati/gettext-iconv-windows,0,1,2,2,0
mm2/little-cms,37,33,36,24,41
moment/moment,60,28,60,17,12
more-itertools/more-itertools,44,35,48,76,45
motdotla/dotenv,55,55,61,42,37
moxystudio/node-cross-spawn,1,0,1,3,0
mozilla/source-map,42,10,2,6,4
mrabarnett/mrab-regex,38,25,21,20,23
mrmlnc/fast-glob,11,23,31,10,8
msgpack/msgpack-python,18,16,19,25,10
mui/material-ui,2024,1872,1295,1098,683
mysticatea/abort-controller,1,1,0,0,0
mysticatea/event-target-shim,6,0,0,1,0
netflix/vmaf,59,47,77,39,3
networkx/networkx,176,253,225,124,125
nghttp2/nghttp2,30,29,31,252,382
nicolo-ribaudo/babel-preset-current-node-syntax,0,0,0,1,0
nlnetlabs/unbound,101,104,100,119,112
