repo,repo_id,git_url,status,n_contributors,fetched_at
es-shims/object.values,gh/41723335,https://github.com/es-shims/object.values.git,ok,1,2026-05-19T11:23:11+00:00
es-shims/regexp.prototype.flags,gh/26932422,https://github.com/es-shims/regexp.prototype.flags.git,ok,2,2026-05-19T11:23:12+00:00
es-shims/string.prototype.trimend,gh/114682758,https://github.com/es-shims/string.prototype.trimend.git,ok,2,2026-05-19T11:23:14+00:00
es-shims/string.prototype.trimstart,gh/114682105,https://github.com/es-shims/string.prototype.trimstart.git,ok,2,2026-05-19T11:23:15+00:00
eslint-community/eslint-utils,gh/568240379,https://github.com/eslint-community/eslint-utils.git,ok,10,2026-05-19T11:23:16+00:00
eslint/doctrine,gh/4286644,https://github.com/eslint/doctrine.git,ok,33,2026-07-05T22:54:37+00:00
eslint/eslint,gh/11061773,https://github.com/eslint/eslint.git,ok,416,2026-05-19T11:23:20+00:00
eslint/js,gh/27620277,https://github.com/eslint/js.git,ok,60,2026-05-19T11:23:19+00:00
eslint/rewrite,gh/791446923,https://github.com/eslint/rewrite.git,ok,21,2026-05-19T11:23:21+00:00
estools/escodegen,gh/3611422,https://github.com/estools/escodegen.git,ok,47,2026-05-19T11:23:22+00:00
estools/esquery,gh/11412938,https://github.com/estools/esquery.git,ok,22,2026-05-19T11:23:23+00:00
estools/esrecurse,gh/27429822,https://github.com/estools/esrecurse.git,ok,10,2026-05-19T11:23:25+00:00
estools/estraverse,gh/6145439,https://github.com/estools/estraverse.git,ok,26,2026-05-19T11:23:26+00:00
estools/esutils,gh/14677293,https://github.com/estools/esutils.git,ok,6,2026-05-19T11:23:28+00:00
ethers-io/ethers.js,gh/63465664,https://github.com/ethers-io/ethers.js.git,ok,1,2026-05-19T11:23:29+00:00
evanw/esbuild,gh/61137153,https://github.com/evanw/esbuild.git,ok,119,2026-05-19T11:23:30+00:00
evanw/node-source-map-support,gh/7682781,https://github.com/evanw/node-source-map-support.git,ok,62,2026-05-19T11:23:32+00:00
eventualbuddha/lines-and-columns,gh/47284288,https://github.com/eventualbuddha/lines-and-columns.git,ok,1,2026-05-19T11:23:34+00:00
executablebooks/markdown-it-py,gh/249956697,https://github.com/executablebooks/markdown-it-py.git,ok,33,2026-05-19T11:22:36+00:00
executablebooks/mdurl,gh/387293763,https://github.com/executablebooks/mdurl.git,ok,4,2026-05-19T11:22:36+00:00
exodusoss/bytes,gh/885154008,https://github.com/exodusoss/bytes.git,ok,6,2026-05-19T11:22:37+00:00
expressjs/body-parser,gh/15669006,https://github.com/expressjs/body-parser.git,ok,38,2026-05-19T11:22:38+00:00
