login,sponsoring_count,sponsoring_status,fetched_at
selinuxproject,0,ok,2026-06-29T23:54:23+00:00
serde-rs,0,ok,2026-06-29T23:54:24+00:00
servo,0,ok,2026-06-29T23:54:24+00:00
sinclairzx81,0,ok,2026-06-29T23:54:24+00:00
sindresorhus,12,ok,2026-06-29T23:54:24+00:00
sinonjs,0,ok,2026-06-29T23:54:24+00:00
smithy-lang,0,ok,2026-06-29T23:54:24+00:00
smol-rs,0,ok,2026-06-29T23:54:24+00:00
snowflakedb,0,ok,2026-06-29T23:54:24+00:00
socketio,0,ok,2026-06-29T23:54:24+00:00
sqlalchemy,0,ok,2026-06-29T23:54:24+00:00
sqlite,0,ok,2026-06-29T23:54:25+00:00
srijs,2,ok,2026-06-29T23:54:25+00:00
stebalien,11,ok,2026-06-29T23:54:25+00:00
stefanpenner,0,ok,2026-06-29T23:54:25+00:00
storybookjs,0,ok,2026-06-29T23:54:25+00:00
stream-utils,0,ok,2026-06-29T23:54:25+00:00
streamich,0,ok,2026-06-29T23:54:25+00:00
stub42,0,ok,2026-06-29T23:54:25+00:00
suguru03,0,ok,2026-06-29T23:54:25+00:00
sval-rs,0,ok,2026-06-29T23:54:25+00:00
swc-project,0,ok,2026-06-29T23:54:25+00:00
sybrenstuvel,0,ok,2026-07-13T16:59:59+00:00
syntax-tree,0,ok,2026-06-29T23:54:26+00:00
systemd,0,ok,2026-06-29T23:54:26+00:00
taiki-e,0,ok,2026-06-29T23:54:26+00:00
takluyver,0,ok,2026-07-13T16:59:59+00:00
tapjs,0,ok,2026-06-29T23:54:26+00:00
tartley,0,ok,2026-06-29T23:54:26+00:00
teambition,0,ok,2026-06-29T23:54:26+00:00
teddriggs,0,ok,2026-06-29T23:54:26+00:00
tehshrike,0,ok,2026-06-29T23:54:26+00:00
terkelg,0,ok,2026-06-29T23:54:26+00:00
terser,0,ok,2026-06-29T23:54:26+00:00
textualize,0,ok,2026-06-29T23:54:26+00:00
theskumar,0,ok,2026-06-29T23:54:27+00:00
thkukuk,0,ok,2026-06-29T23:54:27+00:00
thlorenz,0,ok,2026-06-29T23:54:27+00:00
tim-kos,0,ok,2026-06-29T23:54:27+00:00
time-rs,0,ok,2026-06-29T23:54:27+00:00
tj,0,ok,2026-06-29T23:54:27+00:00
tjguk,0,ok,2026-06-29T23:54:27+00:00
tkem,0,ok,2026-06-29T23:54:27+00:00
tokio-rs,0,ok,2026-06-29T23:54:27+00:00
toml-rs,0,ok,2026-06-29T23:54:27+00:00
tootallnate,0,ok,2026-06-29T23:54:27+00:00
torvalds,0,ok,2026-06-29T23:54:28+00:00
tower-rs,0,ok,2026-06-29T23:54:28+00:00
tox-dev,0,ok,2026-06-29T23:54:28+00:00
tqdm,0,ok,2026-06-29T23:54:28+00:00
tritondatacenter,0,ok,2026-06-29T23:54:28+00:00
troygoode,0,ok,2026-06-29T23:54:28+00:00
trysound,0,ok,2026-05-31T16:56:30+00:00
tsconfig,0,ok,2026-06-29T23:54:28+00:00
tukaani-project,0,ok,2026-06-29T23:54:28+00:00
typescript-eslint,0,ok,2026-06-29T23:54:28+00:00
typeshed-internal,0,ok,2026-06-29T23:54:29+00:00
unicode-org,0,ok,2026-06-29T23:54:29+00:00
unicode-rs,0,ok,2026-06-29T23:54:29+00:00
unshiftio,0,ok,2026-06-29T23:54:29+00:00
uqfoundation,0,ok,2026-06-29T23:54:23+00:00
urllib3,0,ok,2026-06-29T23:54:23+00:00
util-linux,0,ok,2026-06-29T23:54:23+00:00
uuidjs,0,ok,2026-06-29T23:54:23+00:00
vercel,4,ok,2026-06-29T23:54:23+00:00
visionmedia,0,ok,2026-06-29T23:54:23+00:00
vitest-dev,0,ok,2026-06-29T23:54:23+00:00
vorner,0,ok,2026-06-29T23:54:24+00:00
vuejs,0,ok,2026-06-29T23:54:24+00:00
wasm-bindgen,0,ok,2026-06-29T23:54:24+00:00
watson,0,ok,2026-06-29T23:54:24+00:00
wbond,0,ok,2026-06-29T23:54:24+00:00
webmproject,0,ok,2026-06-29T23:54:24+00:00
webpack,0,ok,2026-06-29T23:54:24+00:00
webreflection,0,ok,2026-06-29T23:54:24+00:00
websocket-client,0,ok,2026-06-29T23:54:24+00:00
websockets,0,ok,2026-06-29T23:54:24+00:00
wesleytodd,3,ok,2026-06-29T23:54:25+00:00
whitequark,4,ok,2026-06-29T23:54:25+00:00
withoutboats,0,ok,2026-06-29T23:54:25+00:00
xiph,0,ok,2026-06-29T23:54:25+00:00
xorg,0,ok,2026-07-13T16:59:59+00:00
xtuc,0,ok,2026-06-29T23:54:25+00:00
yahoo,0,ok,2026-06-29T23:54:25+00:00
yaml,0,ok,2026-06-29T23:54:25+00:00
yargs,0,ok,2026-06-29T23:54:25+00:00
yuzujs,0,ok,2026-06-29T23:54:25+00:00
zertosh,0,ok,2026-06-29T23:54:25+00:00
zesterer,1,ok,2026-06-29T23:54:25+00:00
zloirock,0,ok,2026-06-29T23:54:26+00:00
