package,license,fetched_at
infracost,apache-2.0,2026-07-21T21:08:14Z
ios-deploy,gpl-3.0-or-later and bsd-3-clause,2026-07-21T21:08:14Z
iperf,bsd-3-clause,2026-07-21T21:08:14Z
iperf3,bsd-3-clause,2026-07-21T21:08:14Z
ipopt,epl-2.0,2026-07-21T21:08:14Z
iproute2mac,mit,2026-07-21T21:08:14Z
ipython,bsd-3-clause,2026-07-21T21:08:14Z
isl,mit,2026-07-21T21:08:14Z
iso-codes,lgpl-2.1-or-later,2026-07-21T21:08:14Z
istioctl,apache-2.0,2026-07-21T21:08:14Z
jack,gpl-2.0-or-later,2026-07-21T21:08:14Z
jadx,apache-2.0,2026-07-21T21:08:14Z
jansson,mit,2026-07-21T21:08:14Z
jasper,jasper-2.0,2026-07-21T21:08:14Z
jbig2dec,agpl-3.0-or-later,2026-07-21T21:08:14Z
jbig2enc,apache-2.0,2026-07-21T21:08:14Z
jemalloc,bsd-2-clause,2026-07-21T21:08:14Z
jenkins,mit,2026-07-21T21:08:14Z
jenkins-lts,mit,2026-07-21T21:08:14Z
jenv,mit,2026-07-21T21:08:14Z
jfrog-cli,apache-2.0,2026-07-21T21:08:14Z
jmeter,apache-2.0,2026-07-21T21:08:14Z
jo,gpl-2.0-or-later and mit,2026-07-21T21:08:14Z
jpeg,ijg,2026-07-21T21:08:14Z
jpeg-turbo,ijg and zlib and bsd-3-clause,2026-07-21T21:08:14Z
jpeg-xl,bsd-3-clause,2026-07-21T21:08:14Z
jq,mit,2026-07-21T21:08:14Z
json-c,mit,2026-07-21T21:08:14Z
json-glib,lgpl-2.1-or-later,2026-07-21T21:08:14Z
jsoncpp,mit,2026-07-21T21:08:14Z
jsonnet,apache-2.0,2026-07-21T21:08:14Z
julia,mit and bsd-3-clause and apache-2.0 and bsl-1.0,2026-07-21T21:08:14Z
jupyterlab,bsd-3-clause and mit,2026-07-21T21:08:14Z
just,cc0-1.0,2026-07-21T21:08:14Z
k3d,mit,2026-07-21T21:08:14Z
k6,agpl-3.0-or-later,2026-07-21T21:08:14Z
k9s,apache-2.0,2026-07-21T21:08:14Z
kafka,apache-2.0,2026-07-21T21:08:14Z
kcat,bsd-2-clause,2026-07-21T21:08:14Z
kcov,gpl-2.0-or-later,2026-07-21T21:08:14Z
keyring,mit,2026-07-21T21:08:14Z
keyutils,gpl-2.0-or-later and lgpl-2.0-or-later,2026-07-21T21:08:14Z
kind,apache-2.0,2026-07-21T21:08:14Z
kompose,apache-2.0,2026-07-21T21:08:14Z
kotlin,apache-2.0,2026-07-21T21:08:14Z
krb5,bsd-2-clause and bsd-2-clause-first-lines and bsd-3-clause and bsd-4-clause and brian-gladman-2-clause and cmu-mach-nodoc and fsfullrwd and hpnd and hpnd-export2-us and hpnd-export-us and hpnd-export-us-acknowledgement and hpnd-export-us-modify and isc and mit and mit-cmu and oldap-2.8 and openvision and (bsd-2-clause or gpl-2.0-or-later),2026-07-21T21:08:14Z
krew,apache-2.0,2026-07-21T21:08:14Z
ktlint,mit,2026-07-21T21:08:14Z
kube-ps1,apache-2.0,2026-07-21T21:08:14Z
kubeconform,apache-2.0,2026-07-21T21:08:14Z
kubectx,apache-2.0,2026-07-21T21:08:14Z
kubernetes-cli,apache-2.0,2026-07-21T21:08:14Z
