repo,repo_id,score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,Webhooks,date
arduino/arduinocore-avr,103147930,4.6,0,0,5,0,3,10,10,10,0,0,5,-1,0,0,10,8,0,10,,2026-04-07T13:55:47+01:00
arinerron/cve-2022-0847-dirtypipe-exploit,467221382,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:56:15+01:00
arjun024/mkernel,18772441,3.0,9,0,0,0,2,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T14:55:38+01:00
arkdb/inception,41525316,2.7,10,0,-1,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:57:18+01:00
arkhipov/temporal_tables,8259812,2.8,10,0,0,0,3,3,-1,0,0,10,2,-1,-1,0,0,0,-1,10,,2026-04-07T18:03:02+01:00
arm-software/arm-trusted-firmware,13740589,4.8,10,0,-1,0,0,10,-1,10,0,9,10,-1,-1,0,10,-1,-1,0,,2026-04-06T20:37:30+01:00
arm-software/ml-kws-for-mcu,114120727,2.2,0,0,-1,0,0,0,-1,0,0,10,0,-1,-1,0,10,-1,-1,10,,2026-04-07T15:55:40+01:00
armink/cmbacktrace,77414939,3.2,8,0,0,0,5,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:50:08+01:00
armink/easyflash,29770287,3.5,10,0,0,0,6,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T20:35:49+01:00
armink/flashdb,266515876,4.5,8,0,3,0,6,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T19:48:31+01:00
armink/freemodbus_slave-master-rtt-stm32,11835581,2.9,10,0,0,0,1,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:56:12+01:00
armink/sfud,63885010,3.9,10,0,0,0,10,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:56:05+01:00
armmbed/daplink,24571059,3.6,8,3,0,0,7,10,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-06T19:40:22+01:00
armon/bloomd,3419558,3.0,10,0,0,0,6,3,-1,0,0,9,0,-1,0,0,0,-1,-1,10,,2026-04-07T15:03:32+01:00
armory3d/armortools,81142732,3.1,0,0,-1,0,0,3,10,0,0,9,10,-1,0,0,0,-1,0,10,,2026-04-06T16:38:10+01:00
arq5x/bedtools2,15059334,3.2,10,0,0,0,3,10,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-07T18:02:27+01:00
arthepsy/cve-2021-4034,452094681,2.3,10,0,-1,0,0,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:56:10+01:00
artifexsoftware/mupdf,37978718,4.7,10,0,-1,0,0,10,10,0,0,10,10,-1,0,10,0,-1,0,10,,2026-04-06T19:43:01+01:00
arut/nginx-rtmp-module,3714900,2.6,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T12:40:55+01:00
asahilinux/gpu,327656592,2.9,10,3,-1,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:02:27+01:00
asdcorp/ohook,676621809,2.7,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-06T20:37:42+01:00
asg017/sqlite-vec,789538509,4.7,10,0,0,0,0,3,10,0,10,10,10,10,0,0,9,0,9,0,,2026-04-06T14:35:20+01:00
asmvik/skhd,99607082,2.5,10,0,0,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T13:41:52+01:00
asmvik/yabai,184909163,3.5,10,0,0,0,0,10,-1,0,0,10,9,-1,-1,0,0,0,-1,10,,2026-04-06T12:36:15+01:00
assert-rs/snapbox,424722460,6.5,10,,10,0,0,10,10,10,0,10,10,-1,0,10,0,-1,10,4,,2026-05-03T23:21:24+01:00
asterisk/asterisk,33784533,5.8,10,0,10,0,9,10,10,0,0,9,10,-1,0,0,10,8,0,10,,2026-04-06T18:38:20+01:00
astral-sh/ruff,523043277,6.3,10,3,10,0,6,10,10,10,10,10,10,10,9,0,10,0,0,0,,2026-04-27T21:29:49+01:00
astrand/xclip,50902935,3.5,10,0,0,0,6,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T15:02:21+01:00
astronautlevel2/anemone3ds,96824328,2.9,10,0,0,0,3,0,-1,0,0,10,4,-1,-1,0,0,0,-1,10,,2026-04-07T17:00:39+01:00
atar-axis/xpadneo,119148271,4.2,10,0,10,0,0,6,10,0,0,9,10,-1,0,0,0,-1,0,10,,2026-04-06T19:47:14+01:00
atc1441/atc_mithermometer,290808391,2.0,10,0,0,0,1,6,10,0,0,0,0,-1,0,0,0,0,0,0,,2026-04-06T17:38:10+01:00
atomicobject/heatshrink,8751126,2.6,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:58:25+01:00
aubio/aubio,396389,3.6,10,6,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T17:35:25+01:00
