name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
FreeDink,freedink,gnu.org,https://www.gnu.org/software/freedink/,,,,GNU FreeDink is a free and portable re-implementation of the engine for the role-playing game Dink Smallwood. It supports not only the original game data files but it also supports user-produced game ,2026-07-05T16:57:24+00:00
Free UCS Outline Fonts,freefont,gnu.org,https://www.gnu.org/software/freefont/,,,,"GNU FreeFont is a collection of scalable outline fonts that are suitable for general computer use and for desktop publishing. A serif, a sans serif and a monospace font are included, all available in ",2026-07-05T16:57:24+00:00
FreeIPMI,freeipmi,gnu.org,https://www.gnu.org/software/freeipmi/,,,,GNU FreeIPMI is a collection of in-band and out-of-band IPMI software in accordance with the IPMI v1.5/2.0 specification. These programs provide a set of interfaces for platform management. Common fun,2026-07-05T16:57:24+00:00
Freetalk,freetalk,gnu.org,https://www.gnu.org/software/freetalk/,,,,"GNU Freetalk is a command-line Jabber/XMPP chat client. It notably uses the Readline library to handle input, so it features convenient navigation of text as well as tab-completion of buddy names, com",2026-07-05T16:57:24+00:00
FriBiDi,fribidi,gnu.org,https://www.gnu.org/software/fribidi/,,,,GNU FriBidi is an implementation of the Unicode Bidirectional Algorithm. This algorithm is used to properly display text in left-to-right or right-to-left ordering as necessary.,2026-07-05T16:57:24+00:00
G-Golf,g-golf,gnu.org,https://www.gnu.org/software/g-golf/,,,,G-Golf (Gnome: (Guile Object Library for)) is a library for developing modern applications in Guile Scheme. It comprises a direct binding to the GObject Introspection API and higher-level functionalit,2026-07-05T16:57:24+00:00
Gama,gama,gnu.org,https://www.gnu.org/software/gama/,,,,"GNU Gama is a program for the adjustment of geodetic networks. It is useful in measurements where Global Positioning System (GPS) is not available, such as underground. It features the ability to adju",2026-07-05T16:57:24+00:00
Gratuitous ARP Daemon,garpd,gnu.org,https://www.gnu.org/software/garpd/,,,,GNU garpd broadcasts Gratuitous ARP (Address Resolution Protocol) requests/replies for a list of MAC to IP address mappings on specified interfaces at regular intervals. Gratuitous ARP request packets,2026-07-05T16:57:24+00:00
Gawk,gawk,gnu.org,https://www.gnu.org/software/gawk/,,,,"Gawk is the GNU implementation of Awk, a specialized programming language for the easy manipulation of formatted text, such as tables of data. Gawk features many extensions beyond the traditional impl",2026-07-05T16:57:24+00:00
Gcal,gcal,gnu.org,https://www.gnu.org/software/gcal/,,,,"Gcal is a program to calculate and print calendars on the command-line. Calendars can be printed in 1-month, 3-month or whole-year views. In addition, eternal holiday lists can be generated for many c",2026-07-05T16:57:24+00:00
GCC,gcc,gnu.org,https://www.gnu.org/software/gcc/,gcc-mirror/gcc,,,"GCC is the GNU Compiler Collection. It provides compiler front-ends for several languages, including C, C++, Objective-C, Fortran, Java, Ada, and Go. It also includes runtime support libraries for the",2026-07-05T16:57:24+00:00
Gcide,gcide,gnu.org,https://www.gnu.org/software/gcide/,,,,GCIDE is a free dictionary based on a combination of sources. It can be used via the GNU Dico program or accessed online at http://gcide.gnu.org.ua/,2026-07-05T16:57:24+00:00
GNU Common Lisp,gcl,gnu.org,https://www.gnu.org/software/gcl/,,,,GCL is an implementation of the Common Lisp language. It features the ability to compile to native object code and to load native object code modules directly into its lisp core. It also features a st,2026-07-05T16:57:24+00:00
GCompris,gcompris,gnu.org,https://www.gnu.org/software/gcompris/,,,,GCompris is a suite of educational software for children. It features a variety of activities suitable for kids aged 2 to 10 years old. The suite includes activities to introduce and develop skills in,2026-07-05T16:57:24+00:00
GDB,gdb,gnu.org,https://www.gnu.org/software/gdb/,,,,"GDB is the GNU debugger. With it, you can monitor what a program is doing while it runs or what it was doing just before a crash. It allows you to specify the runtime conditions, to define breakpoints",2026-07-05T16:57:24+00:00
Gdbm,gdbm,gnu.org,https://www.gnu.org/software/gdbm/,,,,GDBM is a library for manipulating hashed databases. It is used to store key/value pairs in a file in a manner similar to the Unix dbm library and provides interfaces to the traditional file format.,2026-07-05T16:57:24+00:00
Gengen,gengen,gnu.org,https://www.gnu.org/software/gengen/,,,,"GNU Gengen is a program to generate text-generators, i.e., functions producing text with variable sections. The text is first specified by the user in a template file containing parameters, then proce",2026-07-05T16:57:24+00:00
Gengetopt,gengetopt,gnu.org,https://www.gnu.org/software/gengetopt/,,,,"GNU Gengetopt is a program to generate a C/C++ function for parsing command-line options using the getopt_long function found in GNU libc, removing some of the tedium of this task for large programs t",2026-07-05T16:57:24+00:00
Gettext,gettext,gnu.org,https://www.gnu.org/software/gettext/,autotools-mirror/gettext,,,"GNU Gettext is a package providing a framework for translating the textual output of programs into multiple languages. It provides translators with the means to create message catalogs, as well as an ",2026-07-05T16:57:24+00:00
Gforth,gforth,gnu.org,https://www.gnu.org/software/gforth/,,,,Gforth is a fast and portable implementation of the ANSI Forth language. It includes an editing mode for Emacs and an interpreter featuring completion and history. A generic virtual machine environmen,2026-07-05T16:57:24+00:00
Ggradebook,ggradebook,gnu.org,https://www.gnu.org/software/ggradebook/,,,,"GNU Gradebook is an application for teachers for tracking student grades. It supports several grading styles, including American (A, B, C, D, F) and European numeric scales.",2026-07-05T16:57:24+00:00
