repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
dateutil/dateutil,gh/26876372,5.5,2026-04-20,non-standard,441,,,2026-05-03T19:10:21+00:00
davepacheco/node-extsprintf,gh/4058064,2.9,2026-04-20,MIT,1,,,2026-05-03T19:10:21+00:00
davidhalter/parso,gh/90668463,5.7,2026-04-20,non-standard,11,,,2026-05-03T19:10:21+00:00
davisjam/safe-regex,gh/90781457,3,2026-04-20,non-standard,11,,,2026-05-03T19:10:22+00:00
dchest/tweetnacl-js,gh/15649752,2.5,2026-04-20,non-standard,6,,,2026-05-03T19:10:30+00:00
dcodeio/long.js,gh/8678904,3.1,2026-04-20,Apache-2.0,1,,,2026-05-03T19:10:30+00:00
dcodeio/protobuf.js,gh/8507859,5.8,2026-04-20,non-standard,392,,,2026-05-03T19:10:31+00:00
debian/bzip2,gl/debian-9696,,,,,,,2026-07-06T11:07:53+00:00
debian/ca-certificates,gl/debian-2995,,,,,,,2026-07-06T11:07:55+00:00
debian/gdbm,gl/debian-32157,,,,,,,2026-07-06T11:07:53+00:00
debian/giflib,gl/debian-12522,,,,,,,2026-07-06T11:07:55+00:00
debug-js/debug,gh/2871998,2.9,2026-04-20,MIT,86,,,2026-05-03T19:10:30+00:00
definitelytyped/definitelytyped,gh/6093316,6.5,2026-04-20,non-standard,699,,,2026-05-03T19:10:35+00:00
defunctzombie/node-process,gh/7580644,2.1,2026-05-04,MIT,16,,,2026-05-17T23:42:52+00:00
django/asgiref,gh/48501860,4,2026-04-20,BSD-3-Clause,73,,,2026-05-03T19:10:31+00:00
djc/rustc-version-rs,gh/41272773,,,Apache-2.0,0,,,2026-05-03T19:10:31+00:00
dmitrysoshnikov/regexp-tree,gh/85459304,2.9,2026-04-20,MIT,52,,,2026-05-03T19:10:31+00:00
docutils/docutils,gh/44840244,,,,6,,,2026-07-05T23:23:03+00:00
dominictarr/through,gh/4885140,2.1,2026-04-20,non-standard,13,,,2026-05-03T19:10:32+00:00
doowb/ansi-colors,gh/47135420,2.1,2026-04-20,MIT,19,,,2026-05-03T19:10:32+00:00
douglasdwyer/wasm_sync,gh/668034655,,,,0,,,2026-05-03T19:10:32+00:00
dougwilson/nodejs-depd,gh/20848667,2.8,2026-04-20,MIT,15,,,2026-05-03T19:10:32+00:00
dtolnay/anyhow,gh/212936374,5.1,2026-04-20,Apache-2.0,38,,,2026-05-03T19:10:33+00:00
dtolnay/automod,gh/173074854,4,2026-04-20,Apache-2.0,7,,,2026-05-03T19:10:33+00:00
dtolnay/dissimilar,gh/229514821,4.9,2026-04-20,Apache-2.0,3,,,2026-05-03T19:10:33+00:00
dtolnay/indoc,gh/54252316,4.4,2026-04-20,Apache-2.0,2,,,2026-05-03T19:10:33+00:00
dtolnay/itoa,gh/61962375,5.3,2026-04-20,Apache-2.0,2,,,2026-05-03T19:10:34+00:00
dtolnay/no-panic,gh/143469762,4.3,2026-04-20,Apache-2.0,8,,,2026-05-03T19:10:34+00:00
dtolnay/paste,gh/155652490,4,2026-04-20,Apache-2.0,12,,,2026-05-03T19:10:34+00:00
dtolnay/proc-macro2,gh/91860126,5.6,2026-04-20,Apache-2.0,27,,,2026-05-03T19:10:35+00:00
dtolnay/quote,gh/67273122,5.1,2026-04-20,Apache-2.0,9,,,2026-05-03T19:10:35+00:00
dtolnay/ref-cast,gh/106295902,4.3,2026-04-20,Apache-2.0,1,,,2026-05-03T19:10:35+00:00
dtolnay/rustversion,gh/183990447,4.2,2026-04-20,Apache-2.0,4,,,2026-05-03T19:10:36+00:00
dtolnay/ryu,gh/142720484,5.4,2026-04-20,Apache-2.0,3,,,2026-05-03T19:10:36+00:00
dtolnay/semver,gh/22432442,5.2,2026-04-20,Apache-2.0,7,,,2026-05-03T19:10:52+00:00
dtolnay/syn,gh/67305738,5.7,2026-04-20,Apache-2.0,82,,,2026-05-03T19:10:52+00:00
dtolnay/target-triple,gh/734167706,,,Apache-2.0,0,,,2026-05-03T19:10:52+00:00
dtolnay/thiserror,gh/213836768,4.6,2026-04-20,Apache-2.0,29,,,2026-05-03T19:10:52+00:00
dtolnay/trybuild,gh/184941159,5.5,2026-04-20,Apache-2.0,21,,,2026-05-03T19:10:52+00:00
dtolnay/unicode-ident,gh/492639579,5,2026-04-20,Apache-2.0,3,,,2026-05-03T19:10:53+00:00
eemeli/yaml,gh/119439276,7.2,2026-04-20,non-standard,31,,,2026-05-03T19:10:53+00:00
ehmicky/human-signals,gh/214467546,2.8,2026-04-20,Apache-2.0,0,,,2026-05-03T19:10:53+00:00
eliben/pycparser,gh/10589864,6.1,2026-04-20,non-standard,32,,,2026-05-03T19:10:54+00:00
emotion-js/emotion,gh/92570536,5.6,2026-04-20,MIT,372,,,2026-05-03T19:10:55+00:00
enarx/ciborium,gh/313759241,4.8,2026-06-22,non-standard,53,,,2026-07-06T11:07:58+00:00
encode/httpcore,gh/237210639,5.4,2026-04-20,BSD-3-Clause,39,,,2026-05-03T19:10:54+00:00
encode/httpx,gh/179492861,5.7,2026-04-20,BSD-3-Clause,148,,,2026-05-03T19:10:54+00:00
