spdx_id,spdx_id_canonical,name,source,is_deprecated,reference,osi_url,fetched_at
cern-ohl-w-2.0,CERN-OHL-W-2.0,CERN Open Hardware Licence Version 2 - Weakly Reciprocal,osi,False,https://spdx.org/licenses/CERN-OHL-W-2.0.html,,2026-07-06T15:43:02Z
clartistic,ClArtistic,Clarified Artistic License,fsf,False,https://spdx.org/licenses/ClArtistic.html,,2026-07-06T15:43:02Z
cnri-python,CNRI-Python,CNRI Python License,osi,False,https://spdx.org/licenses/CNRI-Python.html,https://opensource.org/license/CNRI-Python,2026-07-06T15:43:02Z
condor-1.1,Condor-1.1,Condor Public License v1.1,fsf,False,https://spdx.org/licenses/Condor-1.1.html,,2026-07-06T15:43:02Z
cpal-1.0,CPAL-1.0,Common Public Attribution License 1.0,osi,False,https://spdx.org/licenses/CPAL-1.0.html,https://opensource.org/license/CPAL-1.0,2026-07-06T15:43:02Z
cpl-1.0,CPL-1.0,Common Public License 1.0,osi,False,https://spdx.org/licenses/CPL-1.0.html,https://opensource.org/license/CPL-1.0,2026-07-06T15:43:02Z
cua-opl-1.0,CUA-OPL-1.0,CUA Office Public License v1.0,osi,False,https://spdx.org/licenses/CUA-OPL-1.0.html,https://opensource.org/license/CUA-OPL-1.0,2026-07-06T15:43:02Z
curl,curl,curl License,extras,False,https://spdx.org/licenses/curl.html,,2026-07-06T15:43:02Z
ecl-1.0,ECL-1.0,Educational Community License v1.0,osi,False,https://spdx.org/licenses/ECL-1.0.html,https://opensource.org/license/ECL-1.0,2026-07-06T15:43:02Z
ecl-2.0,ECL-2.0,Educational Community License v2.0,osi,False,https://spdx.org/licenses/ECL-2.0.html,https://opensource.org/license/ECL-2.0,2026-07-06T15:43:02Z
ecos-2.0,eCos-2.0,eCos license version 2.0,fsf,True,https://spdx.org/licenses/eCos-2.0.html,,2026-07-06T15:43:02Z
efl-1.0,EFL-1.0,Eiffel Forum License v1.0,osi,False,https://spdx.org/licenses/EFL-1.0.html,https://opensource.org/license/EFL-1.0,2026-07-06T15:43:02Z
efl-2.0,EFL-2.0,Eiffel Forum License v2.0,osi,False,https://spdx.org/licenses/EFL-2.0.html,https://opensource.org/license/EFL-2.0,2026-07-06T15:43:02Z
entessa,Entessa,Entessa Public License v1.0,osi,False,https://spdx.org/licenses/Entessa.html,https://opensource.org/license/Entessa,2026-07-06T15:43:02Z
epl-1.0,EPL-1.0,Eclipse Public License 1.0,osi,False,https://spdx.org/licenses/EPL-1.0.html,https://opensource.org/license/EPL-1.0,2026-07-06T15:43:02Z
epl-2.0,EPL-2.0,Eclipse Public License 2.0,osi,False,https://spdx.org/licenses/EPL-2.0.html,https://www.opensource.org/license/EPL-2.0,2026-07-06T15:43:02Z
eudatagrid,EUDatagrid,EU DataGrid Software License,osi,False,https://spdx.org/licenses/EUDatagrid.html,https://opensource.org/license/EUDatagrid,2026-07-06T15:43:02Z
eupl-1.1,EUPL-1.1,European Union Public License 1.1,osi,False,https://spdx.org/licenses/EUPL-1.1.html,https://opensource.org/license/EUPL-1.1,2026-07-06T15:43:02Z
eupl-1.2,EUPL-1.2,European Union Public License 1.2,osi,False,https://spdx.org/licenses/EUPL-1.2.html,https://opensource.org/license/EUPL-1.2,2026-07-06T15:43:02Z
fair,Fair,Fair License,osi,False,https://spdx.org/licenses/Fair.html,https://opensource.org/license/Fair,2026-07-06T15:43:02Z
frameworx-1.0,Frameworx-1.0,Frameworx Open License 1.0,osi,False,https://spdx.org/licenses/Frameworx-1.0.html,https://opensource.org/license/Frameworx-1.0,2026-07-06T15:43:02Z
fsfap,FSFAP,FSF All Permissive License,fsf,False,https://spdx.org/licenses/FSFAP.html,,2026-07-06T15:43:02Z
ftl,FTL,Freetype Project License,fsf,False,https://spdx.org/licenses/FTL.html,,2026-07-06T15:43:02Z
gnuplot,gnuplot,gnuplot License,fsf,False,https://spdx.org/licenses/gnuplot.html,,2026-07-06T15:43:02Z
gpl-2.0,GPL-2.0,GNU General Public License v2.0 only,osi,True,https://spdx.org/licenses/GPL-2.0.html,https://opensource.org/license/GPL-2.0,2026-07-06T15:43:02Z
gpl-2.0+,GPL-2.0+,GNU General Public License v2.0 or later,osi,True,https://spdx.org/licenses/GPL-2.0+.html,https://opensource.org/license/GPL-2.0,2026-07-06T15:43:02Z
gpl-2.0-only,GPL-2.0-only,GNU General Public License v2.0 only,osi,False,https://spdx.org/licenses/GPL-2.0-only.html,https://opensource.org/license/GPL-2.0-only,2026-07-06T15:43:02Z
gpl-2.0-or-later,GPL-2.0-or-later,GNU General Public License v2.0 or later,osi,False,https://spdx.org/licenses/GPL-2.0-or-later.html,https://opensource.org/license/GPL-2.0,2026-07-06T15:43:02Z
gpl-3.0,GPL-3.0,GNU General Public License v3.0 only,osi,True,https://spdx.org/licenses/GPL-3.0.html,https://opensource.org/license/GPL-3.0,2026-07-06T15:43:02Z
gpl-3.0+,GPL-3.0+,GNU General Public License v3.0 or later,osi,True,https://spdx.org/licenses/GPL-3.0+.html,https://opensource.org/license/GPL-3.0,2026-07-06T15:43:02Z
gpl-3.0-only,GPL-3.0-only,GNU General Public License v3.0 only,osi,False,https://spdx.org/licenses/GPL-3.0-only.html,https://opensource.org/license/GPL-3.0-only,2026-07-06T15:43:02Z
gpl-3.0-or-later,GPL-3.0-or-later,GNU General Public License v3.0 or later,osi,False,https://spdx.org/licenses/GPL-3.0-or-later.html,https://opensource.org/license/GPL-3.0,2026-07-06T15:43:02Z
