repo,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
libexpat/libexpat,2025,1139,25089,16183,41272,84,expat/tests/runtests.c,13927,11.9,2026-05-03T17:22:01Z
legrandin/pycryptodome,2025,529,30900,10190,41090,284,lib/Crypto/PublicKey/ECC.py,2856,45.4,2026-05-03T17:22:01Z
urllib3/urllib3,2025,824,25196,15258,40454,110,src/urllib3/connection.py,2202,9.3,2026-05-03T17:22:01Z
grahamdumpleton/wrapt,2025,503,23933,16508,40441,140,src/wrapt/_wrappers.c,8067,1.4,2026-05-03T17:22:01Z
googlechrome/workbox,2025,262,22861,17514,40375,538,test/workbox-build/node/generate-sw.js,2336,6.9,2026-05-03T17:22:01Z
jridgewell/sourcemaps,2025,449,23672,16204,39876,130,packages/trace-mapping/test/binary-search.test.ts,3022,4.7,2026-05-03T17:22:01Z
moment/moment,2025,84,22740,16833,39573,504,min/tests.js,21243,12.3,2026-05-03T17:22:01Z
rust-lang/hashbrown,2025,495,25058,13002,38060,48,src/raw/mod.rs,13103,7.1,2026-05-03T17:22:01Z
terser/terser,2025,525,28108,9752,37860,142,lib/compress/index.js,6920,6.5,2026-05-03T17:22:01Z
jawah/charset_normalizer,2025,571,19845,16684,36529,77,charset_normalizer/constant.py,5869,1.7,2026-05-03T17:22:01Z
emotion-js/emotion,2025,271,18607,16644,35251,529,flow-typed/npm/jest_v25.x.x.js,2938,14.8,2026-05-03T17:22:01Z
rollup/plugins,2025,719,22568,12222,34790,970,packages/typescript/test/test.js,1554,3.3,2026-05-03T17:22:01Z
webpack/enhanced-resolve,2025,243,20173,14591,34764,143,test/exportsField.test.js,5322,1.8,2026-05-03T17:22:01Z
fontconfig/fontconfig,2025,456,19642,14918,34560,122,src/fcfreetype.c,3099,3.4,2026-05-03T17:22:01Z
gyscos/zstd-rs,2025,241,15458,18490,33948,58,zstd-safe/zstd-sys/src/bindings_zstd_experimental.rs,4701,1.2,2026-05-03T17:22:01Z
7rulnik/source-map-js,2025,39,1069,32553,33622,34,dist/test/test_source_map_consumer.js,4461,9.9,2026-05-03T17:22:01Z
taiki-e/pin-project,2025,530,17615,15866,33481,317,tests/lint/lib.rs,1821,2.1,2026-05-03T17:22:01Z
encode/httpcore,2025,385,19571,13727,33298,94,httpcore/_sync/connection_pool.py,1412,2.3,2026-05-03T17:22:01Z
burntsushi/aho-corasick,2025,127,21294,11804,33098,58,src/ahocorasick.rs,3864,4.8,2026-05-03T17:22:01Z
paulmillr/chokidar,2025,179,15609,16444,32053,20,src/index.test.mts,7612,1.7,2026-05-03T17:22:01Z
isaacs/node-lru-cache,2025,320,19747,11520,31267,70,src/index.ts,5207,1.5,2026-05-03T17:22:01Z
dcodeio/protobuf.js,2025,180,8602,22166,30768,95,dist/protobuf.js,9279,29.9,2026-05-03T17:22:01Z
yaml/pyyaml,2025,62,11315,18973,30288,110,lib/yaml/scanner.py,2883,1.3,2026-05-03T17:22:01Z
seanmonstar/reqwest,2025,514,20595,9608,30203,77,src/async_impl/client.rs,4914,3.7,2026-05-03T17:22:01Z
conventional-changelog/commitlint,2025,1811,18974,11103,30077,327,@commitlint/cli/src/cli.test.ts,1498,13.1,2026-05-03T17:22:01Z
pallets/flask,2025,814,16258,13741,29999,72,src/flask/app.py,6663,6.9,2026-05-03T17:22:01Z
rust-lang/futures-rs,2025,392,18355,11357,29712,331,futures/tests/auto_traits.rs,2235,8.0,2026-05-03T17:22:01Z
isaacs/node-glob,2025,301,15498,13549,29047,114,src/walker.ts,5214,2.9,2026-05-03T17:22:01Z
tj/commander.js,2025,454,19940,8836,28776,177,lib/command.js,4693,4.4,2026-05-03T17:22:01Z
tokio-rs/prost,2025,398,17346,11187,28533,117,prost-build/src/lib.rs,3176,16.3,2026-05-03T17:22:01Z
frenic/csstype,2025,73,15298,13152,28450,67,index.d.ts,25163,2.9,2026-05-03T17:22:01Z
jquast/wcwidth,2025,154,15851,12544,28395,19,wcwidth/table_zero.py,12272,1.3,2026-05-03T17:22:01Z
pypa/packaging,2025,366,17876,9953,27829,55,packaging/specifiers.py,2364,2.7,2026-05-03T17:22:01Z
joshuakgoldberg/ts-api-utils,2025,748,18441,8728,27169,81,src/nodes/typeGuards/union.ts,3776,3.0,2026-05-03T17:22:01Z
ipython/traitlets,2025,282,15398,11750,27148,65,traitlets/tests/test_traitlets.py,4804,1.8,2026-05-03T17:22:01Z
joblib/joblib,2025,238,14930,12081,27011,104,joblib/parallel.py,3047,5.8,2026-05-03T17:22:01Z
bitflags/bitflags,2025,343,16076,10618,26694,203,src/lib.rs,9282,1.0,2026-05-03T17:22:01Z
csstree/csstree,2025,235,14772,11796,26568,268,test/list.js,1135,2.3,2026-05-03T17:22:01Z
postcss/postcss,2025,729,15035,10999,26034,86,lib/postcss.d.ts,1630,8.9,2026-05-03T17:22:01Z
googleapis/python-api-core,2025,349,19261,5816,25077,119,tests/unit/operations_v1/test_operations_rest_client.py,1976,1.3,2026-05-03T17:22:01Z
