repo,repo_id,status,n_contributors,fetched_at
feross/run-parallel,18700638,ok,5,2026-05-19T11:23:03+00:00
feross/safe-buffer,49538897,ok,8,2026-05-19T11:23:04+00:00
ffmpeg/ffmpeg,1614410,ok,312,2026-05-19T11:23:08+00:00
firebase/firebase-js-sdk,89290483,ok,213,2026-05-19T11:23:07+00:00
floating-ui/floating-ui,54994103,ok,120,2026-05-19T11:23:09+00:00
follow-redirects/follow-redirects,6697086,ok,33,2026-05-19T11:23:09+00:00
fontconfig/fontconfig,926884194,ok,126,2026-05-19T11:23:12+00:00
form-data/form-data,1755793,ok,40,2026-05-19T11:23:12+00:00
formatjs/formatjs,19117456,ok,322,2026-05-19T11:23:15+00:00
freedesktop-unofficial-mirror/cairo,34372735,ok,147,2026-05-19T11:23:15+00:00
freetype/freetype,187000659,ok,165,2026-05-19T11:23:17+00:00
frenic/csstype,104001328,ok,13,2026-05-19T11:23:18+00:00
frommi/miniz_oxide,96124162,ok,57,2026-05-19T11:23:19+00:00
fsevents/fsevents,1402936,ok,33,2026-05-19T11:23:20+00:00
fsspec/filesystem_spec,130727736,ok,301,2026-05-19T11:23:24+00:00
fsspec/s3fs,53987953,ok,134,2026-05-19T11:23:24+00:00
garycourt/uri-js,989080,ok,9,2026-05-19T11:23:25+00:00
gcc-mirror/gcc,22711503,ok,183,2026-05-19T11:23:29+00:00
getsentry/sentry-javascript,3328572,ok,407,2026-05-19T11:23:30+00:00
giampaolo/psutil,20101515,ok,205,2026-05-19T11:23:30+00:00
git/git,36502,ok,425,2026-05-19T11:23:34+00:00
gitlab-freedesktop-mirrors/libxcb,444023705,ok,7,2026-05-19T11:23:32+00:00
gitoxidelabs/gitoxide,136510559,ok,187,2026-05-19T11:23:34+00:00
gitpython-developers/gitdb,1126093,ok,34,2026-05-19T11:22:36+00:00
gitpython-developers/smmap,1865144,ok,18,2026-05-19T11:22:37+00:00
gkz/levn,13287279,ok,3,2026-05-19T11:22:37+00:00
gkz/optionator,13435927,ok,6,2026-05-19T11:22:38+00:00
gkz/prelude-ls,4457759,ok,12,2026-05-19T11:22:39+00:00
gkz/type-check,13182168,ok,3,2026-05-19T11:22:39+00:00
gmp-mirror/gmp,681340775,ok,12,2026-05-19T11:22:40+00:00
