repo,repo_id,year,metric,value
assert-rs/snapbox,424722460,2024,opened_issues,22
assert-rs/snapbox,424722460,2025,closed_issues,3
assert-rs/snapbox,424722460,2025,opened_issues,7
astanin/python-tabulate,,2021,closed_issues,28
astanin/python-tabulate,,2021,opened_issues,36
astanin/python-tabulate,,2022,closed_issues,57
astanin/python-tabulate,,2022,opened_issues,51
astanin/python-tabulate,,2023,closed_issues,17
astanin/python-tabulate,,2023,opened_issues,49
astanin/python-tabulate,,2024,closed_issues,11
astanin/python-tabulate,,2024,opened_issues,28
astanin/python-tabulate,,2025,closed_issues,3
astanin/python-tabulate,,2025,opened_issues,15
astral-sh/ruff,523043277,2021,closed_issues,0
astral-sh/ruff,523043277,2021,opened_issues,0
astral-sh/ruff,523043277,2022,closed_issues,490
astral-sh/ruff,523043277,2022,opened_issues,578
astral-sh/ruff,523043277,2023,closed_issues,2472
astral-sh/ruff,523043277,2023,opened_issues,3004
astral-sh/ruff,523043277,2024,closed_issues,1668
astral-sh/ruff,523043277,2024,opened_issues,2214
astral-sh/ruff,523043277,2025,closed_issues,1343
astral-sh/ruff,523043277,2025,opened_issues,1813
autotools-mirror/autoconf,47662429,2021,closed_issues,0
autotools-mirror/autoconf,47662429,2021,opened_issues,0
autotools-mirror/autoconf,47662429,2022,closed_issues,0
autotools-mirror/autoconf,47662429,2022,opened_issues,0
autotools-mirror/autoconf,47662429,2023,closed_issues,0
autotools-mirror/autoconf,47662429,2023,opened_issues,0
autotools-mirror/autoconf,47662429,2024,closed_issues,0
autotools-mirror/autoconf,47662429,2024,opened_issues,0
autotools-mirror/autoconf,47662429,2025,closed_issues,0
autotools-mirror/autoconf,47662429,2025,opened_issues,0
autotools-mirror/libtool,47662711,2021,closed_issues,0
autotools-mirror/libtool,47662711,2021,opened_issues,0
autotools-mirror/libtool,47662711,2022,closed_issues,0
autotools-mirror/libtool,47662711,2022,opened_issues,0
autotools-mirror/libtool,47662711,2023,closed_issues,0
autotools-mirror/libtool,47662711,2023,opened_issues,0
autotools-mirror/libtool,47662711,2024,closed_issues,0
autotools-mirror/libtool,47662711,2024,opened_issues,0
autotools-mirror/libtool,47662711,2025,closed_issues,0
autotools-mirror/libtool,47662711,2025,opened_issues,0
autotools-mirror/m4,66880383,2021,closed_issues,0
autotools-mirror/m4,66880383,2021,opened_issues,0
autotools-mirror/m4,66880383,2022,closed_issues,0
autotools-mirror/m4,66880383,2022,opened_issues,0
autotools-mirror/m4,66880383,2023,closed_issues,0
autotools-mirror/m4,66880383,2023,opened_issues,0
autotools-mirror/m4,66880383,2024,closed_issues,0
autotools-mirror/m4,66880383,2024,opened_issues,0
autotools-mirror/m4,66880383,2025,closed_issues,0
autotools-mirror/m4,66880383,2025,opened_issues,0
aws/aws-cli,6780767,2021,closed_issues,519
aws/aws-cli,6780767,2021,opened_issues,418
aws/aws-cli,6780767,2022,closed_issues,422
aws/aws-cli,6780767,2022,opened_issues,384
aws/aws-cli,6780767,2023,closed_issues,290
aws/aws-cli,6780767,2023,opened_issues,340
aws/aws-cli,6780767,2024,closed_issues,215
aws/aws-cli,6780767,2024,opened_issues,227
aws/aws-cli,6780767,2025,closed_issues,177
aws/aws-cli,6780767,2025,opened_issues,197
aws/aws-sdk-js-crypto-helpers,149673986,2021,closed_issues,12
aws/aws-sdk-js-crypto-helpers,149673986,2021,opened_issues,11
