repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
visiky/resume,38,3200,2096,181,5.7,8.1,1.5,38180,2026-03-12T21:05:25Z
marijnh/eloquent-javascript,55,3175,2166,290,9.1,8.1,1.5,37867,2026-03-12T17:29:19Z
google/youtube-8m,21,3152,2629,162,5.1,8.0,1.5,37579,2026-03-12T21:05:25Z
gcanti/tcomb-form-native,16,3143,1528,181,5.8,8.0,1.5,37466,2026-03-12T21:05:25Z
matrix-org/matrix.to,50,3102,2086,378,12.2,7.9,1.4,36953,2026-03-12T21:05:25Z
cdown/clipmenu,17,3091,2420,695,22.5,7.8,1.4,36816,2026-03-12T21:05:25Z
bradtraversy/devconnector_2.0,56,3042,1651,78,2.6,7.7,1.4,36203,2026-03-12T21:05:25Z
microsoft/tsyringe,61,3035,1712,154,5.1,7.7,1.4,36116,2026-03-12T21:05:25Z
jrfonseca/gprof2dot,3,3026,2337,416,13.7,7.7,1.4,36003,2026-03-12T21:05:25Z
un1cum/beast_bomber,8,2984,1353,416,13.9,7.6,1.4,35479,2026-03-12T21:05:25Z
dolphin-wood/smooth-scrollbar,59,2980,2221,297,10.0,7.6,1.4,35429,2026-03-12T17:29:19Z
rom1504/img2dataset,23,2941,2209,399,13.6,7.4,1.4,34942,2026-03-12T21:05:25Z
kiesun/chat-buy-react,64,2907,2373,202,6.9,7.4,1.4,34518,2026-03-12T17:29:19Z
burntsushi/byteorder,3,2905,1701,75,2.6,7.4,1.4,34493,2026-03-12T21:05:25Z
trallnag/prometheus-fastapi-instrumentator,21,2881,1553,204,7.1,7.3,1.4,34194,2026-03-12T21:05:25Z
jj811208/watching-you,53,2878,2164,581,20.2,7.3,1.4,34157,2026-03-12T21:05:25Z
django-webpack/django-webpack-loader,84,2825,1340,138,4.9,7.1,1.4,33497,2026-03-12T21:05:25Z
iron/iron,44,2821,2349,237,8.4,7.1,1.4,33447,2026-03-12T21:05:25Z
mozilla/node-convict,56,2788,1620,169,6.1,7.0,1.3,33036,2026-03-12T17:29:19Z
michaelbromley/angularutils,19,2780,2027,198,7.1,7.0,1.3,32936,2026-03-12T21:53:44Z
que-etc/resize-observer-polyfill,24,2763,2122,254,9.2,7.0,1.3,32725,2026-03-12T21:05:25Z
bradvin/social-share-urls,14,2730,2532,40,1.5,6.9,1.3,32315,2026-03-13T00:03:44Z
scrapy/parsel,14,2717,1929,149,5.5,6.9,1.3,32153,2026-03-12T21:05:25Z
wangyi-fudan/wyhash,18,2716,1419,511,18.8,6.9,1.3,32141,2026-03-12T21:53:44Z
riktar/jkanban,7,2713,1722,637,23.5,6.8,1.3,32104,2026-03-12T21:05:25Z
nanohop/sketch-to-react-native,19,2710,2095,497,18.3,6.8,1.3,32066,2026-03-12T22:27:36Z
qiuxiang/react-native-amap3d,73,2695,1884,95,3.5,6.8,1.3,31880,2026-03-12T21:05:25Z
0xjiayu/go_parser,8,2678,2422,522,19.5,6.8,1.3,31669,2026-03-12T17:40:22Z
borisyankov/react-sparklines,32,2667,1955,380,14.2,6.7,1.3,31532,2026-03-12T21:05:25Z
openai/openai-cs-agents-demo,27,2630,2082,396,15.1,6.6,1.3,31073,2026-03-12T17:29:19Z
marcuswestin/store.js,60,2567,2043,425,16.6,6.5,1.3,30292,2026-03-12T22:27:36Z
hiroharu-kato/neural_renderer,37,2557,1793,209,8.2,6.4,1.3,30168,2026-03-12T21:05:25Z
ishtms/learn-nodejs-hard-way,58,2550,764,228,8.9,6.4,1.3,30081,2026-03-12T21:05:25Z
code-hike/bright,53,2550,1543,103,4.0,6.4,1.3,30081,2026-03-12T21:05:25Z
orlp/glidesort,14,2549,2158,296,11.6,6.4,1.3,30069,2026-03-12T21:05:25Z
hagopj13/node-express-boilerplate,50,2525,1548,72,2.9,6.3,1.3,29772,2026-03-12T21:05:25Z
ciaranj/node-oauth,13,2517,1638,308,12.2,6.3,1.3,29673,2026-03-12T21:05:25Z
donejs/donejs,58,2500,1454,72,2.9,6.3,1.2,29462,2026-03-12T21:05:25Z
lm-sys/routellm,22,2435,1873,233,9.6,6.1,1.2,28659,2026-03-12T21:05:25Z
fdw/rofimoji,56,2429,1514,363,14.9,6.1,1.2,28584,2026-03-12T21:05:25Z
ratatui/mousefood,30,2374,1392,109,4.6,5.9,1.2,27905,2026-03-12T21:05:25Z
mshawon/youtube-viewer,15,2326,1652,522,22.4,5.8,1.2,27313,2026-03-12T17:28:05Z
teodosii/react-notifications-component,28,2316,1489,225,9.7,5.8,1.2,27190,2026-03-12T21:53:44Z
nuxt/icon,32,2305,1855,242,10.5,5.8,1.2,27054,2026-03-12T21:05:25Z
dflemstr/rq,16,2305,1316,181,7.9,5.8,1.2,27054,2026-03-12T21:05:25Z
gak/pycallgraph,58,2295,2047,216,9.4,5.7,1.2,26931,2026-03-12T17:40:22Z
codingo/nosqlmap,11,2288,1544,574,25.1,5.7,1.2,26845,2026-03-12T17:28:05Z
czj2369/jd_tb_auto,14,2263,1321,577,25.5,5.7,1.2,26537,2026-03-12T21:05:25Z
