"package","dependency","type"
"gtk+3.0","pango1.0","declared"
"gtk+3.0","pkgconf","declared"
"gtk+3.0","shared-mime-info","declared"
"gtk+3.0","wayland","declared"
"gtk+3.0","wayland-protocols","declared"
"yajl","glibc","declared"
"gettext","gcc-14","declared"
"gettext","glibc","declared"
"gettext","libunistring","declared"
"mousepad","dconf","declared"
"mousepad","glib2.0","declared"
"mousepad","glibc","declared"
"mousepad","gspell","declared"
"mousepad","gtk+3.0","declared"
"mousepad","gtksourceview4","declared"
"mousepad","libxfce4ui","declared"
"mousepad","pango1.0","declared"
"acl","attr","declared"
"acl","glibc","declared"
"xfce4-netload-plugin","glib2.0","declared"
"xfce4-netload-plugin","glibc","declared"
"xfce4-netload-plugin","gtk+3.0","declared"
"xfce4-netload-plugin","libxfce4ui","declared"
"xfce4-netload-plugin","libxfce4util","declared"
"xfce4-netload-plugin","xfce4-panel","declared"
"vo-amrwbenc","glibc","declared"
"nmap","gcc-14","declared"
"nmap","gir1.2-gdkpixbuf-2.0","declared"
"nmap","gir1.2-glib-2.0","declared"
"nmap","gir1.2-gtk-3.0","declared"
"nmap","gir1.2-pango-1.0","declared"
"nmap","glibc","declared"
"nmap","liblinear","declared"
"nmap","libpcap","declared"
"nmap","libssh2","declared"
"nmap","lua5.4","declared"
"nmap","openssl","declared"
"nmap","pcre2","declared"
"nmap","python3-defaults","declared"
"nmap","python3-gi","declared"
"nmap","python3-gi-cairo","declared"
"nmap","python3-lxml","declared"
"nmap","zlib","declared"
"xfce4-cpufreq-plugin","cairo","declared"
"xfce4-cpufreq-plugin","gcc-14","declared"
"xfce4-cpufreq-plugin","gdk-pixbuf","declared"
"xfce4-cpufreq-plugin","glib2.0","declared"
"xfce4-cpufreq-plugin","glibc","declared"
"xfce4-cpufreq-plugin","gtk+3.0","declared"
"xfce4-cpufreq-plugin","libxfce4ui","declared"
"xfce4-cpufreq-plugin","libxfce4util","declared"
"xfce4-cpufreq-plugin","pango1.0","declared"
