"package","github_repo","git","eco_guess","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class"
"libpcap","","","","148043","150812","145391","159103","161591","123320","True","True","False","0.00043553","C"
"libyaml","yaml/libyaml","https://github.com/yaml/libyaml.git","","158064","138823","138174","152069","168786","192469","True","True","True","0.00043470","C"
"tcl8.6","","","","77576","85883","71842","71943","76042","82170","True","True","False","0.00043327","C"
"unzip","","","","178330","164378","158433","173251","186764","208828","True","True","False","0.00043322","C"
"libepoxy","anholt/libepoxy","https://github.com/anholt/libepoxy.git","","133426","117203","113152","128463","143078","165236","True","True","False","0.00043268","C"
"gpgme1.0","","","","138935","145345","137226","150892","150504","110708","True","True","False","0.00043189","C"
"openjpeg2","","","","145281","128933","124996","140636","155264","176577","True","True","False","0.00043151","C"
"fuse3","libfuse/libfuse","https://github.com/libfuse/libfuse.git","","17326","226","291","330","579","85205","True","True","True","0.00042586","C"
"npth","","","","174453","165814","168005","186877","196894","154677","True","True","False","0.00042381","C"
"libxv","","","","140988","129458","122175","136548","147834","168928","True","True","False","0.00042295","C"
"samba","","","","145183","134872","127140","141064","151695","171145","True","True","False","0.00042244","C"
"librsvg","","","","150447","136743","130513","145295","159061","180625","True","True","False","0.00041935","C"
"perlapi-5.40.0","","","","0","0","0","0","0","0","False","False","False","0.00041680","C"
"libsodium","","","","146952","110098","117274","137327","170495","199570","True","True","False","0.00041462","C"
"inetutils","","","","170441","187399","177431","162548","138211","186620","True","True","False","0.00041406","C"
"rsyslog","","","","168750","203478","199028","190469","134076","116703","True","True","False","0.00040995","C"
"libsndfile","","","","136410","126257","118449","132296","142549","162503","True","True","False","0.00040810","C"
"libxkbfile","","","","124590","108484","105286","120581","133438","155161","True","True","False","0.00040774","C"
"libxshmfence","","https://gitlab.freedesktop.org/xorg/lib/libxshmfence.git","","144428","130918","125093","139740","152088","174303","True","True","False","0.00040550","C"
"vulkan-loader","KhronosGroup/Vulkan-Loader","https://github.com/khronosgroup/vulkan-loader.git","","117647","88683","97351","115413","131029","155759","True","True","True","0.00040352","C"
"libcanberra","","","","110512","101746","93834","107181","115679","134120","True","True","False","0.00040281","C"
"libsepol1","","","","164031","207338","200478","190418","122411","99510","True","True","False","0.00039849","C"
"gir1.2-glib-2.0","","","","0","0","0","0","0","0","False","False","False","0.00039789","C"
"aspell","","","","152665","140276","134128","148596","159843","180484","True","True","False","0.00039761","C"
"libselinux-dev","","","","0","0","0","0","0","0","False","False","False","0.00039648","C"
"readline-common","","","","0","0","0","0","0","0","False","False","False","0.00039567","C"
"xcb-util","","","","87499","44530","66619","86710","108322","131316","True","True","False","0.00039313","C"
"sord","","","","116280","97688","96289","112057","126664","148703","True","True","False","0.00039301","C"
"libusb","","","","153952","203104","192162","178299","108173","88024","True","True","False","0.00039011","C"
"jackd2","","","","126499","114894","108683","122806","133357","152759","True","True","False","0.00038968","C"
"libvdpau","","","","126526","112795","107476","122280","134459","155624","True","True","False","0.00038806","C"
