repo,repo_id,has_gh_sponsors,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_link,funding_link_platforms,has_funding_json,org_fundable,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
chalk/strip-ansi,15014856,False,0,0,0,100.0,504,44,True,"github,tidelift",False,False,True,https://github.com/chalk/strip-ansi?sponsor=1,False,,3,,0,100.0,,,,,1,79,True,True
chalk/supports-color,11855007,False,0,0,0,100.0,367,90,True,github,False,False,True,https://github.com/chalk/supports-color?sponsor=1,False,,2,,0,100.0,,,,,1,79,True,True
chalk/wrap-ansi,41053676,False,0,0,0,100.0,136,29,True,"github,tidelift",False,False,True,https://github.com/chalk/wrap-ansi?sponsor=1,False,,3,,0,100.0,,,,,1,79,True,True
chalker/safer-buffer,125825141,False,0,0,0,100.0,27,24,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
chardet/chardet,5196969,False,0,0,0,100.0,2612,297,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
cheeriojs/dom-serializer,18991884,True,5,0,5,35.42,142,72,True,"github,open_collective",False,False,True,https://github.com/cheeriojs/dom-serializer?sponsor=1,False,,3,cheerio,13778.74,3.24,,,,,1,23,True,True
chicoxyzzy/node-releases,73765596,False,0,0,0,100.0,38,10,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
chronotope/chrono,18210201,False,0,0,0,100.0,3840,601,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
chronotope/humantime,59320323,False,0,0,0,100.0,378,46,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
clap-rs/clap,31315121,True,12,0,12,28.6,16338,1174,True,"github,open_collective",False,False,False,,False,,2,clap,2897.69,5.14,,,,,1,24,True,True
cloudflare/cloudflare-python,753271547,False,0,0,0,100.0,435,115,False,,False,False,False,,False,,0,,0,100.0,,,cloudflare.com,company,0,1,True,False
colinhacks/zod,245704608,True,56,0,56,17.09,42515,1919,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,55,True,True
colorjs/color-name,27038309,False,0,0,0,100.0,124,33,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
comex/rust-shlex,37886228,False,0,1,1,43.69,144,20,False,,False,False,False,,False,,0,,0,100.0,,,,,1,76,False,True
component/escape-html,5444800,False,0,0,0,100.0,488,65,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
component/toidentifier,114743189,False,0,0,0,100.0,6,9,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
conventional-changelog/commitlint,51575745,False,0,0,0,100.0,18484,964,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
