repo,repo_id,loc_eoy,sloc_eoy,scc_complexity_eoy,scc_density_eoy,cognitive_total,cognitive_avg,cognitive_max,cyclomatic_total,cyclomatic_avg,cyclomatic_max,loc_year,loc_eoy_p,scc_complexity_eoy_p,cognitive_max_p,cyclomatic_max_p,score
jridgewell/sourcemaps,gh/897142826,11191,8838,617,6.98,644,0.85,54,1221,1.59,23,2025,66.49,65.75,64.69,58.25,62.23
jsdom/tr46,gh/36964214,949,754,121,16.05,176,4.29,74,149,3.63,40,2025,37.53,46.09,70.82,70.61,51.48
jsdom/webidl-conversions,gh/23000311,2070,1710,112,6.55,138,0.57,12,403,1.67,13,2025,47.36,45.03,33.72,42.18,44.70
jsdom/whatwg-mimetype,gh/71014420,761,632,55,8.70,68,0.83,28,158,1.93,27,2025,33.93,36.26,50.32,62.47,46.04
jsdom/whatwg-url,gh/34761352,2607,2110,501,23.74,597,3.13,66,640,3.35,32,2025,49.47,62.68,69.34,66.7,57.44
jsdom/xml-name-validator,gh/28553202,75,65,8,12.31,10,0.77,4,23,1.77,5,2023,7.72,15.64,16.7,18.6,11.98
jshttp/accepts,gh/15482433,586,393,25,6.36,23,0.27,7,106,1.23,7,2025,30.87,26.85,25.16,26.11,28.39
jshttp/content-disposition,gh/24216676,1425,1179,0,0.00,0,0,0,46,1,1,2025,41.75,3.81,3.07,3.17,11.50
jshttp/content-type,gh/30172150,513,420,6,1.43,9,0.24,4,46,1.24,5,2025,28.86,12.79,16.7,18.6,23.17
jshttp/cookie,gh/4475810,1555,1160,98,8.45,102,0.54,34,279,1.48,30,2025,43.02,43.13,55.29,65.22,52.97
jshttp/etag,gh/22894570,703,460,25,5.43,24,0.43,12,87,1.55,20,2025,33.19,26.85,33.72,52.11,41.59
jshttp/forwarded,gh/24300217,346,232,14,6.03,18,0.6,11,43,1.43,8,2025,24.31,21.14,31.61,29.7,26.87
jshttp/fresh,gh/4617552,447,310,22,7.10,30,0.53,19,80,1.4,15,2025,27.17,24.84,43.76,45.03,34.98
jshttp/http-errors,gh/23806086,834,603,46,7.63,43,0.65,28,110,1.67,27,2025,35.41,34.36,50.32,62.47,47.03
jshttp/media-typer,gh/20814275,265,163,14,8.59,15,0.5,9,44,1.47,9,2025,21.35,21.14,28.54,32.98,26.54
jshttp/methods,gh/8274071,190,137,12,8.76,13,0.59,3,33,1.5,3,2025,17.44,19.45,13.0,10.15,13.30
jshttp/mime-db,gh/22970419,867,553,97,17.54,37,0.9,4,76,1.85,4,2025,36.36,43.02,16.7,14.9,23.28
jshttp/mime-types,gh/19380178,515,337,31,9.2,42,0.66,11,106,1.66,12,2025,28.96,29.49,31.61,39.85,33.97
jshttp/negotiator,gh/3275614,2862,2116,147,6.95,161,0.32,11,640,1.26,10,2025,50.74,48.94,31.61,35.41,42.39
jshttp/on-finished,gh/15349765,1438,1118,40,3.58,39,0.18,6,250,1.18,9,2025,41.86,33.3,22.41,32.98,37.16
jshttp/range-parser,gh/4627131,281,179,17,9.50,19,0.83,19,39,1.7,17,2025,21.67,22.52,43.76,48.84,32.53
jshttp/statuses,gh/17690272,532,361,19,5.26,19,0.3,3,82,1.3,4,2025,29.28,23.57,13.0,14.9,20.89
jshttp/type-is,gh/15484233,648,425,22,5.18,12,0.14,8,96,1.13,8,2025,31.71,24.84,26.85,29.7,30.69
jshttp/vary,gh/20498698,662,541,4,0.74,5,0.05,3,99,1.04,4,2025,32.14,9.94,13.0,14.9,21.88
jslicense/spdx-correct.js,gh/34817196,856,779,28,3.59,44,0.88,6,87,1.74,4,2024,35.84,28.01,22.41,14.9,23.11
jslicense/spdx-exceptions.json,gh/40062896,94,87,5,5.75,5,0.33,2,18,1.2,2,2024,9.83,11.21,8.99,6.34,7.89
jslicense/spdx-expression-parse.js,gh/40067336,388,321,41,12.77,49,1.53,6,77,2.41,7,2023,25.48,33.72,22.41,26.11,25.79
jslicense/spdx-license-ids,gh/26001547,132,118,7,5.93,8,0.5,5,21,1.31,4,2025,13.11,13.95,19.03,14.9,13.98
json-c/json-c,gh/1139119,14869,9869,1626,16.48,1560,4.8,476,1563,4.81,253,2025,69.45,76.85,93.97,94.93,81.20
json5/json5,gh/4463453,3294,2675,199,7.44,268,1.18,26,554,2.43,26,2024,52.33,53.17,48.84,60.89,56.45
juliangruber/balanced-match,gh/13538817,289,250,28,11.2,39,5.57,19,37,5.29,13,2024,21.99,28.01,43.76,42.18,30.46
juliangruber/brace-expansion,gh/13539234,425,315,37,11.75,102,3.52,92,72,2.48,35,2025,26.22,32.45,74.42,68.5,42.38
juliangruber/isarray,gh/10227611,65,53,1,1.89,0,0,0,5,1,1,2025,6.34,4.97,3.07,3.17,4.48
justmoon/node-extend,gh/3967764,756,654,38,5.81,61,1.56,46,73,1.87,20,2025,33.83,32.88,61.31,52.11,41.99
jviereck/regjsparser,gh/14087781,2313,1554,294,18.92,155,2.72,24,212,3.72,35,2025,48.63,56.87,47.78,68.5,57.72
ka-weihe/fastest-levenshtein,gh/158960628,309,284,49,17.25,41,2.41,11,48,2.82,8,2024,22.94,34.78,31.61,29.7,26.10
kaelzhang/node-ignore,gh/12519245,2814,2155,70,3.25,70,0.68,6,174,1.69,9,2025,50.21,39.75,22.41,32.98,40.69
kemitchell/validate-npm-package-license.js,gh/35000460,86,79,10,12.66,16,5.33,12,13,4.33,8,2020,9.09,17.86,33.72,29.7,16.43
kevinbeaty/any-promise,gh/26247715,685,538,49,9.11,38,0.51,11,112,1.51,13,2016,32.77,34.78,31.61,42.18,37.18
kevva/dir-glob,gh/49264969,127,105,11,10.48,16,1.07,8,31,2.07,9,2019,12.47,18.6,26.85,32.98,20.28
kevva/shebang-command,gh/47402913,38,31,2,6.45,3,1.5,3,5,2.5,4,2019,4.12,6.87,13.0,14.9,7.84
kilian/electron-to-chromium,gh/78972540,4820,4794,15,0.31,16,0.64,3,39,1.56,4,2025,56.55,21.78,13.0,14.9,29.03
kjd/idna,gh/10323585,39202,32591,187,0.57,244,0.04,41,6563,1.03,23,2025,79.7,52.33,59.3,58.25,68.14
knurling-rs/defmt,gh/282262730,17714,13468,1006,7.47,1693,2.28,204,1643,2.21,65,2025,72.41,72.62,86.68,80.13,76.17
kpdecker/jsdiff,gh/1542219,8715,7151,473,6.61,409,0.77,50,828,1.56,28,2025,63.95,62.16,63.53,63.32,63.63
krb5/krb5,gh/4307702,451913,318118,59578,18.73,59512,6.5,332,51057,5.58,162,2025,95.98,97.15,92.07,90.91,93.41
kriskowal/asap,gh/11295071,18597,18067,125,0.69,133,0.02,13,8644,1.01,8,2022,72.83,46.93,35.94,29.7,46.51
kriszyp/json-schema,gh/947175,489,377,148,39.26,202,5.61,100,164,4.56,53,2021,28.33,49.15,76.11,76.74,46.63
la10736/rstest,gh/124802455,21071,16227,663,4.09,536,0.49,21,1584,1.45,17,2025,74.52,67.02,45.14,48.84,60.33
langchain-ai/langchain,gh/552661142,315710,245786,14481,5.89,21573,1.84,289,27538,2.36,103,2025,94.29,92.28,90.17,87.21,90.68
laurent-laporte-pro/deprecated,gh/111412148,3022,1990,143,7.19,97,0.56,12,246,1.42,11,2025,51.27,48.63,33.72,37.84,44.05
lddubeau/xmlchars,gh/139881982,843,531,119,22.41,133,2.89,27,206,4.48,30,2024,35.62,45.77,49.79,65.22,48.20
legrandin/pycryptodome,gh/19378935,122488,90664,6036,6.66,5862,1.34,70,8298,2.27,30,2025,89.11,86.89,70.19,65.22,76.23
libexpat/libexpat,gh/80314213,39626,30103,5471,18.17,3303,3.69,101,3559,4.05,79,2025,80.13,86.05,76.43,83.62,81.86
libffi/libffi,gh/321154,76877,54778,6608,12.06,4594,4,170,5660,4.95,86,2025,85.41,87.74,84.67,84.88,85.14
libidn/libidn2,gl/2882658,11022,7339,1635,22.28,1510,10.41,92,1248,8.61,56,2025,66.17,77.06,74.42,77.48,71.60
libjpeg-turbo/libjpeg-turbo,gh/39760454,164952,107868,16075,14.9,18885,6.97,410,15965,5.89,205,2025,91.33,92.92,93.66,92.92,92.12
libjxl/libjxl,gh/340219494,178381,140869,23372,16.59,29460,5.26,319,23808,4.28,125,2025,91.86,94.82,91.54,88.69,90.26
libtiff/libtiff,gl/4720790,118652,94892,17609,18.56,24142,14.26,1028,16900,9.98,308,2025,88.79,93.23,96.93,95.88,92.27
libuv/libuv,gh/14812739,110482,76288,12054,15.8,9685,3.03,134,11141,3.49,102,2025,88.37,91.44,81.08,86.79,87.58
linusu/buffer-from,gh/66025821,84,62,10,16.13,12,3,4,16,4,5,2021,8.88,17.86,16.7,18.6,12.85
linux-pam/linux-pam,gh/76264690,51652,36059,9738,27.01,9114,10.59,169,6855,8.02,93,2025,83.09,89.96,84.57,85.84,84.45
litejs/natural-compare-lite,gh/9146732,154,125,15,12,23,2.88,23,32,4,25,2024,15.33,21.78,47.36,60.04,30.34
ljharb/call-bind,gh/308533760,167,125,5,4,7,0.58,2,19,1.58,3,2024,16.28,11.21,8.99,10.15,12.85
ljharb/call-bind-apply-helpers,gh/898190951,110,68,6,8.82,9,0.9,3,19,1.9,4,2025,10.89,12.79,13.0,14.9,12.74
ljharb/call-bound,gh/898125972,80,52,2,3.85,1,0.08,1,13,1.08,2,2025,8.35,6.87,6.24,6.34,7.28
ljharb/concat-map,gh/548993448,67,59,4,6.78,8,0.73,4,17,1.55,3,2025,6.45,9.94,16.7,10.15,8.09
ljharb/define-data-property,gh/689109338,459,376,28,7.45,36,1.33,35,60,2.22,33,2024,27.59,28.01,55.71,67.12,43.03
ljharb/define-properties,gh/28768789,219,194,14,7.22,15,1.15,10,24,1.85,7,2025,19.24,21.14,30.13,26.11,22.41
ljharb/es-abstract,gh/28995155,110334,86517,11551,13.35,12926,2.43,67,16926,3.18,46,2025,88.27,91.33,69.66,73.89,80.76
ljharb/es-define-property,gh/756570458,70,54,4,7.41,3,1.5,2,5,2.5,3,2024,6.98,9.94,8.99,10.15,8.42
ljharb/es-errors,gh/752160492,47,29,0,0,0,0,0,1,1,1,2024,5.18,3.81,3.07,3.17,4.05
ljharb/es-shim-unscopables,gh/480458584,135,93,10,10.75,7,0.64,5,18,1.64,6,2025,13.53,17.86,19.03,22.52,17.46
ljharb/es-to-primitive,gh/32377814,563,442,41,9.28,54,1.04,16,91,1.75,14,2025,30.44,33.72,39.64,43.66,36.46
ljharb/get-intrinsic,gh/308516559,647,569,27,4.75,21,0.51,13,59,1.44,12,2025,31.61,27.27,35.94,39.85,35.49
ljharb/get-proto,gh/911035271,105,70,9,12.86,4,0.22,4,20,1.11,3,2025,10.57,16.6,16.7,10.15,10.36
ljharb/gopd,gh/560708130,55,39,1,2.56,0,0,0,3,1,1,2024,5.92,4.97,3.07,3.17,4.33
ljharb/internal-slot,gh/216159146,198,153,21,13.73,20,0.62,5,52,1.62,6,2024,18.5,24.31,19.03,22.52,20.41
ljharb/object-keys,gh/9103992,456,396,57,14.39,67,1.46,26,104,2.26,23,2025,27.48,36.89,48.84,58.25,40.01
ljharb/object.assign,gh/17755831,574,447,46,10.29,57,0.88,19,111,1.71,19,2025,30.76,34.36,43.76,50.95,39.59
ljharb/possible-typed-array-names,gh/760136716,36,28,1,3.57,3,3,3,3,3,3,2025,3.91,4.97,13.0,10.15,6.30
ljharb/qs,gh/22266795,5053,4267,319,7.48,933,1.99,154,1168,2.49,71,2025,57.29,57.29,83.19,81.61,68.38
ljharb/safe-regex-test,gh/540138887,58,44,1,2.27,1,0.14,1,8,1.14,2,2025,6.13,4.97,6.24,6.34,6.23
ljharb/set-function-length,gh/704249795,291,222,36,16.22,25,0.6,17,64,1.52,17,2025,22.3,31.92,41.01,48.84,33.00
ljharb/side-channel,gh/225239081,147,107,7,6.54,5,0.31,1,21,1.31,2,2024,14.38,13.95,6.24,6.34,9.55
ljharb/side-channel-list,gh/901451610,217,154,16,10.39,17,0.65,6,40,1.54,5,2024,19.13,22.41,22.41,18.6,18.86
ljharb/side-channel-map,gh/901191461,182,130,8,6.15,8,0.35,3,30,1.3,3,2025,17.34,15.64,13.0,10.15,13.27
ljharb/side-channel-weakmap,gh/901188921,198,147,32,21.77,30,1.3,8,51,2.22,8,2025,18.5,30.13,26.85,29.7,23.44
lodash/lodash,gh/3955647,118935,81822,7846,9.59,9016,1.45,1296,13409,2.16,1134,2025,88.9,88.69,97.78,98.41,93.53
