repo,repo_id,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,bestpractices_badge_id,openssf_score_p,cve_score,score,fetched_at
petkaantonov/bluebird,gh/12670444,2.4,openssf_local,0,False,,98.88,50.0,99,2026-04-27T21:44:03+01:00
pexpect/ptyprocess,gh/24727748,3.3,openssf_local,0,False,,84.34,50.0,84,2026-04-27T16:10:33+01:00
pillarjs/encodeurl,gh/60721766,6.4,openssf_local,0,False,,21.25,50.0,50,2026-04-27T21:44:22+01:00
pillarjs/finalhandler,gh/20547377,7.5,openssf_local,0,False,,6.26,50.0,50,2026-04-27T21:44:23+01:00
pillarjs/iconv-lite,gh/2743221,6.8,openssf_local,0,False,,14.09,50.0,50,2026-04-27T15:06:23+01:00
pillarjs/parseurl,gh/17533192,6.3,openssf_local,0,False,,23.04,50.0,50,2026-04-27T21:44:25+01:00
pillarjs/path-to-regexp,gh/5265803,7.6,openssf_local,2,False,,5.26,82.2,82,2026-04-27T21:44:27+01:00
pillarjs/send,gh/4879977,7.2,openssf_local,1,False,,9.62,72.68,73,2026-04-27T21:44:35+01:00
pkgconf/pkgconf,gh/4180110,5,openssf_local,1,False,,42.06,72.68,73,2026-04-27T21:44:37+01:00
pnggroup/libpng,gh/3768025,4.7,openssf_local,0,True,,46.64,50.0,50,2026-04-27T21:44:44+01:00
postcss/postcss,gh/13078968,6.8,openssf_local,3,False,,14.09,84.88,85,2026-04-27T21:44:56+01:00
postcss/postcss-selector-parser,gh/36500102,3.9,openssf_local,0,False,,72.04,50.0,72,2026-04-27T15:05:16+01:00
postcss/postcss-value-parser,gh/40920306,2.3,openssf_local,0,False,,98.99,50.0,99,2026-04-27T14:55:57+01:00
prettier/prettier,gh/75104123,6.5,openssf_local,0,False,,19.57,50.0,50,2026-05-03T23:31:25+01:00
primus/eventemitter3,gh/13100677,3.4,openssf_local,0,False,,82.33,50.0,82,2026-04-27T21:45:01+01:00
proptest-rs/proptest,gh/94702898,6,openssf_local,0,False,,26.96,50.0,50,2026-04-27T16:10:42+01:00
protobufjs/protobuf.js,gh/8507859,5.9,openssf_local,2,False,,28.52,82.2,82,2026-04-27T15:05:51+01:00
protocolbuffers/protobuf,gh/23357588,6.2,openssf_local,13,True,,24.5,93.9,94,2026-05-18T00:38:19+01:00
psf/requests,gh/1362490,8.4,openssf_local,6,True,,2.13,89.27,89,2026-05-03T23:31:31+01:00
psycopg/psycopg2,gh/7730829,4.9,openssf_local,0,True,,43.18,50.0,50,2026-04-06T17:35:51+01:00
pvorb/clone,gh/2317381,3.5,openssf_local,0,False,,80.98,50.0,81,2026-04-27T21:45:20+01:00
py4j/py4j,gh/1045976,3.4,openssf_local,0,False,passing,82.33,50.0,82,2026-04-27T21:45:30+01:00
pyasn1/pyasn1,gh/512723255,6.3,openssf_local,0,False,,23.04,50.0,50,2026-04-27T14:55:10+01:00
pyasn1/pyasn1-modules,gh/512723354,5.4,openssf_local,0,True,,36.69,50.0,50,2026-04-27T15:06:42+01:00
pyca/bcrypt,gh/9993757,6.8,openssf_local,0,False,,14.09,50.0,50,2026-05-03T23:31:42+01:00
pyca/cryptography,gh/11939484,8.4,openssf_local,16,True,,2.13,95.37,95,2026-04-27T14:55:12+01:00
pyca/pynacl,gh/8350032,7.8,openssf_local,1,True,,3.91,72.68,73,2026-04-07T15:58:50+01:00
pyca/pyopenssl,gh/15778059,6.8,openssf_local,1,False,,14.09,72.68,73,2026-05-03T23:31:43+01:00
pydantic/pydantic,gh/90194616,6.8,openssf_local,2,True,,14.09,82.2,82,2026-04-27T15:07:55+01:00
pydantic/typing-inspection,gh/930576948,3.7,openssf_local,0,False,,77.18,50.0,77,2026-04-27T21:45:46+01:00
pygments/pygments,gh/205564111,6.1,openssf_local,11,True,,26.06,93.66,94,2026-04-27T15:06:57+01:00
pypa/distlib,gh/436970140,3.5,openssf_local,0,True,,80.98,50.0,81,2026-04-27T21:45:53+01:00
pypa/packaging,gh/19837758,8.5,openssf_local,0,True,,1.68,50.0,50,2026-04-27T14:53:45+01:00
pypa/pip,gh/1446467,7.5,openssf_local,8,True,in_progress,6.26,91.71,92,2026-04-27T15:07:24+01:00
pypa/setuptools,gh/54980593,5.8,openssf_local,4,True,,30.31,87.07,87,2026-04-27T14:56:18+01:00
pypa/virtualenv,gh/1446474,6.6,openssf_local,2,False,,17.0,82.2,82,2026-04-27T16:09:41+01:00
pypa/wheel,gh/98346885,5.5,openssf_local,1,True,,34.23,72.68,73,2026-04-27T15:07:16+01:00
pyparsing/pyparsing,gh/91262163,5.3,openssf_local,0,True,,38.48,50.0,50,2026-05-03T23:31:52+01:00
pytest-dev/iniconfig,gh/66012563,4.4,openssf_local,0,True,,52.46,50.0,52,2026-04-27T15:53:33+01:00
pytest-dev/pluggy,gh/34739117,5.9,openssf_local,0,False,,28.52,50.0,50,2026-04-27T21:46:09+01:00
pytest-dev/pytest,gh/37489525,6.7,openssf_local,0,False,,15.32,50.0,50,2026-04-27T14:56:07+01:00
python-attrs/attrs,gh/29918975,9.1,openssf_local,0,True,passing,0.34,50.0,50,2026-05-03T23:32:04+01:00
python-cffi/cffi,gh/696427398,5.2,openssf_local,0,False,,40.04,50.0,50,2026-04-27T14:52:37+01:00
python-greenlet/greenlet,gh/3003137,5.9,openssf_local,0,False,,28.52,50.0,50,2026-04-27T16:05:19+01:00
python-hyper/brotlicffi,gh/43543393,5.4,openssf_local,0,False,,36.69,50.0,50,2026-05-03T23:32:08+01:00
python-hyper/h11,gh/57372073,4.4,openssf_local,1,True,,52.46,72.68,73,2026-05-03T23:32:13+01:00
python-jsonschema/jsonschema,gh/3072629,7.5,openssf_local,0,False,,6.26,50.0,50,2026-04-27T16:06:36+01:00
python-jsonschema/jsonschema-specifications,gh/582755777,5.1,openssf_local,0,False,,41.16,50.0,50,2026-06-28T21:20:09+01:00
python-jsonschema/referencing,gh/569027868,7,openssf_local,0,False,,11.41,50.0,50,2026-04-27T15:53:15+01:00
python-pillow/pillow,gh/5171600,8.6,openssf_local,46,True,,1.34,98.05,98,2026-04-27T16:08:54+01:00
python-poetry/tomlkit,gh/140365570,4.4,openssf_local,0,False,,52.46,50.0,52,2026-04-27T21:46:36+01:00
python-trio/sniffio,gh/142657210,4.7,openssf_local,0,False,,46.64,50.0,50,2026-05-03T23:32:24+01:00
python/cpython,gh/81598961,8.7,openssf_local,57,True,,0.78,98.29,98,2026-06-01T00:23:57+01:00
python/importlib_metadata,gh/306448340,5.7,openssf_local,0,True,,31.1,50.0,50,2026-04-27T14:55:53+01:00
python/importlib_resources,gh/306147182,5.3,openssf_local,0,False,,38.48,50.0,50,2026-04-27T21:46:45+01:00
python/mypy,gh/7053637,6.9,openssf_local,0,False,,12.3,50.0,50,2026-04-27T16:09:26+01:00
python/mypy_extensions,gh/165752308,5.5,openssf_local,0,False,,34.23,50.0,50,2026-05-18T00:38:20+01:00
python/typing,gh/24604008,7.8,openssf_local,0,False,,3.91,50.0,50,2026-05-03T23:32:32+01:00
python/typing_extensions,gh/494077289,8.4,openssf_local,0,True,,2.13,50.0,50,2026-04-27T14:52:37+01:00
python/tzdata,gh/242158882,7.4,openssf_local,0,False,,7.72,50.0,50,2026-04-27T15:05:50+01:00
qix-/color-convert,gh/1874305,3.7,openssf_local,1,False,,77.18,72.68,77,2026-04-27T14:56:46+01:00
qix-/node-error-ex,gh/41388258,3,openssf_local,1,False,,92.84,72.68,93,2026-04-27T21:47:07+01:00
qix-/node-is-arrayish,gh/41376759,2.9,openssf_local,1,False,,95.75,72.68,96,2026-04-27T21:47:15+01:00
radix-ui/primitives,gh/273499522,4.2,openssf_local,0,False,,56.49,50.0,56,2026-04-27T14:54:46+01:00
raszi/node-tmp,gh/2313213,3.9,openssf_local,1,False,,72.04,72.68,73,2026-05-03T23:32:37+01:00
raynos/for-each,gh/6006855,3.8,openssf_local,0,False,,75.5,50.0,76,2026-04-27T21:47:32+01:00
raynos/function-bind,gh/10727014,4.6,openssf_local,0,False,,48.66,50.0,50,2026-04-27T14:53:58+01:00
rayon-rs/either,gh/42479602,4.2,openssf_local,0,False,,56.49,50.0,56,2026-05-03T23:32:42+01:00
rayon-rs/rayon,gh/24725038,5.5,openssf_local,0,False,,34.23,50.0,50,2026-04-27T14:56:47+01:00
react/create-react-app,gh/63537249,4.1,openssf_local,1,False,,59.06,72.68,73,2026-04-27T17:09:03+01:00
