repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
burntsushi/ucd-generate,gh/123997498,7.8,10,0,0,True,4,2024-09-29T12:19:03Z,2,3,1.5,4.29,-1,-0.4,-0.3,,,6225.6,95.08,0.0,78.08,-0.1,16.86,50,2026-04-27T13:18:14Z
burntsushi/walkdir,gh/42685794,10.3,5,0,0,True,3,2024-12-31T13:29:59Z,37,20,0.541,78.68,17,-1.5,-0.9,0.0811,28.92,705.6,73.15,0.0,78.08,3.4,94.46,81,2026-04-27T13:18:14Z
burntsushi/winapi-util,gh/146040682,7.4,5,0,0,True,3,2025-09-07T12:24:36Z,4,4,1.0,30.64,0,-0.1,0.2,,,203.0,40.04,0.0,78.08,0.0,35.97,48,2026-04-27T13:18:14Z
businho/pytest-ruff,gh/599731435,2.9,7,0,0,True,3,2025-07-27T09:52:06Z,19,15,0.789,57.97,4,1.6,1.1,-0.1316,89.5,54.1429,12.08,0.0,78.08,0.5714,61.09,39,2026-04-27T18:55:24Z
bytecodealliance/rustix,gh/295544240,5.3,123,0,10,True,5,2026-04-18T01:15:17Z,330,260,0.788,58.33,70,13.2,10.8,-0.0364,70.27,710.0488,73.49,0.0081,80.54,0.5691,60.86,71,2026-04-27T13:18:14Z
bytecodealliance/wasi-rs,gh/196445196,6.5,18,0,10,True,4,2026-04-17T22:18:03Z,22,7,0.318,89.22,15,1.1,0.9,-0.0455,72.86,2308.3889,90.6,0.0,78.08,0.8333,67.53,78,2026-04-27T13:18:14Z
c-ares/c-ares,gh/571708,15.8,76,0,10,True,5,2026-04-12T18:24:53Z,262,239,0.912,42.89,23,9.7,6.4,-0.063,79.64,860.1053,76.96,0.2368,96.09,0.3026,49.21,71,2026-04-27T13:18:14Z
calvinmetcalf/minimalistic-assert,gh/29144257,11.0,0,1,0,True,0,2018-04-11T12:21:09Z,0,0,,,0,,,,,11.0,3.36,0.0,78.08,0.0,35.97,21,2026-04-27T13:18:14Z
calvinmetcalf/process-nextick-args,gh/36039131,10.6,0,1,0,True,0,2019-06-19T20:34:13Z,0,0,,,0,,,,,81.0,20.13,0.0,78.08,0.0,35.97,38,2026-04-27T13:18:14Z
caolan/async,gh/698041,15.6,19,0,0,True,5,2026-02-01T15:33:10Z,76,69,0.908,43.38,7,-3.8,-4.0,-0.0132,63.65,1983.3684,88.7,0.0526,88.81,0.3684,52.83,75,2026-04-27T13:18:14Z
